year,code,type of waste,waste producers,waste quantities,waste quantities generated by primary producers
2006, EAV-050603-G, Pyrolytic treatment of coal: Other tars,78.0,112.7,112.6
2006, EAV-050701-G, Natural gas purif.: Wastes containing mercury,3.0,0.1,0.1
2006, EAV-06, Wastes from inorganic chemical processes,1137.0,276.5,261.0
2006, EAV-060101-G, Sulfuric acid and sulphurous acid,183.0,117.3,116.9
2006, EAV-060102-G, hydrochloric acid,58.0,5.1,4.9
2006, EAV-060103-G, hydrofluoric acid,22.0,0.3,0.3
2006,EAV-060104-G, Phosphoric and phosphorous acid,37.0,1.5,1.5
2006, EAV-060105-G, Nitric acid and nitrous acid,47.0,2.6,2.5
2006, EAV-060106-G, Other acids,232.0,17.2,15.0
2006, EAV-060201-G, calcium hydroxide,10.0,0.8,0.8
2006, EAV-060203-G, Ammonium hydroxide,83.0,1.6,1.3
2006, EAV-060204-G, Sodium and potassium hydroxide,42.0,7.4,5.8
2006, EAV-060205-G, Other bases,214.0,20.4,19.5
2006, EAV-060311-G, Solid salts and solutions containing cyanides,39.0,0.5,0.4
2006, EAV-060313-G, Solid salts and solutions containing heavy metals,133.0,8.2,7.0
2006, EAV-060315-G, Metallicoxides containing heavy metals,33.0,5.5,5.2
2006, EAV-060403-G, Wastes containing arsenic,23.0,1.0,0.9
2006, EAV-060404-G, Wastes containing mercury,179.0,7.4,6.7
2006, EAV-060405-G, Wastes containing other heavy metals,129.0,20.7,20.1
2006, EAV-060502-G, Sludges from on-site effluent treatment,85.0,38.5,36.0
2006, EAV-060602-G, Wastes containing hazardous sulphides,4.0,0.3,0.3
2006, EAV-060701-G, Wastes containing asbestos from electrolysis,0.0,0.0,0.0
2006, EAV-060702-G, Activated carbon from chlorine production,0.0,0.0,0.0
2006, EAV-060703-G,Barium sulphate sludge containing mercury,0.0,0.0,0.0
2006, EAV-060704-G," Solutions and acids, for example contact acid",0.0,0.0,0.0
2006, EAV-060802-G, Waste containing hazardous chlorocyanes,4.0,4.2,0.2
2006, EAV-060903-G, Calcium-based reaction wastes,0.0,0.0,0.0
2006, EAV-061002-G, Nitrogen chemicals: Wastes cont. hazardous subst.,6.0,0.1,0.1
2006, EAV-061301-G, Inorganic plant protection products etc.,69.0,0.5,0.3
2006, EAV-061302-G, Spent activated carbon (except 060702),69.0,2.9,2.8
2006, EAV-061304-G, Wastes from asbestos processing,18.0,1.1,0.7
2006, EAV-061305-G, Soot,0.0,0.0,0.0
2006, EAV-07, Wastes from organic chemical processes,2156.0,886.2,801.3
2006, EAV-070101-G," Organic chem.: Aqueous washing liquids, mother liq.",149.0,29.1,24.5
2006, EAV-070103-G, Organic chem.: Organic halogenated solvents etc.,117.0,24.7,17.3
2006, EAV-070104-G, Organic chem.: Other organic solvents etc.,367.0,97.9,74.2
2006, EAV-070107-G, Organic chem.: Halogenated still bottoms etc.,36.0,34.8,32.5
2006, EAV-070108-G," Organic chem.: Other still bottoms,reaction residue.",145.0,58.9,52.5
2006, EAV-070109-G,"Organic chem.: Halogenated filter cakes, spent abs.",12.0,0.4,0.4
2006, EAV-070110-G," Organic chem.: Other filter cakes, spent absorbents",50.0,5.5,5.2
2006, EAV-070111-G, Organic chem.: Sludges from on-site effl. treatment.,30.0,5.1,4.8
2006, EAV-070201-G," Plastics: Aqueous washing liquids, mother liquors",83.0,23.1,22.0
2006, EAV-070203-G, Plastics: Organic halogenated solvents etc.,46.0,2.9,2.5
2006, EAV-070204-G," Plastics: Other organic solvents,washing liq. etc.",195.0,37.2,33.6
2006, EAV-070207-G," Plastics: Halogenated still bottoms, react. residence.",54.0,7.4,3.1
2006, EAV-070208-G," Plastics: Other still bottoms, reaction residues",500.0,72.6,70.5
2006, EAV-070209-G," Plastics: Halogenated filter cakes, spent absorb.",9.0,0.5,0.5
2006, EAV-070210-G, Plastics: Other filter cakes and spent absorbents,48.0,5.1,4.1
2006, EAV-070211-G, Plastics: Sludges from on-site effluent treatment,14.0,4.0,3.8
2006, EAV-070214-G, Plastics: Wastes from additives cont. haza. subst.,29.0,0.7,0.7
2006, EAV-070216-G, Plastics: Waste containing hazardous silicones,4.0,0.9,0.3
2006, EAV-070301-G,"Organic dyes: Aqueous washing liquids, mother liq.",36.0,4.2,3.9
2006, EAV-070303-G, Organic dyes: Organic halogenated solvents etc.,38.0,1.9,1.6
2006, EAV-070304-G, Organic dyes: Other organic solvents etc.,335.0,53.6,49.8
2006, EAV-070307-G, Organic dyes: Halogenated still bottoms etc.,11.0,1.0,1.0
2006, EAV-070308-G," Organic dyes: Other still bottoms, reaction residue.",28.0,1.6,1.6
2006, EAV-070309-G," Organic dyes: Halogenated filter cakes, spent abs.",7.0,0.2,0.2
2006, EAV-070310-G," Organic dyes: Other filter cakes, spent absorbents",18.0,3.6,3.6
2006, EAV-070311-G, Organic dyes: Sludges from on-site effl. treatment.,7.0,0.4,0.4
2006, EAV-070401-G, Org.plant prot.: Aqueous washing liquids etc.,16.0,7.3,7.3
2006, EAV-070403-G, Org.plant prot.: Organic halogenated solvents etc.,16.0,10.4,10.4
2006, EAV-070404-G, Org.plant prot.: Other organic solvents etc.,14.0,15.3,15.3
2006, EAV-070407-G, Org.plant prot.: Halogenated still bottoms etc.,8.0,4.6,4.6
2006, EAV-070408-G," Org.plant prot.: Other still bottoms, react.resid.",9.0,1.6,1.6
2006, EAV-070409-G,Org.plant prot.: Halogenated filter cakes etc.,0.0,0.0,0.0
2006, EAV-070410-G," Org.plant prot.: Other filter cakes, absorb spent.",6.0,0.3,0.3
2006, EAV-070411-G, Org.plant prot.: Sludges from on-site effl.treatm.,0.0,0.0,0.0
2006, EAV-070413-G, Org.plant prot.: Solid wastes cont. haza. subst.,8.0,0.5,0.5
2006, EAV-070501-G, Pharmaceuticals: Aqueous washing liquids etc.,49.0,39.6,39.6
2006, EAV-070503-G, Pharmaceuticals: Organic halogenated solvents etc.,54.0,14.1,14.0
2006, EAV-070504-G, Pharmaceuticals: Other organic solvents etc.,91.0,56.1,56.0
2006, EAV-070507-G, Pharmaceuticals: Halogenated still bottoms etc.,10.0,1.9,1.9
2006, EAV-070508-G," Pharmaceuticals: Other still bottoms, react.resid.",53.0,3.1,3.0
2006, EAV-070509-G, Pharmaceuticals: Halogenated filter cakes etc.,9.0,0.1,0.1
2006, EAV-070510-G," Pharmaceuticals: Other filter cakes, spent absorb.",24.0,1.6,1.6
2006, EAV-070511-G, Pharmaceuticals: Sludges from on-site effl.treatm.,6.0,0.5,0.5
2006, EAV-070513-G, Pharmaceuticals: Solid wastes cont.haza.substances,31.0,1.4,1.4
2006, EAV-070601-G,"Fats,soaps: Aqueous washing liquids,mother liquors",138.0,23.7,21.3
2006, EAV-070603-G," Fats, soaps: Organic halogenated solvents etc.",33.0,1.1,0.5
2006, EAV-070604-G," Fats, soaps: Other organic solvents etc.",84.0,6.8,5.7
2006, EAV-070607-G," Fats,soaps: Halogenated still bottoms,react.resid.",3.0,0.1,0.0
2006, EAV-070608-G," Fats,soaps: Other still bottoms, reaction residues",146.0,45.6,42.7
2006, EAV-070609-G," Fats,soaps: Halogenated filter cakes,spent absorb.",3.0,0.1,0.1
2006, EAV-070610-G," Fats, soaps: Other filter cakes, spent absorbents",19.0,3.1,3.1
2006, EAV-070611-G," Fats, soaps: Sludges from on-site effluent treatment.",8.0,1.8,1.8
2006, EAV-070701-G," Fine chem.: Aqueous washing liquids, mother liquors",142.0,54.5,49.3
2006, EAV-070703-G, Fine chem.: Organic halogenated solvents etc.,114.0,15.6,13.9
2006, EAV-070704-G, Fine chem.: Other organic solvents etc.,199.0,52.9,49.4
2006, EAV-070707-G," Fine chem.: Halogenated still bottoms,react.resid.",43.0,5.0,4.0
2006, EAV-070708-G," Fine chem.: Other still bottoms, reaction residues",81.0,35.9,33.5
2006, EAV-070709-G,"Fine chem.: Halogenated filter cakes, spent absorb.",19.0,0.2,0.2
2006, EAV-070710-G," Fine chem.: Other filter cakes, spent absorbents",61.0,2.2,2.1
2006, EAV-070711-G, Fine chem.: Sludges from on-site effluent treatm.,20.0,1.6,1.6
2006, EAV-08," Wastes from the MFSU of coatings, adhesives etc.",1860.0,172.4,152.0
2006, EAV-080111-G," Waste paint, varnish containing organic solvents",809.0,57.3,46.6
2006, EAV-080113-G, Sludges from paint and varnish cont. org. solvents,598.0,34.5,31.0
2006, EAV-080115-G," Paint,varnish: Aqueous sludges cont. paint etc.",192.0,19.7,16.8
2006, EAV-080117-G, Wastes from paint or varnish removal cont.org.sol.,218.0,23.7,23.1
2006, EAV-080119-G, Aqueous suspensions cont. paint or varnish,39.0,5.9,5.9
2006, EAV-080121-G, Waste paint or varnish remover,18.0,0.5,0.5
2006, EAV-080312-G, Waste ink containing hazardous substances,155.0,7.1,6.2
2006, EAV-080314-G, Ink sludges containing hazardous substances,67.0,4.3,4.0
2006, EAV-080316-G, Waste etching solutions,0.0,0.0,0.0
2006, EAV-080317-G, Waste printing toner cont. hazardous substances,11.0,0.0,0.0
2006, EAV-080319-G, Disperse oil,0.0,0.0,0.0
2006,EAV-080409-G, Waste adhesives and sealants cont.organic solvents,327.0,17.6,16.2
2006, EAV-080411-G, Adhesive and sealant sludges cont.organic solvents,13.0,0.4,0.4
2006, EAV-080413-G," Adhesives,sealants: Aqueous sludges cont.adhesives",16.0,0.4,0.4
2006, EAV-080415-G," Adhesives,sealants: Aqueous liquid waste cont.adh.",17.0,0.5,0.5
2006, EAV-080417-G," Adhesives, sealants: Rosin oil",0.0,0.0,0.0
2006, EAV-080501-G, Waste isocyanates,35.0,0.3,0.2
2006, EAV-09, Wastes from the photographic industry,277.0,61.1,45.0
2006, EAV-090101-G, Water-based developer and activator solutions,217.0,22.7,17.3
2006, EAV-090102-G, Water-based offset plate developer solutions,87.0,12.1,8.9
2006, EAV-090103-G, Solvent-based developer solutions,21.0,0.4,0.0
2006, EAV-090104-G, fixer solutions,160.0,17.8,13.2
2006, EAV-090105-G, Bleach solutions and bleach fixer solutions,45.0,4.6,4.5
2006, EAV-090106-G, Wastes cont. silver from on-site treatment. of photo.,7.0,0.6,0.6
2006, EAV-090111-G, Single-use cameras cont. batteries (160601-160603),0.0,0.0,0.0
2006, EAV-090113-G, Aq.liq.waste fr. on-site recl.of silver(ex.090106),0.0,0.0,0.0
2006,EAV-10, Wastes from thermal processes,640.0,878.0,653.0
2006, EAV-100104-G, Oil fly ash and boiler dust,37.0,3.8,2.5
2006, EAV-100109-G, Sulfuric acid,5.0,0.0,0.0
2006, EAV-100113-G, Fly ash from emulsified hydrocarbons used as fuel,0.0,0.0,0.0
2006, EAV-100114-G," Bottom ash,slag,boiler dust from co-incineration",16.0,30.3,17.9
2006, EAV-100116-G, Fly ash from co-incineration,22.0,22.4,9.0
2006, EAV-100118-G, Wastes from gas cleaning cont. hazardous subst.,27.0,21.0,16.5
2006, EAV-100120-G, Power stations: Sludges from on-site effl. treatment.,5.0,1.8,1.8
2006, EAV-100122-G, Power stations: Aqueous sludges from boiler clean.,3.0,0.4,0.4
2006, EAV-100207-G," Iron, steel: Solid wastes from gas treatment",48.0,284.5,249.8
2006, EAV-100211-G," Iron,steel: Wastes fr.cooling-water treat.cont.oil",0.0,0.0,0.0
2006, EAV-100213-G," Iron, steel: Sludges, filter cakes from gas treatm.",15.0,80.3,76.7
2006, EAV-100304-G, Aluminium: Primary production slags,4.0,2.1,2.1
2006, EAV-100308-G, Aluminium: Salt slags from secondary production,20.0,273.5,153.4
2006, EAV-100309-G, Aluminium: Black dross from secondary production,0.0,0.0,0.0
2006,EAV-100315-G, Aluminium: Skimmings that are flammable etc.,86.0,48.3,32.8
2006, EAV-100317-G, Aluminium: Tar-containing wastes from anode manuf.,5.0,0.8,0.8
2006, EAV-100319-G, Aluminum: Flue-gas dust cont. hazardous subst.,12.0,4.3,2.5
2006, EAV-100321-G, Aluminum: Other particulates and dust,8.0,3.4,3.4
2006, EAV-100323-G, Aluminum: Solid wastes from gas treatment,37.0,18.8,10.9
2006, EAV-100325-G," Aluminium: Sludges, filter cakes from gas treatment.",5.0,1.3,1.3
2006, EAV-100327-G, Aluminium: Wastes fr.cooling-water treatm.cont.oil,0.0,0.0,0.0
2006, EAV-100329-G, Aluminium: Wastes from treatment. of salt slags etc.,0.0,0.0,0.0
2006, EAV-100401-G, Lead: Slags from primary and secondary production,7.0,24.0,23.2
2006, EAV-100402-G," Lead: Dross, skimmings from primary, second. prod.",70.0,6.4,6.3
2006, EAV-100403-G, Lead: Calcium arsenate,0.0,0.0,0.0
2006, EAV-100404-G, Lead: Flue-gas dust,3.0,0.5,0.5
2006, EAV-100405-G, Lead: Other particulates and dust,18.0,6.4,1.1
2006, EAV-100406-G, Lead: Solid wastes from gas treatment,6.0,0.5,0.5
2006, EAV-100407-G,Lead: Sludges and filter cakes from gas treatment,0.0,0.0,0.0
2006, EAV-100409-G, Lead: Wastes from cooling-water treatment. cont. oil,0.0,0.0,0.0
2006, EAV-100503-G, Zinc: Flue-gas dust,17.0,0.6,0.5
2006, EAV-100505-G, Zinc: Solid waste from gas treatment,7.0,0.3,0.3
2006, EAV-100506-G, Zinc: Sludges and filter cakes from gas treatment,0.0,0.0,0.0
2006, EAV-100508-G, Zinc: Wastes from cooling-water treatment. cont. oil,0.0,0.0,0.0
2006, EAV-100510-G, Zinc: Dross and skimmings that are flammable etc.,0.0,0.0,0.0
2006, EAV-100603-G, Copper: Flue-gas dust,10.0,1.6,1.6
2006, EAV-100606-G, Copper: Solid wastes from gas treatment,3.0,2.9,2.7
2006, EAV-100607-G, Copper: Sludges and filter cakes from gas treatment.,0.0,0.0,0.0
2006, EAV-100609-G, Copper: Wastes from cooling-water treatment. cont.oil,0.0,0.0,0.0
2006, EAV-100707-G, Silver etc: Wastes fr. cool.-water treatm.cont.oil,0.0,0.0,0.0
2006, EAV-100808-G," Non-ferrous: Salt slag from primary, secondary. prod.",3.0,0.3,0.3
2006, EAV-100810-G," Non-ferrous: Dross, skimmings that are flammable",4.0,0.4,0.4
2006, EAV-100812-G,Non-ferrous: Tar-cont. wastes from anode manuf.,0.0,0.0,0.0
2006, EAV-100815-G, Non-ferrous: Flue-gas dust cont. hazardous subst.,23.0,2.8,2.8
2006, EAV-100817-G," Non-ferrous: Sludges, filter cakes fr.flue-gas tr.",0.0,0.0,0.0
2006, EAV-100819-G, Non-ferrous: Wastes from cooling-water tr.cont.oil,0.0,0.0,0.0
2006, EAV-100905-G," Ferrous: Casting cores,moulds, not undergone pouring.",3.0,1.7,1.7
2006, EAV-100907-G," Ferrous: Casting cores, molds, underwent pouring",5.0,1.5,1.5
2006, EAV-100909-G, Ferrous: Flue-gas dust cont. hazardous substances,22.0,4.5,4.5
2006, EAV-100911-G, Ferrous: Other particulates cont. hazardous subst.,3.0,0.1,0.1
2006, EAV-100913-G, Ferrous: Waste binders cont. hazardous substances,0.0,0.0,0.0
2006, EAV-100915-G, Ferrous: Waste crack-indicating agent,0.0,0.0,0.0
2006, EAV-101005-G," Non-ferrous: Casting cores,moulds,not underg.pour.",4.0,0.9,0.9
2006, EAV-101007-G," Non-ferrous: Casting cores, molds, underwent pour.",6.0,1.7,1.7
2006, EAV-101009-G, Non-ferrous: Flue-gas dust cont. hazardous subst.,9.0,2.4,2.4
2006, EAV-101011-G, Non-ferrous: Other particulates cont. haza. subst.,0.0,0.0,0.0
2006, EAV-101013-G,Non-ferrous: Waste binders cont. hazardous subst.,0.0,0.0,0.0
2006, EAV-101015-G, Non-ferrous: Waste crack-indicating agent,0.0,0.0,0.0
2006, EAV-101109-G, Waste preparation mixture before thermal process.,15.0,1.0,0.9
2006, EAV-101111-G, Waste glass in small particles cont. heavy metals,15.0,6.6,3.4
2006, EAV-101113-G," Glass-polishing, -grinding sludge",27.0,1.5,1.5
2006, EAV-101115-G, Manuf. of glass: Solid wastes from flue-gas treat.,36.0,3.3,3.2
2006, EAV-101117-G," Manuf. of glass: Sludges, filter cakes fr. flue-gas",0.0,0.0,0.0
2006, EAV-101119-G, Manuf. of glass: Sol.wastes fr.on-site effl.treat.,7.0,0.5,0.5
2006, EAV-101209-G, Ceramic goods: Solid wastes from gas treatment,8.0,0.3,0.3
2006, EAV-101211-G, Ceramic goods: Wastes from glazing cont.heavy metal.,0.0,0.0,0.0
2006, EAV-101309-G, Wastes from asbestos-cement manuf. cont. asbestos,0.0,0.0,0.0
2006, EAV-101312-G, Cement etc: Solid wastes from gas treatment,0.0,0.0,0.0
2006, EAV-101401-G, Crematoria: Waste from gas cleaning cont. mercury,77.0,0.4,0.3
2006, EAV-11, Wastes from chemical surface treatment etc.,2509.0,552.3,530.3
2006,EAV-110105-G, Surface treatment: Pickling acids,476.0,79.5,76.2
2006, EAV-110106-G, Surface treatment: Acids nos.,124.0,7.4,6.7
2006, EAV-110107-G, Surface treatment: Pickling bases,446.0,50.0,47.2
2006, EAV-110108-G, Surface treatment: Phosphating sludges,261.0,11.8,11.4
2006, EAV-110109-G," Surface treatment: Sludges, filter cakes",1269.0,112.3,103.8
2006, EAV-110111-G, Surface treatment: Aqueous rinsing liquids,665.0,56.4,51.3
2006, EAV-110113-G, Surface treatment: Degreasing wastes,119.0,6.9,6.9
2006, EAV-110115-G," Surface treatment: Eluate,sludges fr.membrane sys.",5.0,0.6,0.6
2006, EAV-110116-G," Surface treatment: Saturated,spent ion exch.resins",16.0,0.2,0.2
2006, EAV-110198-G, Surface treatment: Other wastes cont. haza. subst.,234.0,14.0,12.6
2006, EAV-110202-G, Sludges from zinchydrometallurgy,13.0,209.2,209.2
2006, EAV-110205-G, Wastes from copper hydrometallurgical processes,0.0,0.0,0.0
2006, EAV-110207-G, Non-ferrous hydromet. processes: Other wastes,0.0,0.0,0.0
2006, EAV-110301-G," Sludges,solids fr.temp.proc.: Wastes cont. cyanide",52.0,1.7,1.6
2006, EAV-110302-G,"Sludges, solids from tempering proc.: Other wastes",63.0,2.1,1.8
2006, EAV-110503-G, Hot galvan. proc.: Solid wastes from gas treatment,3.0,0.0,0.0
2006, EAV-110504-G, Hot galvanizing processes: Spent flux,5.0,0.1,0.1
2006, EAV-12, Wastes from surface treatment of metals a.plastics,3807.0,924.1,708.2
2006, EAV-120106-G, Mineral-based machining oils containing halogens,23.0,0.3,0.3
2006, EAV-120107-G, Mineral-based machining oils free of halogens,150.0,83.4,31.1
2006, EAV-120108-G," Machining emulsions, solutions containing halogens",33.0,1.2,1.1
2006, EAV-120109-G," Machining emulsions, solutions free of halogens",2856.0,657.8,536.5
2006, EAV-120110-G, Synthetic machining oils,59.0,1.5,1.4
2006, EAV-120112-G, Spent waxes and fats,221.0,7.8,7.4
2006, EAV-120114-G, Machining sludges containing hazardous substances,307.0,17.7,16.4
2006, EAV-120116-G, Waste blasting material cont. hazardous substances,335.0,27.5,22.4
2006, EAV-120118-G," Metal sludge (grinding,honing,lapping sl.)cont.oil",480.0,91.3,57.6
2006, EAV-120119-G, Readily biodegradable machining oil,0.0,0.0,0.0
2006, EAV-120120-G,Spent grinding bodies and grinding materials,105.0,4.1,3.8
2006, EAV-120301-G, Aqueous washing liquids,260.0,26.2,25.1
2006, EAV-120302-G, Steam degreasing wastes,37.0,5.1,5.1
2006, EAV-13," Oil wastes, wastes of liquid fuels (ex.edible oils)",4650.0,1498.8,1185.3
2006, EAV-130101-G," Hydraulic oils, containing PCBs",15.0,0.4,0.3
2006, EAV-130104-G, Hydraulic oils: Chlorinated emulsions,5.0,0.0,0.0
2006, EAV-130105-G, Hydraulic oils: Non-chlorinated emulsions,119.0,21.5,10.1
2006, EAV-130109-G, Mineral-based chlorinated hydraulic oils,7.0,0.0,0.0
2006, EAV-130110-G, Mineral based non-chlorinated hydraulic oils,147.0,5.8,5.5
2006, EAV-130111-G, Synthetic hydraulic oils,10.0,0.1,0.1
2006, EAV-130112-G, Readily biodegradable hydraulic oils,3.0,0.0,0.0
2006, EAV-130113-G, Other hydraulic oils,9.0,0.2,0.2
2006, EAV-130204-G," Mineral-based chlorinated engine, gear, lubr. oils",79.0,3.2,1.5
2006, EAV-130205-G," Mineral-based non-chlor. engine, gear, lubricant. oils",1925.0,481.6,342.8
2006, EAV-130206-G," Synthetic engine, gear and lubricating oils",21.0,0.2,0.2
2006, EAV-130207-G," Readily biodegradable engine,gear,lubricating oils",4.0,0.0,0.0
2006,EAV-130208-G," Other engine, gear and lubricating oils",168.0,43.0,37.3
2006, EAV-130301-G, Insulating or heat transmission oils cont. PCB's,65.0,1.8,1.4
2006, EAV-130306-G," Mineral-b.chlor.insul.,heat transm.oils(ex.130301)",7.0,0.0,0.0
2006, EAV-130307-G," Mineral-based non-chlor. insul., heat transm. oils",176.0,10.2,8.3
2006, EAV-130308-G, Synthetic insulating and heat transmission oils,21.0,0.8,0.8
2006, EAV-130309-G," Readily biodegradable insulating, heat transm. oils",3.0,0.0,0.0
2006, EAV-130310-G, Other insulating and heat transmission oils,39.0,0.9,0.7
2006, EAV-130401-G, Bilge oils from inland navigation,16.0,3.9,3.4
2006, EAV-130402-G, Bilge oils from jetty sewers,0.0,0.0,0.0
2006, EAV-130403-G, Bilge oils from other navigation,40.0,153.2,125.1
2006, EAV-130501-G, Solids from grit chambers and oil/water separators,348.0,102.9,68.4
2006, EAV-130502-G, Sludges from oil/water separators,1218.0,226.1,209.9
2006, EAV-130503-G, Interceptor sludges,659.0,159.8,133.4
2006, EAV-130506-G, Oil from oil/water separators,44.0,7.3,6.9
2006, EAV-130507-G, Oily water from oil/water separators,215.0,41.3,32.7
2006, EAV-130508-G,"Mixtures of wastes fr.grit chambers,oil/water sep.",642.0,114.4,110.4
2006, EAV-130701-G, Fuel oil and diesel,174.0,16.1,14.2
2006, EAV-130702-G, petrol,48.0,2.3,1.9
2006, EAV-130703-G, Other fuels (including mixtures),184.0,44.0,20.0
2006, EAV-130801-G, Oil wastes: Desalter sludges or emulsions,0.0,0.0,0.0
2006, EAV-130802-G, Oil wastes: Other emulsions,144.0,29.7,24.6
2006, EAV-130899-G, Oil wastes: Wastes nos.,173.0,28.2,25.2
2006, EAV-14," Waste organic solvents, refrigerants, propellants",932.0,171.2,85.0
2006, EAV-140601-G," Chlorofluorocarbons, HCFC, HFC",57.0,1.2,0.9
2006, EAV-140602-G, Other halogenated solvents and solvent mixtures,180.0,11.2,5.3
2006, EAV-140603-G, Other solvents and solvent mixtures,714.0,139.1,62.8
2006, EAV-140604-G, Sludges or solid wastes cont. halogenated solvents,42.0,0.7,0.6
2006, EAV-140605-G, Sludges or solid wastes containing other solvents,118.0,19.0,15.2
2006, EAV-15," Waste packaging, absorbents, wiping cloths etc.",2920.0,278.5,206.6
2006, EAV-150110-G, Packaging cont.residues of or contam.by haza.subs.,1202.0,57.1,44.6
2006, EAV-150111-G, Metallic packaging cont. haza. solid porous matrix,38.0,0.7,0.7
2006,EAV-150202-G," Absorbents, filter materials, wiping cloths etc.",2344.0,220.8,161.3
2006, EAV-16, Wastes not otherwise specified in the list,3352.0,904.7,716.2
2006, EAV-160104-G, End-of-life vehicles,42.0,58.4,58.4
2006, EAV-160107-G, End-of-life vehicles: Oil filters,128.0,12.6,9.2
2006, EAV-160108-G, End-of-life vehicles: Components cont. mercury,3.0,0.0,0.0
2006, EAV-160109-G, End-of-life vehicles: Components containing PCBs,0.0,0.0,0.0
2006, EAV-160110-G, End-of-life vehicles: Explosive components,51.0,0.6,0.6
2006, EAV-160111-G, End-of-life vehicles: Brake pads cont. asbestos,10.0,0.1,0.1
2006, EAV-160113-G, End-of-life vehicles: Brake fluids,142.0,12.2,8.0
2006, EAV-160114-G, End-of-life vehicles: Antifreeze fluids,182.0,17.7,12.7
2006, EAV-160121-G," Hazardous components (ex.160107-11,160113-14)",34.0,1.1,0.9
2006, EAV-160209-G, Transformers and capacitors containing PCBs,231.0,5.6,5.3
2006, EAV-160210-G, Discarded equip.cont. or contam.by PCBs(ex.160209),16.0,0.4,0.4
2006, EAV-160211-G," Discarded equip.cont. chlorofluorocarbons,HCFC,HFC",406.0,23.3,17.8
2006, EAV-160212-G,Discarded equipment containing free asbestos,127.0,9.5,8.0
2006, EAV-160213-G, Discarded equip.cont.hazardous comp.(ex.160209-12),882.0,95.8,77.1
2006, EAV-160215-G, Hazardous comp. removed from discarded equipment,250.0,70.8,51.7
2006, EAV-160303-G, Off-spec. batches: Inorganic wastes,40.0,1.0,1.0
2006, EAV-160305-G, Off-spec. batches: organic wastes,70.0,3.1,2.5
2006, EAV-160401-G, Waste ammunition,0.0,0.0,0.0
2006, EAV-160402-G, Fireworks wastes,3.0,0.0,0.0
2006, EAV-160403-G, Other waste explosives,17.0,0.1,0.1
2006, EAV-160504-G, Gases in pressure containers (including halons),247.0,2.6,2.2
2006, EAV-160506-G, Laboratory chemicals consisting of hazardous subs.,192.0,2.4,2.0
2006, EAV-160507-G, Discarded inorganic chemicals cons. To install haza. subs.,479.0,6.2,5.3
