GENESIS-Tabelle: 32111-0002
Abfallentsorgung: Deutschland, Jahre, Abfallarten;;;;;;;
Erhebung der Abfallentsorgung;;;;;;;
Deutschland;;;;;;;
;;;Abfallentsorgungsanlagen;Input von Abfallentsorgungsanlagen;Im eigenen Betrieb erzeugte Abfälle;Aus dem Inland angelieferter Abfall;Aus dem Ausland angelieferter Abfall
2017;EAV-030203-G;Metallorganische Holzschutzmittel;-;-;-;-;-
2017;EAV-030204-G;Anorganische Holzschutzmittel;-;-;-;-;-
2017;EAV-030205-G;Andere Holzschutzmittel mit gefährlichen Stoffen;3;0,0;-;0,0;-
2017;EAV-030299-U;Holzschutzmittel a.n.g.;-;-;-;-;-
2017;EAV-030301-U;Papierherstellung u.a.: Rinden- und Holzabfälle;29;157,6;107,8;49,8;-
2017;EAV-030302-U;Sulfitschlämme (aus Rückgewinnung von Kochlaugen);-;-;-;-;-
2017;EAV-030305-U;Deinking-Schlämme aus dem Papierrecycling;10;641,5;349,4;267,6;24,5
2017;EAV-030307-U;Mechanisch abgetrennte Abfälle (Papierabfälle);103;715,9;118,1;566,7;31,2
2017;EAV-030308-U;Abfälle aus Sortierung v. Papier für Recycling;7;10,9;0,1;10,9;-
2017;EAV-030309-U;Kalkschlammabfälle;8;2,6;0,3;2,3;-
2017;EAV-030310-U;Faserabfälle, Faser-, Füller- und Überzugsschlämme;82;1214,0;358,2;854,2;1,6
2017;EAV-030311-U;Schlämme a. betriebs.Abwasserbehandlung(oh.030310);31;114,8;48,8;65,9;-
2017;EAV-030399-U;Papierherstellung u.a.: Abfälle a.n.g.;21;734,8;713,3;21,3;0,1
2017;EAV-040101-U;Fleischabschabungen und Häuteabfälle;-;-;-;-;-
2017;EAV-040102-U;Geäschertes Leimleder;-;-;-;-;-
2017;EAV-040103-G;Entfettungsabfälle, lösemittelh.,oh.flüssige Phase;-;-;-;-;-
2017;EAV-040104-U;Chromhaltige Gerbereibrühe;-;-;-;-;-
2017;EAV-040105-U;Chromfreie Gerbereibrühe;-;-;-;-;-
2017;EAV-040106-U;Chromhaltige Schlämme;11;99,5;80,0;19,5;-
2017;EAV-040107-U;Chromfreie Schlämme;4;4,5;-;4,5;-
2017;EAV-040108-U;Chromhaltige Abfälle aus gegerbtem Leder;13;6,5;0,5;4,4;1,6
2017;EAV-040109-U;Abfälle aus der Zurichtung und dem Finish;3;2,3;-;0,3;2,0
2017;EAV-040199-U;Leder- und Pelzindustrie: Abfälle a.n.g.;6;1,1;-;0,6;0,6
2017;EAV-040209-U;Abfälle aus Verbundmaterialien (Elastomer u.a.);40;47,1;-;31,2;16,0
2017;EAV-040210-U;Organische Stoffe aus Naturstoffen (z.B. Fette);4;2,7;-;2,7;-
2017;EAV-040214-G;Abfälle aus dem Finish mit organ. Lösungsmittel;-;-;-;-;-
2017;EAV-040215-U;Abfälle aus dem Finish (ohne 040214);10;0,6;0,1;0,5;-
2017;EAV-040216-G;Farbstoffe und Pigmente mit gefährlichen Stoffen;4;0,0;-;0,0;0,0
2017;EAV-040217-U;Farbstoffe und Pigmente (ohne 040216);6;0,2;-;0,2;-
2017;EAV-040219-G;Textilindustrie:Schlämme(betriebseig.Abwasserbeh.);-;-;-;-;-
2017;EAV-040220-U;Schlämme aus betriebseign. Abwasserbeh.(oh.040219);15;1,8;0,3;1,5;-
2017;EAV-040221-U;Abfälle aus unbehandelten Textilfasern;20;14,7;0,9;3,0;10,8
2017;EAV-040222-U;Abfälle aus verarbeiteten Textilfasern;70;36,6;0,8;31,7;4,2
2017;EAV-040299-U;Textilindustrie: Abfälle a.n.g.;4;0,1;-;0,1;-
2017;EAV-050102-G;Erdölraffination: Entsalzungsschlämme;-;-;-;-;-
2017;EAV-050103-G;Erdölraffination: Bodenschlämme aus Tanks;27;13,0;6,0;7,0;0,0
2017;EAV-050104-G;Erdölraffination: Saure Alkylschlämme;-;-;-;-;-
2017;EAV-050105-G;Erdölraffination: Verschüttetes Öl;-;-;-;-;-
2017;EAV-050106-G;Erdölraffination: Ölhalt.Schlämme a.Betriebsvorg.;24;17,1;1,5;15,4;0,1
2017;EAV-050107-G;Erdölraffination: Säureteere;-;-;-;-;-
2017;EAV-050108-G;Erdölraffination: Andere Teere;4;0,5;-;0,5;-
2017;EAV-050109-G;Erdölraffin.: Schlämme (betriebseig.Abwasserbeh.);8;8,4;5,1;3,1;0,2
2017;EAV-050110-U;Schlämme a. betriebseign. Abwasserbeh.(oh.050109);-;-;-;-;-
2017;EAV-050111-G;Erdölraffin.: Abf. aus Brennstoffrein. mit Basen;-;-;-;-;-
2017;EAV-050112-G;Erdölraffination: Säurehaltige Öle;-;-;-;-;-
2017;EAV-050113-U;Erdölraff.: Schlämme aus Kesselspeisewasseraufber.;-;-;-;-;-
2017;EAV-050114-U;Erdölraffination: Abfälle aus Kühlkolonnen;-;-;-;-;-
2017;EAV-050115-G;Erdölraffination: Gebrauchte Filtertone;11;0,9;0,1;0,8;-
2017;EAV-050116-U;Erdölraff.:Schwefelh. Abfälle aus Ölentschwefelung;7;0,5;-;0,4;0,1
2017;EAV-050117-U;Erdölraffination: Bitumen;6;0,2;-;0,2;-
2017;EAV-050199-U;Erdölraffination: Abfälle a.n.g.;-;-;-;-;-
2017;EAV-050601-G;Kohlepyrolyse: Säureteere;-;-;-;-;-
2017;EAV-050603-G;Kohlepyrolyse: Andere Teere;23;14,0;9,3;4,7;-
2017;EAV-050604-U;Kohlepyrolyse: Abfälle aus Kühlkolonnen;-;-;-;-;-
2017;EAV-050699-U;Kohlepyrolyse: Abfälle a.n.g.;3;0,2;-;0,2;-
2017;EAV-050701-G;Erdgasreinigung,-transport: Quecksilberh. Abfälle;5;1,6;-;0,5;1,1
2017;EAV-050702-U;Erdgasreinigung,-transport:Schwefelhaltige Abfälle;6;0,2;-;0,2;0,0
2017;EAV-050799-U;Erdgasreinigung,-transport: Abfälle a.n.g.;3;0,7;-;0,7;-
2017;EAV-060101-G;Schwefelsäure und schweflige Säure;47;214,1;43,2;114,6;56,3
2017;EAV-060102-G;Salzsäure;25;8,3;0,0;8,3;-
2017;EAV-060103-G;Flusssäure;8;2,0;1,9;0,1;-
2017;EAV-060104-G;Phosphorsäure und phosphorige Säure;21;1,3;-;1,2;0,1
2017;EAV-060105-G;Salpetersäure und salpetrige Säure;27;1,2;0,0;1,2;-
2017;EAV-060106-G;Andere Säuren;55;13,6;0,2;13,0;0,3
2017;EAV-060199-U;Säuren: Abfälle a.n.g.;-;-;-;-;-
2017;EAV-060201-G;Calciumhydroxid;6;1,0;0,0;1,0;0,0
2017;EAV-060203-G;Ammoniumhydroxid;19;7,8;0,0;7,8;-
2017;EAV-060204-G;Natrium- und Kaliumhydroxid;30;9,1;0,0;8,8;0,4
2017;EAV-060205-G;Andere Basen;58;17,0;0,2;12,9;3,9
2017;EAV-060299-U;Basen: Abfälle a.n.g.;7;0,2;-;0,2;-
2017;EAV-060311-G;Feste Salze u. Lösungen, Cyanid enthaltend;11;0,4;0,0;0,4;0,0
2017;EAV-060313-G;Feste Salze u. Lösungen, Schwermetalle enthaltend;57;16,2;8,7;7,2;0,3
2017;EAV-060314-U;Feste Salze und Lösungen (ohne 060311 und 060313);72;238,4;34,1;197,7;6,5
2017;EAV-060315-G;Metalloxide, die Schwermetalle enthalten;24;3,7;0,3;3,2;0,2
2017;EAV-060316-U;Metalloxide (ohne 060315);40;68,7;3,4;65,3;0,0
2017;EAV-060399-U;Salze, Salzlösungen, Metalloxide: Abfälle a.n.g.;5;0,6;-;0,6;-
2017;EAV-060403-G;Arsenhaltige Abfälle;8;1,4;-;1,2;0,2
2017;EAV-060404-G;Quecksilberhaltige Abfälle;30;3,2;0,0;2,3;0,9
2017;EAV-060405-G;Abfälle, die andere Schwermetalle enthalten;36;67,4;0,3;66,4;0,7
2017;EAV-060499-U;Metallhaltige Abfälle a.n.g.;-;-;-;-;-
2017;EAV-060502-G;Schlämme aus betriebseigener Abwasserbehandlung;56;85,8;1,9;59,3;24,6
2017;EAV-060503-U;Schlämme aus betriebseign. Abwasserbeh.(oh.060502);72;116,9;15,5;101,4;0,0
2017;EAV-060602-G;Abfälle, die gefährliche Sulfide enthalten;11;0,4;0,0;0,4;0,1
2017;EAV-060603-U;Sulfidhaltige Abfälle (ohne 060602);-;-;-;-;-
2017;EAV-060699-U;Schwefelhaltige Chemikalien: Abfälle a.n.g.;-;-;-;-;-
2017;EAV-060701-G;Asbesthaltige Abfälle aus der Elektrolyse;-;-;-;-;-
2017;EAV-060702-G;Aktivkohle aus der Chlorherstellung;4;0,2;-;0,2;-
2017;EAV-060703-G;Quecksilberhaltige Bariumsulfatschlämme;-;-;-;-;-
2017;EAV-060704-G;Lösungen und Säuren, z.B. Kontaktsäure;-;-;-;-;-
2017;EAV-060799-U;Halogene: Abfälle a.n.g.;6;1,2;0,0;1,2;-
2017;EAV-060802-G;Gefährliche Chlorsilane enthaltende Abfälle;6;12,2;11,3;0,7;0,2
2017;EAV-060899-U;Silizium, Siliziumverbindungen: Abfälle a.n.g.;28;12,8;0,3;12,2;0,4
2017;EAV-060902-U;Phosphorhaltige Schlacke;-;-;-;-;-
2017;EAV-060903-G;Reaktionsabfälle auf Calciumbasis;-;-;-;-;-
2017;EAV-060904-U;Reaktionsabfälle auf Calciumbasis (ohne 060903);-;-;-;-;-
2017;EAV-060999-U;Phosphorhaltige Chemikalien: Abfälle a.n.g.;-;-;-;-;-
2017;EAV-061002-G;Stickstoffh.Chemik.: Abfälle mit gefährl. Stoffen;4;0,1;0,0;0,1;-
2017;EAV-061099-U;Stickstoffhaltige Chemikalien: Abfälle a.n.g.;-;-;-;-;-
2017;EAV-061101-U;Reaktionsabfälle auf Calciumbasis a. Titandioxidh.;6;46,9;-;46,9;-
2017;EAV-061199-U;Anorganische Pigmente, Farbgeber: Abfälle a.n.g.;4;23,9;-;23,9;-
2017;EAV-061301-G;Anorganische Pflanzenschutzmittel,Holzschutzmittel;12;0,1;0,0;0,1;0,0
2017;EAV-061302-G;Gebrauchte Aktivkohle (ohne 060702);36;4,9;1,0;3,3;0,7
2017;EAV-061303-U;Industrieruß;16;2,0;-;1,9;0,1
2017;EAV-061304-G;Abfälle aus der Asbestverarbeitung;5;1,2;-;1,2;-
2017;EAV-061305-G;Ofen- und Kaminruß;-;-;-;-;-
2017;EAV-061399-U;Anorganische chemische Prozesse: Abfälle a.n.g.;5;0,2;0,2;0,0;-
2017;EAV-070101-G;Org.Grundchemik.: Wässrige Waschfl., Mutterlaugen;67;167,7;121,6;43,3;2,9
2017;EAV-070103-G;Org.Grundchemik.: Halogenorg.Lösemittel, Waschfl.;42;43,9;24,2;18,9;0,8
2017;EAV-070104-G;Org.Grundchemik.: Lösemittel, Waschflüssigkeiten;84;216,6;118,6;95,4;2,7
2017;EAV-070107-G;Org.Grundchemik.: Halog.Reaktions-,Destill.rückst.;27;75,4;21,6;41,0;12,8
2017;EAV-070108-G;Org.Grundchemik.: Reaktions-,Destillationsrückst.;69;152,1;53,4;80,7;18,0
2017;EAV-070109-G;Org.Grundchemik.: Halog.Filterkuchen, Aufsaugmat.;11;0,7;0,0;0,5;0,1
2017;EAV-070110-G;Org.Grundchemik.: And. Filterkuchen, Aufsaugmat.;22;4,0;0,2;3,7;-
2017;EAV-070111-G;Org.Grundchemik.:Schlämme(betriebseig.Abwasserbeh);23;36,3;23,5;3,5;9,3
2017;EAV-070112-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070111);20;9,2;0,0;9,2;-
2017;EAV-070199-U;Organische Grundchemikalien: Abfälle a.n.g.;34;24,2;0,2;18,7;5,4
2017;EAV-070201-G;Kunststoffe: Wässrige Waschfl., Mutterlaugen;45;21,3;1,9;19,0;0,4
2017;EAV-070203-G;Kunststoffe: Halogenorg.Lösemittel, Waschflüssig.;30;2,9;0,4;2,5;-
2017;EAV-070204-G;Kunststoffe: organ. Lösemittel, Waschflüssigkeiten;61;39,5;7,4;30,3;1,7
2017;EAV-070207-G;Kunststoffe: Halog. Reaktions-, Destill.rückstände;25;5,7;1,5;3,4;0,8
2017;EAV-070208-G;Kunststoffe: Reaktions-, Destillationsrückstände;78;77,7;25,3;52,0;0,5
2017;EAV-070209-G;Kunststoffe: Halog. Filterkuchen, Aufsaugmat.;5;0,2;0,0;0,2;-
2017;EAV-070210-G;Kunststoffe: And. Filterkuchen, Aufsaugmaterialien;29;6,1;1,2;4,9;-
2017;EAV-070211-G;Kunststoffe: Schlämme (betriebseig.Abwasserbeh.);11;1,0;0,0;0,9;-
2017;EAV-070212-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070211);33;18,3;3,4;14,9;-
2017;EAV-070213-U;Kunststoffabfälle;267;357,9;5,6;323,5;28,8
2017;EAV-070214-G;Kunststoffe: Abfälle v.Zusatzstoffen m.gefährl.St.;19;2,8;0,3;2,5;-
2017;EAV-070215-U;Abfälle von Zusatzstoffen (ohne 070214);18;0,7;0,2;0,5;-
2017;EAV-070216-G;Kunststoffe: Gefährl. Silicone enthaltende Abfälle;7;0,9;0,6;0,2;-
2017;EAV-070217-U;Siliconhaltige Abfälle (ohne 070216);6;0,4;0,1;0,3;-
2017;EAV-070299-U;Kunststoffe, -fasern, synth. Gummi: Abfälle a.n.g.;56;43,4;0,4;37,5;5,6
2017;EAV-070301-G;Org.Farbstoffe: Wässrige Waschfl., Mutterlaugen;22;7,6;1,4;5,9;0,3
2017;EAV-070303-G;Org.Farbstoffe: Halogenorg. Lösemittel, Waschfl.;13;0,6;0,0;0,6;-
2017;EAV-070304-G;Org.Farbstoffe: Lösemittel, Waschflüssigkeiten;46;32,0;0,6;29,5;1,8
2017;EAV-070307-G;Org.Farbstoffe: Halog. Reaktions-, Destill.rückst.;12;1,6;0,7;0,9;-
2017;EAV-070308-G;Org.Farbstoffe: Reaktions-,Destillationsrückstände;14;5,0;0,0;5,0;-
2017;EAV-070309-G;Org.Farbstoffe: Halog. Filterkuchen, Aufsaugmat.;5;0,2;0,1;0,1;-
2017;EAV-070310-G;Org.Farbstoffe: Andere Filterkuchen, Aufsaugmat.;7;0,3;0,0;0,3;-
2017;EAV-070311-G;Org.Farbstoffe: Schlämme(betriebseig.Abwasserbeh.);-;-;-;-;-
2017;EAV-070312-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070311);3;0,1;0,0;0,1;-
2017;EAV-070399-U;Organische Farbstoffe, Pigmente: Abfälle a.n.g.;3;0,3;-;0,3;0,0
2017;EAV-070401-G;Pflanzenschutzmittel:Wässrige Waschfl.,Mutterlaug.;21;29,5;15,5;12,8;1,1
2017;EAV-070403-G;Pflanzenschutzmit.: Halogenorg.Lösemittel,Waschfl.;20;83,8;48,4;34,0;1,4
2017;EAV-070404-G;Pflanzenschutzmittel: Organ. Lösemittel, Waschfl.;20;25,5;12,2;13,2;0,1
2017;EAV-070407-G;Pflanzenschutzmit.:Halog.Reaktions-,Destill.rückst;13;38,0;15,9;22,1;-
2017;EAV-070408-G;Pflanzenschutzmittel: Reaktions-, Destill.rückst.;11;6,4;2,8;3,5;0,2
2017;EAV-070409-G;Pflanzenschutzmittel:Halog.Filterkuchen,Aufsaugmat;6;0,2;0,2;0,0;-
2017;EAV-070410-G;Pflanzenschutzmittel: Filterkuchen, Aufsaugmat.;11;0,4;0,1;0,4;0,0
2017;EAV-070411-G;Pflanzenschutzm.:Schlämme(betriebseig.Abwasserbeh);8;0,3;0,3;0,1;-
2017;EAV-070412-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070411);-;-;-;-;-
2017;EAV-070413-G;Pflanzenschutzmittel: Feste Abfälle m.gefährl.St.;11;1,2;0,6;0,3;0,2
2017;EAV-070499-U;Pflanzenschutzmittel u.a.: Abfälle a.n.g.;6;3,4;0,0;0,2;3,2
2017;EAV-070501-G;Pharmazeutika: Wässrige Waschfl., Mutterlaugen;27;34,4;10,0;19,8;4,6
2017;EAV-070503-G;Pharmazeutika: Halogenorg.Lösemittel, Waschfl.;27;34,2;22,4;8,0;3,8
2017;EAV-070504-G;Pharmazeutika: organ. Lösemittel, Waschflüssigk.;38;83,2;18,1;61,4;3,6
2017;EAV-070507-G;Pharmazeutika: Halog.Reaktions-, Destill.rückst.;13;1,7;0,2;1,3;0,1
2017;EAV-070508-G;Pharmazeutika: Reaktions-,Destillationsrückstände;22;5,1;0,0;5,0;0,1
2017;EAV-070509-G;Pharmazeutika: Halog.Filterkuchen, Aufsaugmat.;11;0,5;0,3;0,1;0,1
2017;EAV-070510-G;Pharmazeutika: Filterkuchen, Aufsaugmaterialien;15;1,9;0,1;1,8;0,0
2017;EAV-070511-G;Pharmazeutika: Schlämme (betriebseig.Abwasserbeh.);5;0,5;-;0,4;0,0
2017;EAV-070512-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070511);5;0,6;0,0;0,0;0,5
2017;EAV-070513-G;Pharmazeutika: Feste Abfälle mit gefährl. Stoffen;16;2,8;-;1,2;1,6
2017;EAV-070514-U;Feste Abfälle (ohne 070513);33;13,8;1,3;12,5;0,0
2017;EAV-070599-U;Pharmazeutika: Abfälle a.n.g.;38;12,3;0,3;11,7;0,3
2017;EAV-070601-G;Fette, Seifen: Wässrige Waschfl., Mutterlaugen;53;24,6;0,1;23,9;0,6
2017;EAV-070603-G;Fette, Seifen: Halogenorg.Lösemittel, Waschfl.;13;0,4;0,0;0,4;-
2017;EAV-070604-G;Fette, Seifen: organ. Lösemittel, Waschflüssigk.;42;8,4;1,1;7,2;0,1
2017;EAV-070607-G;Fette, Seifen: Halog.Reaktions-, Destill.rückst.;3;0,1;-;0,1;-
2017;EAV-070608-G;Fette, Seifen: Reaktions-,Destillationsrückstände;44;43,2;1,7;41,5;0,0
2017;EAV-070609-G;Fette, Seifen: Halog.Filterkuchen, Aufsaugmat.;3;0,3;-;0,3;-
2017;EAV-070610-G;Fette, Seifen: Filterkuchen, Aufsaugmaterialien;16;1,3;0,0;1,3;-
2017;EAV-070611-G;Fette, Seifen: Schlämme (betriebseig.Abwasserbeh.);5;1,5;-;1,5;-
2017;EAV-070612-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070611);21;12,1;-;12,1;-
2017;EAV-070699-U;Fette, Seifen, Schmierstoffe u.a.: Abfälle a.n.g.;64;28,2;0,0;27,8;0,4
2017;EAV-070701-G;Feinchemikalien: Wässrige Waschfl., Mutterlaugen;52;75,4;19,6;51,0;4,7
2017;EAV-070703-G;Feinchemikalien: Halogenorg.Lösemittel, Waschfl.;29;25,7;11,4;13,9;0,3
2017;EAV-070704-G;Feinchemikalien: organ. Lösemittel, Waschflüssigk.;50;49,7;9,1;40,2;0,4
2017;EAV-070707-G;Feinchemikalien: Halog.Reaktions-, Destill.rückst.;19;15,1;3,6;11,5;0,1
2017;EAV-070708-G;Feinchemikalien: Reaktions-, Destillationsrückst.;43;110,5;80,2;29,0;1,2
2017;EAV-070709-G;Feinchemikalien: Halog.Filterkuchen, Aufsaugmat.;14;0,9;0,3;0,6;-
2017;EAV-070710-G;Feinchemikalien: Filterkuchen, Aufsaugmaterialien;27;4,1;0,6;3,6;-
2017;EAV-070711-G;Feinchemikalien:Schlämme(betriebseig.Abwasserbeh.);13;2,3;0,4;1,9;-
2017;EAV-070712-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070711);12;1,3;0,2;1,2;-
2017;EAV-070799-U;Feinchemikalien: Abfälle a.n.g.;10;2,0;0,0;1,9;-
2017;EAV-080111-G;Farb- und Lackabfälle mit gefährlichen Stoffen;80;48,4;3,3;37,0;8,1
2017;EAV-080112-U;Farb- und Lackabfälle (ohne 080111);119;36,9;0,0;36,5;0,4
2017;EAV-080113-G;Farb- und Lackschlämme mit gefährlichen Stoffen;54;30,8;7,1;23,4;0,4
2017;EAV-080114-U;Farb- und Lackschlämme (ohne 080113);22;4,7;-;4,7;-
2017;EAV-080115-G;Farben, Lacke: Wässrige Schlämme mit gefährl. St.;35;18,6;4,3;14,3;-
