Year,WZ2008(2-digit),Waste generation,,Waste types,establishments,Amount of waste generated
2010,WZ08-10-01,food industry and tobacco processing,EAV-16,"Packaging waste, absorbent masses, wipes",1240,527.8
2010,WZ08-10-01,food industry and tobacco processing,EAV-17,Waste not included elsewhere in the inventory,426,11.4
2010,WZ08-10-01,food industry and tobacco processing,EAV-18,construction and demolition waste,601,128.2
2010,WZ08-10-01,food industry and tobacco processing,EAV-19,Waste from medical supplies,7,0.7
2010,WZ08-10-01,food industry and tobacco processing,EAV-20,"Waste from waste treatment plants, etc",224,251
2010,WZ08-10-01,food industry and tobacco processing,EAV-99,Municipal waste (household waste and similar waste),1379,432
2010,,,EAV-01,In total,1439,6963.2
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-03,"Waste from agriculture, forestry, etc",13,0.1
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-04,"Waste from wood processing, etc",5,0.1
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-05,"Waste from the leather, fur and textile industries",332,103.9
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-07,Waste from inorganic chemical processes,22,0.1
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-08,Waste from organic chemical processes,92,10.1
2010,WZ08-13-03,"Textile and clothing industry, leather industry",,"Waste from MFSU from coatings, adhesives, etc",113,2.8
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-09,waste from the photographic industry,3,0
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-10,Waste from thermal processes,11,2.5
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-11,Waste from chemical surface treatment,7,0
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-12,Waste from mechanical shaping processes,47,0.6
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-13,waste oil and liquid fuel waste,155,1.2
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-14,"Waste from organic solvents, coolants",42,0.1
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-15,"Packaging waste, absorbent masses, wipes",559,53
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-16,Waste not included elsewhere in the inventory,119,0.7
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-17,construction and demolition waste,205,8.4
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-19,"Waste from waste treatment plants, etc",54,13.1
2010,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-20,Municipal waste (household waste and similar waste),626,36
2010,,,,In total,645,232.8
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-02,"Waste from agriculture, forestry, etc",9,0.2
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-03,"Waste from wood processing, etc",242,3272.2
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-06,Waste from inorganic chemical processes,14,0.1
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-07,Waste from organic chemical processes,34,1
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-08,"Waste from MFSU from coatings, adhesives, etc",126,5.4
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-10,Waste from thermal processes,149,178.8
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-11,Waste from chemical surface treatment,6,0
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-12,Waste from mechanical shaping processes,61,3.6
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-13,waste oil and liquid fuel waste,122,1.8
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-14,"Waste from organic solvents, coolants",27,1.1
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-15,"Packaging waste, absorbent masses, wipes",312,43.6
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-16,Waste not included elsewhere in the inventory,82,1.1
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-17,construction and demolition waste,181,35.8
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-19,"Waste from waste treatment plants, etc",36,47.9
2010,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-20,Municipal waste (household waste and similar waste),385,42.7
2010,,,,In total,401,3635.4
2010,WZ08-17-03,paper and printing trades,EAV-02,"Waste from agriculture, forestry, etc",66,2
2010,WZ08-17-03,paper and printing trades,EAV-03,"Waste from wood processing, etc",492,5629.6
2010,WZ08-17-03,paper and printing trades,EAV-04,"Waste from the leather, fur and textile industries",13,16.4
2010,WZ08-17-03,paper and printing trades,EAV-06,Waste from inorganic chemical processes,69,4.9
2010,WZ08-17-03,paper and printing trades,EAV-07,Waste from organic chemical processes,263,36
2010,WZ08-17-03,paper and printing trades,EAV-08,"Waste from MFSU from coatings, adhesives, etc",794,49.1
2010,WZ08-17-03,paper and printing trades,EAV-09,waste from the photographic industry,439,17.7
2010,WZ08-17-03,paper and printing trades,EAV-10,Waste from thermal processes,39,450.7
2010,WZ08-17-03,paper and printing trades,EAV-11,Waste from chemical surface treatment,69,2.2
2010,WZ08-17-03,paper and printing trades,EAV-12,Waste from mechanical shaping processes,152,12
2010,WZ08-17-03,paper and printing trades,EAV-13,waste oil and liquid fuel waste,504,20.9
2010,WZ08-17-03,paper and printing trades,EAV-14,"Waste from organic solvents, coolants",337,4.8
2010,WZ08-17-03,paper and printing trades,EAV-15,"Packaging waste, absorbent masses, wipes",1069,559.8
2010,WZ08-17-03,paper and printing trades,EAV-16,Waste not included elsewhere in the inventory,358,12
2010,WZ08-17-03,paper and printing trades,EAV-17,construction and demolition waste,491,77.6
2010,WZ08-17-03,paper and printing trades,EAV-18,Waste from medical supplies,3,0
2010,WZ08-17-03,paper and printing trades,EAV-19,"Waste from waste treatment plants, etc",174,216.3
2010,WZ08-17-03,paper and printing trades,EAV-20,Municipal waste (household waste and similar waste),1245,885.8
2010,,,,In total,1267,7998
2010,WZ08-19,coking plant and petroleum processing,EAV-02,"Waste from agriculture, forestry, etc",7,0.3
2010,WZ08-19,coking plant and petroleum processing,EAV-05,"Waste from petroleum refining, natural gas purification",25,28.9
2010,WZ08-19,coking plant and petroleum processing,EAV-06,Waste from inorganic chemical processes,18,32.4
2010,WZ08-19,coking plant and petroleum processing,EAV-07,Waste from organic chemical processes,28,8
2010,WZ08-19,coking plant and petroleum processing,EAV-08,"Waste from MFSU from coatings, adhesives, etc",12,0
2010,WZ08-19,coking plant and petroleum processing,EAV-10,Waste from thermal processes,9,31.5
2010,WZ08-19,coking plant and petroleum processing,EAV-11,Waste from chemical surface treatment,5,0.1
2010,WZ08-19,coking plant and petroleum processing,EAV-12,Waste from mechanical shaping processes,24,4.8
2010,WZ08-19,coking plant and petroleum processing,EAV-13,waste oil and liquid fuel waste,35,20.2
2010,WZ08-19,coking plant and petroleum processing,EAV-14,"Waste from organic solvents, coolants",16,1.4
2010,WZ08-19,coking plant and petroleum processing,EAV-15,"Packaging waste, absorbent masses, wipes",48,5.6
2010,WZ08-19,coking plant and petroleum processing,EAV-16,Waste not included elsewhere in the inventory,39,19.2
2010,WZ08-19,coking plant and petroleum processing,EAV-17,construction and demolition waste,34,79.6
2010,WZ08-19,coking plant and petroleum processing,EAV-18,Waste from medical supplies,4,0
2010,WZ08-19,coking plant and petroleum processing,EAV-19,"Waste from waste treatment plants, etc",17,22.1
2010,WZ08-19,coking plant and petroleum processing,EAV-20,Municipal waste (household waste and similar waste),47,8.8
2010,,,,In total,48,263
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-01,Waste from the extraction of mineral resources,23,1399.1
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-02,"Waste from agriculture, forestry, etc",256,288.5
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-03,"Waste from wood processing, etc",74,35.2
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-04,"Waste from the leather, fur and textile industries",36,12.1
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-05,"Waste from petroleum refining, natural gas purification",31,11.6
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-06,Waste from inorganic chemical processes,456,490.1
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-07,Waste from organic chemical processes,1711,1811.1
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-08,"Waste from MFSU from coatings, adhesives, etc",900,96
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-09,waste from the photographic industry,36,2.1
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-10,Waste from thermal processes,147,144.3
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-11,Waste from chemical surface treatment,217,47.5
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-12,Waste from mechanical shaping processes,945,86.8
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-13,waste oil and liquid fuel waste,1344,38
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-14,"Waste from organic solvents, coolants",579,18.7
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-15,"Packaging waste, absorbent masses, wipes",2670,476.9
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-16,Waste not included elsewhere in the inventory,1225,137.9
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-17,construction and demolition waste,1388,960.3
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-18,Waste from medical supplies,125,47.2
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-19,"Waste from waste treatment plants, etc",396,1139.7
2010,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-20,Municipal waste (household waste and similar waste),2860,351
2010,,,,In total,2963,7594.2
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-01,Waste from the extraction of mineral resources,41,263.6
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-02,"Waste from agriculture, forestry, etc",49,0.5
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-03,"Waste from wood processing, etc",62,7.5
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-04,"Waste from the leather, fur and textile industries",5,0.8
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-05,"Waste from petroleum refining, natural gas purification",6,1.4
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-06,Waste from inorganic chemical processes,99,5.5
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-07,Waste from organic chemical processes,139,6.4
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-08,"Waste from MFSU from coatings, adhesives, etc",242,15.4
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-09,waste from the photographic industry,8,0
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-10,Waste from thermal processes,512,985.3
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-11,Waste from chemical surface treatment,43,1.3
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-12,Waste from mechanical shaping processes,215,12.7
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-13,waste oil and liquid fuel waste,490,16
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-14,"Waste from organic solvents, coolants",139,0.5
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-15,"Packaging waste, absorbent masses, wipes",805,76.8
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-16,Waste not included elsewhere in the inventory,379,33.7
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-17,construction and demolition waste,614,439
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-18,Waste from medical supplies,-,-
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-19,"Waste from waste treatment plants, etc",110,64.6
2010,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-20,Municipal waste (household waste and similar waste),928,95.4
2010,,,,In total,956,2026.3
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-01,Waste from the extraction of mineral resources,4,2.2
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-02,"Waste from agriculture, forestry, etc",104,1.8
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-03,"Waste from wood processing, etc",54,3.1
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-04,"Waste from the leather, fur and textile industries",3,0.6
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-05,"Waste from petroleum refining, natural gas purification",22,4.2
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-06,Waste from inorganic chemical processes,368,118
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-07,Waste from organic chemical processes,363,20.9
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-08,"Waste from MFSU from coatings, adhesives, etc",652,14.1
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-09,waste from the photographic industry,54,0.2
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-10,Waste from thermal processes,427,6854.7
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-11,Waste from chemical surface treatment,597,449.8
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-12,Waste from mechanical shaping processes,1538,1775.9
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-13,waste oil and liquid fuel waste,1270,66.1
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-14,"Waste from organic solvents, coolants",485,7.4
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-15,"Packaging waste, absorbent masses, wipes",1744,243.5
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-16,Waste not included elsewhere in the inventory,878,355.4
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-17,construction and demolition waste,1065,1180.6
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-18,Waste from medical supplies,12,0
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-19,"Waste from waste treatment plants, etc",332,128.4
2010,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-20,Municipal waste (household waste and similar waste),1829,230.8
2010,,,,In total,1877,11457.7
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-01,Waste from the extraction of mineral resources,13,0.7
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-02,"Waste from agriculture, forestry, etc",587,19.4
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-03,"Waste from wood processing, etc",133,15.1
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-04,"Waste from the leather, fur and textile industries",38,18.8
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-05,"Waste from petroleum refining, natural gas purification",21,0.4
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-06,Waste from inorganic chemical processes,653,44.4
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-07,Waste from organic chemical processes,1248,83.4
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-08,"Waste from MFSU from coatings, adhesives, etc",2409,80.6
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-09,waste from the photographic industry,142,0.3
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-10,Waste from thermal processes,377,297.5
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-11,Waste from chemical surface treatment,962,74.2
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-12,Waste from mechanical shaping processes,3627,3679.9
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-13,waste oil and liquid fuel waste,2816,81.9
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-14,"Waste from organic solvents, coolants",1422,11
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-15,"Packaging waste, absorbent masses, wipes",4820,627.8
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-16,Waste not included elsewhere in the inventory,2687,309.6
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-17,construction and demolition waste,2678,1145.8
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-18,Waste from medical supplies,44,0.5
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-19,"Waste from waste treatment plants, etc",586,92.6
2010,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-20,Municipal waste (household waste and similar waste),5297,707.5
2010,,,,In total,5399,7291.3
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-01,Waste from the extraction of mineral resources,3,0
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-02,"Waste from agriculture, forestry, etc",32,0.4
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-03,"Waste from wood processing, etc",297,263
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-04,"Waste from the leather, fur and textile industries",42,3.6
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-05,"Waste from petroleum refining, natural gas purification",-,-
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-06,Waste from inorganic chemical processes,71,2.4
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-07,Waste from organic chemical processes,213,21.1
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-08,"Waste from MFSU from coatings, adhesives, etc",361,7.4
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-09,waste from the photographic industry,17,0
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-10,Waste from thermal processes,186,5.8
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-11,Waste from chemical surface treatment,124,3.8
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-12,Waste from mechanical shaping processes,387,51.9
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-13,waste oil and liquid fuel waste,279,42.8
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-14,"Waste from organic solvents, coolants",167,0.8
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-15,"Packaging waste, absorbent masses, wipes",906,64.5
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-16,Waste not included elsewhere in the inventory,250,2.1
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-17,construction and demolition waste,357,23.3
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-18,Waste from medical supplies,16,0.1
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-19,"Waste from waste treatment plants, etc",75,2.8
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-20,Municipal waste (household waste and similar waste),1059,77.8
2010,WZ08-31-02,Manufacture of furniture and other goods,EAV-99,Hazardous waste,-,-
2010,,,,In total,1082,573.6
2010,WZ08-35-01,"power supply, water supply",EAV-01,Waste from the extraction of mineral resources,3,0.4
2010,WZ08-35-01,"power supply, water supply",EAV-02,"Waste from agriculture, forestry, etc",91,2.6
2010,WZ08-35-01,"power supply, water supply",EAV-03,"Waste from wood processing, etc",6,0.1
2010,WZ08-35-01,"power supply, water supply",EAV-04,"Waste from the leather, fur and textile industries",-,-
2010,WZ08-35-01,"power supply, water supply",EAV-05,"Waste from petroleum refining, natural gas purification",21,0.2
2010,WZ08-35-01,"power supply, water supply",EAV-06,Waste from inorganic chemical processes,54,8.3
2010,WZ08-35-01,"power supply, water supply",EAV-07,Waste from organic chemical processes,68,2.9
2010,WZ08-35-01,"power supply, water supply",EAV-08,"Waste from MFSU from coatings, adhesives, etc",137,0.1
2010,WZ08-35-01,"power supply, water supply",EAV-09,waste from the photographic industry,19,0
2010,WZ08-35-01,"power supply, water supply",EAV-10,Waste from thermal processes,51,6397.2
2010,WZ08-35-01,"power supply, water supply",EAV-11,Waste from chemical surface treatment,24,0.2
2010,WZ08-35-01,"power supply, water supply",EAV-12,Waste from mechanical shaping processes,86,7
2010,WZ08-35-01,"power supply, water supply",EAV-13,waste oil and liquid fuel waste,216,16.9
2010,WZ08-35-01,"power supply, water supply",EAV-14,"Waste from organic solvents, coolants",68,0.1
2010,WZ08-35-01,"power supply, water supply",EAV-15,"Packaging waste, absorbent masses, wipes",269,15
2010,WZ08-35-01,"power supply, water supply",EAV-16,Waste not included elsewhere in the inventory,234,25.4
2010,WZ08-35-01,"power supply, water supply",EAV-17,construction and demolition waste,242,1232.5
2010,WZ08-35-01,"power supply, water supply",EAV-18,Waste from medical supplies,14,0
2010,WZ08-35-01,"power supply, water supply",EAV-19,"Waste from waste treatment plants, etc",124,791.8
2010,WZ08-35-01,"power supply, water supply",EAV-20,Municipal waste (household waste and similar waste),303,65.8
2010,WZ08-35-01,"power supply, water supply",EAV-99,Hazardous waste,-,-
2010,,,,In total,306,8566.5
2010,WZ08-45-04,Services,EAV-01,Waste from the extraction of mineral resources,8,0.8
2010,WZ08-45-04,Services,EAV-02,"Waste from agriculture, forestry, etc",933,86.9
2010,WZ08-45-04,Services,EAV-03,"Waste from wood processing, etc",67,1.8
2010,WZ08-45-04,Services,EAV-04,"Waste from the leather, fur and textile industries",-,-
2010,WZ08-45-04,Services,EAV-05,"Waste from petroleum refining, natural gas purification",-,-
2010,WZ08-45-04,Services,EAV-06,Waste from inorganic chemical processes,219,0.5
2010,WZ08-45-04,Services,EAV-07,Waste from organic chemical processes,442,6.4
2010,WZ08-45-04,Services,EAV-08,"Waste from MFSU from coatings, adhesives, etc",501,2.6
2010,WZ08-45-04,Services,EAV-09,waste from the photographic industry,472,2.3
2010,WZ08-45-04,Services,EAV-10,Waste from thermal processes,39,2.8
2010,WZ08-45-04,Services,EAV-11,Waste from chemical surface treatment,104,0.7
2010,WZ08-45-04,Services,EAV-12,Waste from mechanical shaping processes,204,10.8
2010,WZ08-45-04,Services,EAV-13,waste oil and liquid fuel waste,657,30.1
2010,WZ08-45-04,Services,EAV-14,"Waste from organic solvents, coolants",257,6.4
2010,WZ08-45-04,Services,EAV-15,"Packaging waste, absorbent masses, wipes",2389,665.2
2010,WZ08-45-04,Services,EAV-16,Waste not included elsewhere in the inventory,1222,48
2010,WZ08-45-04,Services,EAV-17,construction and demolition waste,1230,4527.3
2010,WZ08-45-04,Services,EAV-18,Waste from medical supplies,832,202.4
2010,WZ08-45-04,Services,EAV-19,"Waste from waste treatment plants, etc",291,80.3
2010,WZ08-45-04,Services,EAV-20,Municipal waste (household waste and similar waste),3063,1440.8
2010,,,,In total,3080,7117.4
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-02,"Waste from agriculture, forestry, etc",132,140.3
