"Waste disposal: Germany, years, type of facility, types of waste",,,,,,,,,,,,
Elevation of waste disposal,,,,,,,,,,,,
Germany,,,,,,,,,,,,
Year Plant Type Fallout Types,,waste disposal facilities,Input from waste disposal plants,Waste generated in my own business,Waste brought in from within the country,Angel after fall from abroad,Waste disposal plants with output,Output of waste disposal systems,If for separation,Errors for evaluation,Examples of preparation procedures,Absence of others
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,11,76.9,2.3,74.6,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,14,30.1,1.4,28.7,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",14,52,4.2,47.9,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",45,170.9,12.4,157.8,0.6,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,18,190.5,2.4,175.2,13,7,0.2,0.2,0.1,0,0
EAV-17,construction and demolition waste,44,1001.8,8.1,974.7,19.1,8,1.7,0,0.8,0,0.9
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",96,4887.9,32.6,4527.7,327.6,115,391.7,106.2,283.4,0,2.2
EAV-20,Municipal waste (household waste and similar waste),30,309,1.2,305.9,1.9,4,0.7,0,0.6,0,0
EAV-99,dangerous accidents,75,1495.2,249.8,1152.9,92.5,50,287.5,47.4,166.1,0,74
Chemical-physical treatment facilities,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,23,48.3,3.5,44.8,0,5,9.2,6.6,2.6,0,0
EAV-02,"Crops from agriculture, forestry etc.",31,796.9,758.9,37.7,0.4,16,81.8,2.8,79,0,0
EAV-03,Waste from woodworking etc,13,1103.7,1100.6,3.1,0,4,217.9,1.1,216.9,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",23,13.9,0.1,7.4,6.4,5,0.4,0.4,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",32,103.3,0,102.1,1.2,7,7.9,0.6,7.3,0,0
EAV-06,Drops from inorganic-chemical processes,95,571.3,442.8,122.6,6,53,60.6,18.7,10.1,0,31.8
EAV-07,Fallen from organic chemical processes,132,327.3,113.8,203.9,9.6,64,47.7,13.1,30.9,0,3.7
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",95,143.5,24.2,118,1.3,50,24.2,3.2,20.2,0,0.8
EAV-09,Drops from the photographic industry,35,34.6,0,33.8,0.8,20,11.4,1.8,7.8,0,1.7
EAV-10,Drops from thermal processes,65,703.9,145.1,458.2,100.6,35,218.7,12.8,133.6,0,72.3
EAV-11,Fall from the chemical surface treatment,187,1576.8,1353,193,30.8,114,36.6,21.1,14.8,0,0.7
EAV-12,Drops from mechanical forming processes,144,565.5,123.8,424.8,16.9,81,57.8,13.6,37.1,0,7.1
EAV-13,Lakes and ravines from liquid fuels,125,707.5,33,662.8,11.7,83,64,26.6,36.9,0,0.5
EAV-14,"Waste from organic solvents, refrigerants",42,48.9,4.1,37.1,7.7,28,36.8,0.7,35.1,0,1.1
EAV-15,"Packaging all, absorbent masses, wipes",26,18.2,0.9,16.7,0.6,51,15.1,0.8,14.2,0,0.1
EAV-16,Cases not otherwise listed in the directory,115,249.5,14.7,225.2,9.6,51,17.6,4.3,11.8,0,1.5
EAV-17,construction and demolition waste,32,944.6,2.5,939.5,2.6,25,630.2,389,205.4,0,35.9
EAV-18,Fall from the medical care,24,308.3,306.3,2.1,0,18,2.7,2.6,0.2,0,0
EAV-19,"Waste from waste treatment facilities, etc",147,1467.6,805.4,607.7,54.5,295,1900.2,424.8,700.7,0,774.8
EAV-99,dangerous accidents,498,5602.1,2321.6,3080,200.5,460,967.2,364.8,576.3,0,26.1
soil treatment plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,4,2.3,0,2.3,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",9,15.2,0,11.9,3.3,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,11,24.4,0,24.1,0.2,3,3.6,0,1.4,0,2.3
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",3,2,0,2,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,6,1.1,0,1.1,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,3,26.2,0,1.4,24.8,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,13,6.9,0,6.9,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,13,3.6,0,3.6,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,49,34.3,0,34,0.3,5,0.4,0.2,0.2,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",8,1.4,0,1.4,0,7,0.1,0,0.1,0,0
EAV-16,Cases not otherwise listed in the directory,10,2.5,0,2.5,0,0,0,0,0,0,0
EAV-17,construction and demolition waste,106,3602.4,2.1,3189.4,410.9,72,2503.5,170.1,2130.4,0,203
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",49,245.3,0.4,226.6,18.4,71,1425.6,384.3,769.4,0,271.9
EAV-20,Municipal waste (household waste and similar waste),33,213.5,0,212.3,1.3,13,110.3,0,110.3,0,0
EAV-02,"Crops from agriculture, forestry etc.",449,2752.6,363.1,2284.2,105.4,4,3.8,0,2.2,0,1.6
EAV-03,Waste from woodworking etc,102,381.3,0,380.1,1.2,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",21,16.8,0,16.8,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,3,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,17,15.5,0,15.5,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,4,1.2,0,1.2,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",19,4.3,0,4.3,0,7,2,0,1.8,0,0.2
EAV-16,Cases not otherwise listed in the directory,3,0.8,0,0.8,0,0,0,0,0,0,0
EAV-17,construction and demolition waste,28,48.5,0,48.5,0,10,13.1,0,12.7,0,0.4
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",160,1006.5,68.1,910.1,28.3,1294,8189.4,226.6,714.6,0,7248.2
EAV-20,Municipal waste (household waste and similar waste),1114,8154.7,106.7,8031.8,16.2,48,50.2,1.9,38.9,0,9.3
EAV-99,dangerous accidents,7,8.1,0,8.1,0,1,0,0,0,0,0
Mechanical-biological ointment treatment systems,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",31,603.9,0,603.4,0.5,43,2892.3,1408.8,1317.4,0,166.1
EAV-20,Municipal waste (household waste and similar waste),43,3055.8,16.1,3039.7,0,16,91.8,17.8,71.7,0,2.3
EAV-99,dangerous accidents,1,0,0,0,0,7,0,0,0,0,0
dismantling operations for used vehicles,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,0,0,0,0,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,3,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,1021,3.9,0.4,3.1,0,0.5
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,37,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",0,0,0,0,0,94,0.1,0,0.1,0,0
EAV-16,Cases not otherwise listed in the directory,1345,488.4,0,484.3,4.1,1175,470.6,1.5,426.8,0,42.4
EAV-17,construction and demolition waste,0,0,0,0,0,23,2.1,0,1.6,0,0.5
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),0,0,0,0,0,13,0,0,0,0,0
EAV-99,dangerous accidents,1177,453.4,0,449.3,4.1,1146,17.3,0.7,15.4,0,1.2
Shredder systems and scrap shears,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",11,5.9,0,5.9,0,3,1.6,0,1.6,0,0
EAV-03,Waste from woodworking etc,37,315.5,0.2,289.1,26.2,6,41.9,0,5.7,0,36.2
EAV-04,"Scraps from the Leather, Fur and Textile Industry",3,10.2,0,10.2,0,3,3,0,1.8,0,1.2
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,21,106.1,0.3,100.9,4.9,5,2.2,0.4,1.9,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",3,1,0,1,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,5,1.4,0,1.4,0,3,1.2,0,0.2,0,1
EAV-10,Drops from thermal processes,5,72.1,5.6,40.8,25.7,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,20,143.9,0.4,135.1,8.4,6,8.1,0,0,0,8
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,7,0.3,0,0.1,0,0.2
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,3,0.1,0.1,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",130,341,1,333.9,6.2,17,106.7,0.3,51,0,55.3
EAV-16,Cases not otherwise listed in the directory,88,1645.4,0.4,1529.3,115.8,18,58.7,1.4,46.8,0,10.5
EAV-17,construction and demolition waste,269,4872.2,33,4595.4,243.7,60,530.9,3.2,216.2,0,311.5
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",81,983.9,8.2,820.2,155.5,409,8676.6,340.5,4358.9,0,3977.2
EAV-20,Municipal waste (household waste and similar waste),202,1227.3,11.3,1200.8,15.1,30,103.4,28.7,47.2,0,27.5
EAV-99,dangerous accidents,93,330.8,2,281.3,47.5,108,467.8,20.3,405.4,0,42.1
sorting plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",29,6.9,0,6.9,0,12,1.6,0,1.4,0,0.1
EAV-03,Waste from woodworking etc,31,106.6,0,106.6,0,12,71.6,0,70.6,0,1.1
EAV-04,"Scraps from the Leather, Fur and Textile Industry",26,28.7,0,27.4,1.3,18,4.1,0.2,3.9,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,32,13.1,0,13.1,0,16,4.3,0.1,4.1,0,0.1
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",8,0.7,0,0.7,0,5,0.1,0,0.1,0,0
EAV-09,Drops from the photographic industry,3,0.7,0,0.7,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,6,368,0,367.2,0.8,4,281.9,143.2,90.6,0,48.1
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,41,167.6,0,154,13.5,15,121.7,1,29.2,0,91.6
EAV-13,Lakes and ravines from liquid fuels,5,3.4,0,3.4,0,7,3.4,0,3.4,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",640,8243.7,2.3,8148.8,92.6,164,556.1,14.5,342.9,0,198.7
EAV-16,Cases not otherwise listed in the directory,93,145.3,1.1,141,3.2,109,128.1,25.2,87.6,0,15.3
EAV-17,construction and demolition waste,478,3482.1,1.9,3432.4,47.8,214,978.6,56.3,729.5,0,192.7
EAV-18,Fall from the medical care,5,2.1,0,2.1,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",169,2190.2,11.5,2066.8,111.9,837,20096.3,1024.8,9565.3,0,9506.2
EAV-20,Municipal waste (household waste and similar waste),605,8453.8,11.2,8407,35.7,171,823,273.7,497.1,0,52.2
EAV-99,dangerous accidents,115,161.8,0,156.6,5.3,341,319.2,200.9,112.6,0,5.7
dismantling instrument,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,3,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,3,0.4,0,0.1,0.3,14,0.4,0.3,0.1,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",5,0.2,0,0.2,0,13,0.2,0.2,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,0,0,0,0,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,3,1,0.1,0,0,0.9
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,44,2,0.5,1.4,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,36,0.4,0.1,0.3,0,0
EAV-15,"Packaging all, absorbent masses, wipes",8,17.8,0,17.2,0.5,35,2.4,0.1,2.2,0,0.1
EAV-16,Cases not otherwise listed in the directory,182,203.5,0.5,186.9,16.1,255,177.1,7.6,151.2,0,18.3
EAV-17,construction and demolition waste,26,4.1,0,4,0.1,85,35.1,0.4,29.4,0,5.3
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",19,7.4,0,4.6,2.8,274,304.1,6.8,196.1,0,101.1
EAV-99,dangerous accidents,251,421,0.4,394.6,26,260,120.6,10.2,105.3,0,5.1
Other treatment facilities,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,12,162.3,4.2,158.1,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",43,442.7,0.2,435.8,6.7,26,166.8,50.6,39.6,0,76.7
EAV-03,Waste from woodworking etc,27,107.2,19.2,75.1,12.9,7,51.2,0,10.3,0,40.8
EAV-04,"Scraps from the Leather, Fur and Textile Industry",17,22,0,18.4,3.6,5,2.3,0,1.5,0,0.8
EAV-05,"Drains from the oil refining, earth gas purification",17,27.2,16.8,8.3,2.1,4,1.1,0,1.1,0,0
EAV-06,Drops from inorganic-chemical processes,46,117.8,0.7,109.2,7.9,19,10.8,1.5,8.3,0,1
EAV-07,Fallen from organic chemical processes,85,195.8,30.4,156.3,9.1,43,21.5,1.5,11.5,0,8.5
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",26,28.9,0,28.5,0.3,14,2,1.5,0.5,0,0
EAV-09,Drops from the photographic industry,10,1.6,0,1.5,0.2,3,0.5,0,0.4,0,0.1
EAV-10,Drops from thermal processes,87,6942.4,624.3,5958.6,359.5,47,2117.7,251.1,839.4,0,1027.2
EAV-11,Fall from the chemical surface treatment,26,85.5,0,83,2.4,12,62.1,60.7,1.4,0,0
EAV-12,Drops from mechanical forming processes,94,736.9,11,676.9,49,28,99.2,7,89.4,0,2.8
EAV-13,Lakes and ravines from liquid fuels,27,447.5,5.6,345.9,95.9,36,111.1,12.4,98,0,0.7
EAV-14,"Waste from organic solvents, refrigerants",18,3.9,0,3.9,0,11,1.8,0.7,1.2,0,0
EAV-15,"Packaging all, absorbent masses, wipes",114,368.3,10.7,342.6,14.9,65,41.1,7.9,19.6,0,13.6
EAV-16,Cases not otherwise listed in the directory,97,555.7,3.5,460.3,91.8,64,98.7,16.9,60,0,21.8
EAV-17,construction and demolition waste,139,2830.2,26.5,2751.1,52.6,83,1784.1,212,243.8,0,1328.3
EAV-18,Fall from the medical care,9,1.1,0,1.1,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",137,4488.3,121.2,4195.6,171.5,338,12216.3,541.1,3532,0,8143.3
EAV-20,Municipal waste (household waste and similar waste),75,631.2,4.1,619.7,7.4,50,79.3,2.2,57.2,0,19.9
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",0,0,0,0,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,0,0,0,0,0,0,0,0,0,0,0
EAV-17,construction and demolition waste,0,0,0,0,0,0,0,0,0,0,0
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",0,0,0,0,0,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),0,0,0,0,0,0,0,0,0,0,0
EAV-99,dangerous accidents,0,0,0,0,0,0,0,0,0,0,0
Case in underground mining sites,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,7,78.9,0,77.4,1.4,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,10,96.8,0,94.8,2,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,5,4.4,0,0.6,3.9,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,16,550.8,0,475.4,75.3,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),0,0,0,0,0,0,0,0,0,0,0
EAV-99,dangerous accidents,12,1405.6,0,1212.3,193.3,0,0,0,0,0,0
Waste in surface mining sites,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,22,326.7,0,326.7,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,4,9.1,0,9.1,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,43,5807,0,5554,253,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,11,6.4,0,6.4,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",0,0,0,0,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,9,40.1,0,40.1,0,0,0,0,0,0,0
