Year,Types of Packaging,Sorting facilities (in-house and external),Recovery operators (including scrap merchants),Total
2013,pack. for non-hazardous filling goods of wood,102.4,336.4,438.8
2013,pack. for non-haz. filling goods of composites,61,11.2,72.2
2013,pack. for non-haz. filling goods of other. materials,295.6,303.7,599.3
2013,Packaging for hazardous filling goods,1.7,17.5,19.2
2013,total,2086.9,2760.3,4847.2
2014,Packaging for non-hazardous filling goods of glass,80,35,114.9
2014,"pack. for non-haz. filling goods of paper, board",1201.9,1657.5,2859.3
2014,pack. for non-hazardous filling goods of metals,26.5,54.7,81.2
2014,pack. for non-hazardous filling goods of plastics,138.7,180.9,319.6
2014,pack. for non-hazardous filling goods of wood,112.5,309.4,421.9
2014,pack. for non-haz. filling goods of composites,56.5,12.9,69.4
2014,pack. for non-haz. filling goods of other. materials,270.2,210.8,481
2014,Packaging for hazardous filling goods,1.7,6.8,8.5
2014,total,1888.1,2467.9,4355.9
2015,Packaging for non-hazardous filling goods of glass,78.9,22.9,101.8
2015,"pack. for non-haz. filling goods of paper, board",1375.9,1719.6,3095.5
2015,pack. for non-hazardous filling goods of metals,49.5,42.8,92.3
2015,pack. for non-hazardous filling goods of plastics,159.6,176.8,336.4
2015,pack. for non-hazardous filling goods of wood,146.3,327.1,473.4
2015,pack. for non-haz. filling goods of composites,64.7,18.3,83
2015,pack. for non-haz. filling goods of other. materials,374,241.3,615.3
2015,Packaging for hazardous filling goods,2.8,7,9.7
2015,total,2251.7,2555.8,4807.5
2016,Packaging for non-hazardous filling goods of glass,47.3,62.9,110.2
2016,"pack. for non-haz. filling goods of paper, board",1428.4,1746.2,3174.6
2016,pack. for non-hazardous filling goods of metals,37.5,46.6,84.1
2016,pack. for non-hazardous filling goods of plastics,147.1,202.3,349.4
2016,pack. for non-hazardous filling goods of wood,162.3,321,483.3
2016,pack. for non-haz. filling goods of composites,59.2,16.3,75.5
2016,pack. for non-haz. filling goods of other. materials,338.1,219.9,558
2016,Packaging for hazardous filling goods,2.4,10.3,12.7
2016,total,2222.3,2625.5,4847.8
2017,Packaging for non-hazardous filling goods of glass,196.4,28.9,225.2
2017,"pack. for non-haz. filling goods of paper, board",1302.9,1804.6,3107.6
2017,pack. for non-hazardous filling goods of metals,24,47.7,71.7
2017,pack. for non-hazardous filling goods of plastics,146.8,182.3,329.1
2017,pack. for non-hazardous filling goods of wood,163.3,332.4,495.8
2017,pack. for non-haz. filling goods of composites,37,32.5,69.5
2017,pack. for non-haz. filling goods of other. materials,376.6,192.4,569
2017,Packaging for hazardous filling goods,2,10.4,12.5
2017,total,2249,2631.3,4880.3
2018,Packaging for non-hazardous filling goods of glass,132.8,29.5,162.3
2018,"pack. for non-haz. filling goods of paper, board",1312.9,1686.7,2999.5
2018,pack. for non-hazardous filling goods of metals,31,33.2,64.3
2018,pack. for non-hazardous filling goods of plastics,149.8,182,331.9
2018,pack. for non-hazardous filling goods of wood,189.2,355.3,544.4
2018,pack. for non-haz. filling goods of composites,34.4,22.4,56.8
2018,pack. for non-haz. filling goods of other. materials,486,170.6,656.6
2018,Packaging for hazardous filling goods,10.5,11.4,21.9
2018,total,2346.7,2491.1,4837.8
2019,Packaging for non-hazardous filling goods of glass,173.6,37.3,210.9
2019,"pack. for non-haz. filling goods of paper, board",1367.7,1686.5,3054.2
2019,pack. for non-hazardous filling goods of metals,26.5,32.6,59.1
2019,pack. for non-hazardous filling goods of plastics,155.2,194.1,349.2
2019,pack. for non-hazardous filling goods of wood,193.6,356.4,550
2019,pack. for non-haz. filling goods of composites,37.2,21.3,58.6
2019,pack. for non-haz. filling goods of other. materials,423.9,173,596.9
2019,Packaging for hazardous filling goods,5.2,10.2,15.4
2019,total,2382.9,2511.4,4894.3
2020,Packaging for non-hazardous filling goods of glass,159.6,54.5,214
2020,"pack. for non-haz. filling goods of paper, board",1234,1712,2946.1
2020,pack. for non-hazardous filling goods of metals,23.9,24.9,48.8
2020,pack. for non-hazardous filling goods of plastics,135,195,329.9
2020,pack. for non-hazardous filling goods of wood,208.1,318,526.1
2020,pack. for non-haz. filling goods of composites,39.7,18.4,58.1
2020,pack. for non-haz. filling goods of other. materials,418.1,190.7,608.8
2020,Packaging for hazardous filling goods,5.8,7.4,13.2
2020,total,2224,2521,4745
