GENESIS table: 32161-0002
Companies, amount of waste generated: Germany, years,;;;;;;
Economic sectors, types of waste;;;;;;
Waste generation survey;;;;;;
Germany;;;;;;
;;;;;Operations;Amount of waste generated
2010;WZ08-05-02;Mining and quarrying;EAV-15;Packaging waste, absorbent masses, wipes;60;118.0
2010;WZ08-05-02;Mining and quarrying;EAV-16;Wastes not included elsewhere in the inventory;48;17,9
2010;WZ08-05-02;Mining and quarrying;EAV-17;Construction and demolition waste;46;822.4
2010;WZ08-05-02;Mining and quarrying;EAV-18;Waste from medical care;-;-
2010;WZ08-05-02;Mining and quarrying;EAV-19;Waste from waste treatment plants etc.;19;186.3
2010;WZ08-05-02;Mining and extraction of stones and earth;EAV-20;Municipal waste (household waste and similar waste);63;57.8
2010;WZ08-05-02;Mining and quarrying;EAV-99;Hazardous waste;-;-
2010;WZ08-05-02;Mining and quarrying;;Total;64;1569.7
2010;WZ08-10-01;Food industry and tobacco processing;EAV-01;Waste from the extraction of mineral resources;-;-
2010;WZ08-10-01;Food industry and tobacco processing;EAV-02;Waste from agriculture, forestry, etc.;1031;5536.7
2010;WZ08-10-01;Food industry and tobacco processing;EAV-03;Waste from wood processing, etc.;13;0.4
2010;WZ08-10-01;Food industry and tobacco processing;EAV-04;Waste from the leather, fur and textile industry;3;0.5
2010;WZ08-10-01;Food industry and tobacco processing;EAV-05;Waste from petroleum refining, natural gas purification;15;0.0
2010;WZ08-10-01;Food industry and tobacco processing;EAV-06;Waste from inorganic chemical processes;74;4.8
2010;WZ08-10-01;Food industry and tobacco processing;EAV-07;Waste from organic chemical processes;121;17.2
2010;WZ08-10-01;Food industry and tobacco processing;EAV-08;Waste from MFSU from coatings, adhesives, etc.;134;0.1
2010;WZ08-10-01;Food industry and tobacco processing;EAV-09;Waste from the photographic industry;5;0.0
2010;WZ08-10-01;Food industry and tobacco processing;EAV-10;Waste from thermal processes;46;42.7
2010;WZ08-10-01;Food industry and tobacco processing;EAV-11;Waste from chemical surface treatment;13;0.0
2010;WZ08-10-01;Food industry and tobacco processing;EAV-12;Waste from mechanical shaping processes;91;2.4
2010;WZ08-10-01;Food industry and tobacco processing;EAV-13;Oil waste and liquid fuel waste;519;6.9
2010;WZ08-10-01;Food industry and tobacco processing;EAV-14;Waste from organic solvents, coolants;141;0.2
2010;WZ08-10-01;Food industry and tobacco processing;EAV-15;Packaging waste, absorbent masses, wipes;1240;527.8
2010;WZ08-10-01;Food industry and tobacco processing;EAV-16;Wastes not included elsewhere in the inventory;426;11.4
2010;WZ08-10-01;Food industry and tobacco processing;EAV-17;Construction and demolition waste;601;128.2
2010;WZ08-10-01;Food industry and tobacco processing;EAV-18;Waste from medical care;7;0.7
2010;WZ08-10-01;Food industry and tobacco processing;EAV-19;Waste from waste treatment plants etc.;224;251.0
2010;WZ08-10-01;Food industry and tobacco processing;EAV-20;Municipal waste (household waste and similar waste);1379;432.0
2010;WZ08-10-01;Food industry and tobacco processing;EAV-99;Hazardous waste;-;-
2010;WZ08-10-01;Food industry and tobacco processing;;Total;1439;6963.2
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-01;Waste from the extraction of mineral resources;-;-
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-02;Waste from agriculture, forestry, etc.;13;0.1
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-03;Waste from wood processing, etc.;5;0.1
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-04;Waste from the leather, fur and textile industry;332;103.9
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-05;Waste from petroleum refining, natural gas cleaning;-;-
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-06;Waste from inorganic chemical processes;22;0.1
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-07;Waste from organic chemical processes;92;10.1
2010;WZ08-13-03; textile and clothing industry, leather industry; EAV-08; waste from MFSU from coatings, adhesives, etc.; 113; 2.8
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-09;Waste from the photographic industry;3;0.0
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-10;Waste from thermal processes;11;2.5
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-11;Waste from chemical surface treatment;7;0.0
2010;WZ08-13-03;Textile and clothing industry, leather industry;EWC-12;Waste from mechanical shaping processes;47;0.6
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-13;Oil waste and waste from liquid fuels;155;1.2
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-14;Waste from organic solvents, coolants;42;0.1
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-15;Packaging waste, absorbent masses, wipes;559;53.0
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-16;Waste not listed elsewhere in the directory;119;0.7
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-17;Construction and demolition waste;205;8.4
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-18;Waste from medical care;-;-
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-19;Waste from waste treatment plants etc.;54;13.1
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-20;Municipal waste (household waste and similar waste);626;36.0
2010;WZ08-13-03;Textile and clothing industry, leather industry;EAV-99;Hazardous waste;-;-
2010;WZ08-13-03;Textile and clothing industry, leather industry;;Total;645;232.8
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-01;Waste from the extraction of mineral resources;-;-
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-02; Waste from agriculture, forestry, etc.; 9; 0.2
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-03; Waste from wood processing, etc.; 242; 3272.2
2010;WZ08-16;H.v. Wood, plaiting, wicker and cork goods (without furniture);EAV-04;Waste from the leather, fur and textile industry;-;-
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-05;Waste from petroleum refining, natural gas cleaning;-;-
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-06; Waste from inorganic chemical processes; 14; 0.1
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-07; Waste from organic chemical processes; 34; 1.0
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-08; Waste from MFSU from coatings, adhesives, etc.; 126; 5.4
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-09;Waste from the photographic industry;-;-
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-10; Waste from thermal processes; 149; 178.8
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-11; Waste from chemical surface treatment; 6; 0.0
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-12; Waste from mechanical shaping processes; 61; 3.6
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-13; Oil waste and waste from liquid fuels; 122; 1.8
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-14; Waste from organic solvents, coolants; 27; 1.1
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-15; packaging waste, absorbent masses, wipes; 312; 43.6
2010;WZ08-16;H.v. Articles of wood, wicker, wicker and cork (excluding furniture); EAV-16; Waste not included elsewhere in the inventory; 82; 1.1
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-17; Construction and demolition waste; 181; 35.8
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-18;Waste from medical care;-;-
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-19; Waste from waste treatment plants, etc.; 36; 47.9
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-20; Municipal waste (household waste and similar waste); 385; 42.7
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-99;Hazardous waste;-;-
2010;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);;Total;401;3635.4
2010;WZ08-17-03;paper and printing industry;EAV-01;waste from the extraction of mineral resources;-;-
2010;WZ08-17-03;paper and printing industry;EAV-02;waste from agriculture, forestry, etc.;66;2.0
2010;WZ08-17-03;paper and printing trades;EAV-03;waste from wood processing, etc.;492;5629.6
2010;WZ08-17-03;Paper and printing industry;EAV-04;Waste from the leather, fur and textile industries;13;16,4
2010;WZ08-17-03;paper and printing industry;EAV-05;waste from petroleum refining, natural gas purification;-;-
2010;WZ08-17-03;paper and printing industry;EAV-06;waste from inorganic chemical processes;69;4.9
2010;WZ08-17-03;paper and printing industry;EAV-07;waste from organic chemical processes;263;36.0
2010;WZ08-17-03;paper and printing industry;EAV-08;waste from MFSU from coatings, adhesives, etc.;794;49.1
2010;WZ08-17-03;Paper and printing industry;EAV-09;Waste from the photographic industry;439;17.7
2010;WZ08-17-03;paper and printing industry;EAV-10;waste from thermal processes;39;450.7
2010;WZ08-17-03;paper and printing industry;EAV-11;waste from chemical surface treatment;69;2.2
2010;WZ08-17-03;paper and printing industry;EWC-12;waste from mechanical shaping processes;152;12.0
2010;WZ08-17-03;Paper and printing industry;EAV-13;Oil waste and liquid fuel waste;504;20.9
2010;WZ08-17-03;paper and printing industry;EAV-14;waste from organic solvents, coolants;337;4.8
2010;WZ08-17-03;paper and printing industry;EAV-15;packaging waste, absorbent masses, wipes;1069;559.8
2010;WZ08-17-03;Paper and printing industry;EAV-16;Wastes not included elsewhere in the inventory;358;12.0
2010;WZ08-17-03;paper and printing industry;EAV-17;construction and demolition waste;491;77.6
2010;WZ08-17-03;Paper and printing industry;EAV-18;Waste from medical care;3;0.0
2010;WZ08-17-03;paper and printing industry;EAV-19;waste from waste treatment plants etc.;174;216.3
2010;WZ08-17-03;paper and printing industry;EAV-20;municipal waste (household waste and similar waste);1245;885.8
2010;WZ08-17-03;Paper and printing industry;EAV-99;Hazardous waste;-;-
2010;WZ08-17-03;Paper and printing industry;;Total;1267;7998.0
2010;WZ08-19;Coking plant and mineral oil processing;EAV-01;Waste from the extraction of mineral resources;-;-
2010;WZ08-19;Coking plant and mineral oil processing;EAV-02;Waste from agriculture, forestry, etc.;7;0.3
2010;WZ08-19;Coking plant and mineral oil processing;EAV-03;Waste from wood processing, etc.;-;-
2010;WZ08-19;coking plant and mineral oil processing;EAV-04;waste from the leather, fur and textile industry;-;-
2010;WZ08-19;Coking plant and petroleum processing;EAV-05;Waste from petroleum refining, natural gas purification;25;28.9
2010;WZ08-19;Coking plant and mineral oil processing;EAV-06;Waste from inorganic chemical processes;18;32.4
2010;WZ08-19;Coking plant and mineral oil processing;EAV-07;Waste from organic chemical processes;28;8.0
2010;WZ08-19;Coking plant and mineral oil processing;EAV-08;Waste from MFSU from coatings, adhesives, etc.;12;0.0
2010;WZ08-19;Coking plant and mineral oil processing;EAV-09;Waste from the photographic industry;-;-
2010;WZ08-19;Coking plant and mineral oil processing;EAV-10;Waste from thermal processes;9;31.5
2010;WZ08-19;Coking plant and mineral oil processing;EAV-11;Waste from chemical surface treatment;5;0.1
2010;WZ08-19;Coking plant and mineral oil processing;EAV-12;Waste from mechanical shaping processes;24;4,8
2010;WZ08-19;Coking plant and mineral oil processing;EAV-13;Oil waste and liquid fuel waste;35;20.2
2010;WZ08-19;Coking plant and petroleum processing;EAV-14;Waste from organic solvents, coolants;16;1.4
2010;WZ08-19;Coking plant and mineral oil processing;EAV-15;Packaging waste, absorbent masses, wipes;48;5.6
2010;WZ08-19;Coking plant and petroleum processing;EAV-16;Wastes not included elsewhere in the inventory;39;19.2
2010;WZ08-19;Coking plant and petroleum processing;EAV-17;Construction and demolition waste;34;79.6
2010;WZ08-19;Coking plant and mineral oil processing;EAV-18;Waste from medical care;4;0.0
2010;WZ08-19;coking plant and mineral oil processing;EAV-19;waste from waste treatment plants etc.;17;22.1
2010;WZ08-19;Coking plant and mineral oil processing;EAV-20;Municipal waste (household waste and similar waste);47;8.8
2010;WZ08-19;Coking plant and petroleum processing;EAV-99;Hazardous waste;-;-
2010;WZ08-19;Coking plant and petroleum processing;;Total;48;263.0
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-01;Wastes from mineral extraction;23;1399.1
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-02; waste from agriculture, forestry, etc.; 256; 288.5
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-03; Waste from wood processing, etc.; 74; 35.2
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-04;Wastes from the leather, fur and textile industries;36;12.1
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-05;Wastes from petroleum refining, natural gas purification;31;11.6
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-06; Waste from inorganic chemical processes; 456; 490.1
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-07; Waste from organic chemical processes; 1711; 1811.1
2010;WZ08-20-03;Chem. and pharma. Products, rubber, plastic goods; EAV-08; Waste from MFSU from coatings, adhesives, etc.; 900; 96.0
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-09;Wastes from the photographic industry;36;2.1
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EWC-10;waste from thermal processes;147;144.3
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-11;Waste from chemical surface treatment;217;47.5
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EWC-12;Waste from mechanical shaping processes;945;86.8
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic products;EAV-13;Oil waste and liquid fuel waste;1344;38.0
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-14;waste from organic solvents, coolants;579;18.7
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-15; packaging waste, absorbent masses, wipes; 2670; 476.9
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic products;EWC-16;Wastes not included elsewhere in the inventory;1225;137.9
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-17; construction and demolition waste; 1388; 960.3
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-18;Wastes from medical care;125;47.2
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-19; Waste from waste treatment plants, etc.; 396; 1139.7
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-20; municipal waste (household waste and similar waste); 2860; 351.0
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-99;Hazardous waste;-;-
2010;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic products;;Total;2963;7594.2
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-01; waste from the extraction of mineral resources; 41; 263.6
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-02; waste from agriculture, forestry, etc.; 49; 0.5
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-03; waste from wood processing, etc.; 62; 7.5
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-04; waste from the leather, fur and textile industry; 5; 0.8
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-05; waste from petroleum refining, natural gas purification; 6; 1.4
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-06; waste from inorganic chemical processes; 99; 5.5
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-07; waste from organic chemical processes; 139; 6.4
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-08; waste from MFSU of coatings, adhesives, etc.; 242; 15.4
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-09; waste from the photographic industry; 8; 0.0
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-10; waste from thermal processes; 512; 985.3
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-11; waste from chemical surface treatment; 43; 1.3
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-12; waste from mechanical shaping processes; 215; 12.7
2010;WZ08-23;H.v.Glass goods, ceramics, processing. v. Stone and earth; EAV-13; Oil waste and waste from liquid fuels; 490; 16.0
2010;WZ08-23;H.v.Glass goods, ceramics, processing. v. Stone and earth; EAV-14; Waste from organic solvents, coolants; 139; 0.5
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-15; packaging waste, absorbent masses, wipes; 805; 76.8
2010;WZ08-23;H.v.Glass goods, ceramics, processing. Stone and earth; EAV-16; Waste not included elsewhere in the inventory; 379; 33.7
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-17; construction and demolition waste; 614; 439.0
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-18; waste from medical care;-;-
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-19; waste from waste treatment plants, etc.; 110; 64.6
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-20; municipal waste (household waste and similar waste); 928; 95.4
2010;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-99; hazardous waste;-;-
2010;WZ08-23;H.v.Glass goods, ceramics, processing. v. stones and earth;; total; 956; 2026.3
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore;EAV-01;Waste from the extraction of mineral resources;4;2,2
2010;WZ08-24-03;Metal production and processing, manuf. v. Metal ore; EAV-02; waste from agriculture, forestry, etc.; 104; 1.8
2010;WZ08-24-03;Metal production and processing, manuf. v. Metal ore; EAV-03; Waste from wood processing, etc.; 54; 3.1
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore;EAV-04;Waste from the leather, fur and textile industries;3;0.6
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-05;Wastes from petroleum refining, natural gas purification;22;4.2
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore;EAV-06;Wastes from inorganic chemical processes;368;118.0
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-07;Waste from organic chemical processes;363;20.9
2010;WZ08-24-03;Metal production and processing, manuf. from metal ore; EAV-08; waste from MFSU from coatings, adhesives, etc.; 652; 14.1
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-09;Waste from the photographic industry;54;0.2
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-10;waste from thermal processes;427;6854.7
2010;WZ08-24-03;Metal production and processing, manuf. v. Metal ore; EAV-11; Waste from chemical surface treatment; 597; 449.8
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-12;Waste from mechanical shaping processes;1538;1775.9
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-13;Oil waste and liquid fuel waste;1270;66.1
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-14;waste from organic solvents, coolants;485;7.4
2010;WZ08-24-03;Metal production and processing, manuf. of metal ore; EAV-15; packaging waste, absorbent masses, wipes; 1744; 243.5
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-16;Wastes not included elsewhere in the inventory;878;355.4
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-17;Construction and demolition waste;1065;1180.6
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-18;Wastes from medical care;12;0.0
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore;EAV-19;waste from waste treatment plants etc.;332;128.4
2010;WZ08-24-03;Metal production and processing, manuf. of metal ore; EAV-20; municipal waste (household waste and similar waste); 1829; 230.8
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-99;Hazardous waste;-;-
2010;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;;Total;1877;11457.7
2010;WZ08-26-03;DV devices, electr. and optical products.,vehicle construction,etc.;EAV-01;waste from mineral extraction;13;0.7
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-02; waste from agriculture, forestry, etc.; 587; 19.4
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-03; waste from wood processing, etc.; 133; 15.1
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-04; waste from the leather, fur and textile industry; 38; 18.8
2010;WZ08-26-03;DV devices, electr. and optical products,vehicle construction,etc.;EAV-05;waste from petroleum refining, natural gas purification;21;0.4
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-06; waste from inorganic chemical processes; 653; 44.4
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-07; waste from organic chemical processes; 1248; 83.4
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-08; waste from MFSU from coatings, adhesives, etc.; 2409; 80.6
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-09; waste from the photographic industry; 142; 0.3
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-10; waste from thermal processes; 377; 297.5
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-11; waste from chemical surface treatment; 962; 74.2
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-12; Waste from mechanical shaping processes; 3627; 3679.9
2010;WZ08-26-03;DV devices, electr. and optical products,vehicle construction,etc.;EAV-13;Oil waste and waste from liquid fuels;2816;81.9
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-14; Waste from organic solvents, coolants; 1422; 11.0
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-15; packaging waste, absorbent masses, wipes; 4820; 627.8
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-16; Waste not included elsewhere in the inventory; 2687; 309.6
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-17; construction and demolition waste; 2678; 1145.8
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-18; waste from medical care; 44; 0.5
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-19; waste from waste treatment plants, etc.; 586; 92.6
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-20; municipal waste (household waste and similar waste); 5297; 707.5
2010;WZ08-26-03;DV devices, electr. and optical products.,vehicle construction,etc.;EAV-99;hazardous waste;-;-
2010;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.;; Total; 5399; 7291.3
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-01;Wastes from mineral extraction;3;0.0
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-02;Waste from agriculture, forestry, etc.;32;0.4
2010;WZ08-31-02;manufacturing of furniture and other goods;EAV-03;waste from wood processing, etc.;297;263.0
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-04;Waste from the leather, fur and textile industry;42;3.6
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-05;Waste from petroleum refining, natural gas purification;-;-
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-06;Waste from inorganic chemical processes;71;2.4
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-07;Waste from organic chemical processes;213;21.1
2010;WZ08-31-02;manufacturing of furniture and other goods;EAV-08;waste from MFSU from coatings, adhesives, etc.;361;7.4
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-09;Waste from the photographic industry;17;0.0
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-10;Waste from thermal processes;186;5.8
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-11;Waste from chemical surface treatment;124;3.8
