"Waste disposal: states, years, facility type",,,,,,,,,,,
Collection of waste disposal,,,,,,,,,,,
Year Federal states Plant type,waste disposal facilities,Input from waste disposal facilities,Waste generated in-house,Domestic waste,Waste delivered from abroad,Waste disposal plants with output,Output of waste disposal plants,waste for disposal,waste for recycling,Waste to preparatory procedures,Delivery to others
Waste in surface quarries,180,4485.8,151.4,4332.6,1.8,-,-,-,-,-,-
Saarland,,,,,,,,,,,
Chemical-physical treatment plants,7,64.4,0,62.1,2.2,x,31.4,1,17.1,0,13.3
Dismantling companies for end-of-life vehicles,12,2.2,-,2.2,0,x,2.8,-,2.8,-,0
Shredders and scrap shears,23,287,4.2,253,29.8,x,300.8,0.3,78.8,0,221.6
sorting plants,28,271.7,1.4,234.8,35.4,x,280.6,4.3,225.8,6,44.6
Waste in surface quarries,29,486.5,134.3,352.2,-,-,-,-,-,-,-
Saxony,,,,,,,,,,,
Chemical-physical treatment plants,25,231,47.1,172.3,11.6,x,92.2,26.9,23.2,3,39
Dismantling companies for end-of-life vehicles,66,17.5,-,17.3,0.1,x,21.6,0,3.5,17.4,0.7
Shredders and scrap shears,29,656.9,0.6,653.9,2.5,x,520.3,0,195.8,10.2,314.3
sorting plants,45,681.8,0.2,681.6,-,x,677.8,19.5,429,76.8,152.5
Waste in surface quarries,163,6115,117.2,5997.8,-,-,-,-,-,-,-
Saxony-Anhalt,,,,,,,,,,,
Chemical-physical treatment plants,28,902.7,46.8,847.9,8,x,576.4,94.8,467.9,1,12.6
Dismantling companies for end-of-life vehicles,52,9.8,-,9.8,0,x,12.8,0,12.8,-,0
Shredders and scrap shears,31,709.7,6.4,652.7,50.6,x,478.2,6.4,387.2,0.4,84.2
sorting plants,40,1038.4,4.1,999.5,34.8,x,1028.3,57.2,682.9,22.5,265.7
Waste in surface quarries,67,3852.4,146.4,3706,-,-,-,-,-,-,-
Schleswig Holstein,,,,,,,,,,,
Chemical-physical treatment plants,13,96.7,28.7,67.7,0.3,x,18,9.7,5.8,0.6,1.8
Dismantling companies for end-of-life vehicles,35,17.4,-,17.4,0,x,19.2,0,1.5,17.6,0.1
Shredders and scrap shears,37,544,70.1,468.1,5.8,x,515,2.7,337.6,69.3,105.5
sorting plants,44,1172.7,2,1116.2,54.5,x,1051.1,72.8,811.7,87,79.6
Waste in surface quarries,40,1062.9,187.1,875.7,-,-,-,-,-,-,-
Thuringia,,,,,,,,,,,
Chemical-physical treatment plants,15,369.3,13.9,355.4,-,x,347.4,29,266.5,5.1,46.9
Dismantling companies for end-of-life vehicles,54,9.8,-,9.7,0.1,x,11.3,0,9.4,1.9,0
Shredders and scrap shears,12,249.8,0.1,248.6,1,x,271.3,1.6,185.6,4.7,79.5
sorting plants,36,661.9,54.9,606.6,0.4,x,647,5.9,391.6,14.9,234.5
Waste in surface quarries,95,4561.7,1.9,4559.8,-,-,-,-,-,-,-
______________,,,,,,,,,,,
Landfills:,,,,,,,,,,,
Including long-term storage.,,,,,,,,,,,
,,,,,,,,,,,
Delivery to others:,,,,,,,,,,,
Including recovered secondary raw materials and products.,,,,,,,,,,,
"© Federal Statistical Office (Destatis), 2023 | Status: 08/25/2023 / 15:23:18",,,,,,,,,,,
