GENESIS-Tabelle: 32151-0001
Abfallerzeuger, Abfallmengen (gefährliche Abfälle):;;;;;;;
Deutschland, Jahre, Wirtschaftszweige, Abfallarten;;;;;;;
(EAV 2-Steller);;;;;;;
Erhebung der gefährlichen Abfälle;;;;;;;
Deutschland;;;;;;;
;;;;;Abfallerzeuger;Abfallmengen;Abfallmengen, von Primärerzeugern erzeugt
2008;WZ08-A;Land- und Forstwirtschaft, Fischerei;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;-;-;-
2008;WZ08-A;Land- und Forstwirtschaft, Fischerei;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;-;-;-
2008;WZ08-A;Land- und Forstwirtschaft, Fischerei;EAV-17;Bau- und Abbruchabfälle;123;5,3;5,3
2008;WZ08-A;Land- und Forstwirtschaft, Fischerei;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2008;WZ08-A;Land- und Forstwirtschaft, Fischerei;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;-;-;-
2008;WZ08-A;Land- und Forstwirtschaft, Fischerei;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);-;-;-
2008;WZ08-A;Land- und Forstwirtschaft, Fischerei;;Insgesamt;140;6,3;6,3
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;12;130,3;130,3
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;12;0,5;0,5
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;10;0,3;0,3
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-07;Abfälle aus organisch-chemischen Prozessen;5;0,0;0,0
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;10;0,2;0,2
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-10;Abfälle aus thermischen Prozessen;-;-;-
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;-;-;-
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;17;1,5;1,5
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;46;5,6;5,5
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;-;-;-
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;48;0,8;0,8
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;17;0,8;0,8
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-17;Bau- und Abbruchabfälle;165;247,8;182,2
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;10;28,5;28,5
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);6;0,0;0,0
2008;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;;Insgesamt;225;416,7;350,9
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-03;Abfälle aus der Holzbearbeitung u.a.;4;0,2;0,2
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;9;0,1;0,1
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;99;73,3;72,9
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;724;303,5;253,8
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-07;Abfälle aus organisch-chemischen Prozessen;1513;712,0;667,6
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;1271;100,7;100,0
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-09;Abfälle aus der fotografischen Industrie;46;4,1;4,0
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-10;Abfälle aus thermischen Prozessen;410;726,6;571,9
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;2168;509,5;507,8
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;3049;571,1;549,3
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;1563;208,4;181,6
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;509;58,2;39,3
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;1730;81,3;79,1
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;1029;149,3;142,1
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-17;Bau- und Abbruchabfälle;1473;919,2;859,3
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-18;Abfälle aus der medizinischen Versorgung;28;0,7;0,7
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;630;324,4;212,4
2008;WZ08-C;Verarbeitendes Gewerbe;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);109;3,8;3,8
2008;WZ08-C;Verarbeitendes Gewerbe;;Insgesamt;8821;4746,4;4246,0
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-07;Abfälle aus organisch-chemischen Prozessen;24;2,9;2,9
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-10;Abfälle aus thermischen Prozessen;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;47;1,6;1,6
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;27;3,1;3,1
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-17;Bau- und Abbruchabfälle;48;10,5;10,5
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);-;-;-
2008;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;;Insgesamt;164;21,0;20,9
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-07;Abfälle aus organisch-chemischen Prozessen;24;3,6;3,6
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-10;Abfälle aus thermischen Prozessen;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-17;Bau- und Abbruchabfälle;15;3,7;3,7
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);-;-;-
2008;WZ08-13-02;Textilien, Bekleidung, Leder und Lederwaren;;Insgesamt;82;9,5;9,5
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-07;Abfälle aus organisch-chemischen Prozessen;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-10;Abfälle aus thermischen Prozessen;8;9,1;9,1
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-17;Bau- und Abbruchabfälle;135;16,7;16,7
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;7;12,6;1,3
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);-;-;-
2008;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);;Insgesamt;222;42,6;31,2
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-07;Abfälle aus organisch-chemischen Prozessen;90;9,1;9,1
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;120;5,0;5,0
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-10;Abfälle aus thermischen Prozessen;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-17;Bau- und Abbruchabfälle;39;10,1;10,0
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);-;-;-
2008;WZ08-17-01;Herstellung v. Papier,Pappe,Druckerzeugnissen usw.;;Insgesamt;366;38,5;38,3
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;34;54,8;54,5
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;9;20,4;20,4
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-07;Abfälle aus organisch-chemischen Prozessen;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-10;Abfälle aus thermischen Prozessen;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;20;20,1;9,1
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;43;65,9;45,5
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;38;9,4;8,1
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-17;Bau- und Abbruchabfälle;41;64,0;63,8
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;17;29,2;13,4
2008;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);-;-;-
2008;WZ08-19;Kokerei und Mineralölverarbeitung;;Insgesamt;82;278,8;228,5
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;20;14,0;14,0
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;156;120,0;115,4
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-07;Abfälle aus organisch-chemischen Prozessen;585;550,0;507,1
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;220;33,9;33,3
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-10;Abfälle aus thermischen Prozessen;-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;151;11,1;9,9
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;98;33,5;16,3
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;379;23,4;22,0
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;247;26,7;25,8
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-17;Bau- und Abbruchabfälle;214;241,0;213,2
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;78;87,6;48,1
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);-;-;-
2008;WZ08-20;Herstellung von chemischen Erzeugnissen;;Insgesamt;1003;1158,8;1021,2
2008;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2008;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2008;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
