Waste Producers,Waste Quantities,Years,Waste Types - EAV 2- and 6-Digit Codes,Survey of Hazardous Waste,Count,,,,,,,,,,,,,,,,,
2006,EAV-070609-G, Fette,,,,Seifen: Halog.Filterkuchen,,,Aufsaugmat.,3,1,1,,,,,,,,,,
2006,EAV-070610-G, Fette,,,,Seifen: Filterkuchen,,,Aufsaugmaterialien,19,1,1,,,,,,,,,,
2006,EAV-070611-G, Fette,,,,Seifen: Schlämme (betriebseig.Abwasserbeh.),8,1,8,1,8,,,,,,,,,,,
2006,EAV-070701-G, Feinchemikalien: Wässrige Waschfl.,,,,Mutterlaugen,142,54,5,49,3,,,,,,,,,,,
2006,EAV-070703-G, Feinchemikalien: Halogenorg.Lösemittel,,,,Waschfl.,114,15,6,13,9,,,,,,,,,,,
2006,EAV-070704-G, Feinchemikalien: organ. Lösemittel,,,,Waschflüssigk.,199,52,9,49,4,,,,,,,,,,,
2006,EAV-070707-G, Feinchemikalien: Halog.Reaktions-,,,,Destill.rückst.,43,5,0,4,0,,,,,,,,,,,
2006,EAV-070708-G, Feinchemikalien: Reaktions-,,,,Destillationsrückst.,81,35,9,33,5,,,,,,,,,,,
2006,EAV-070709-G, Feinchemikalien: Halog.Filterkuchen,,,,Aufsaugmat.,19,0,2,0,2,,,,,,,,,,,
2006,EAV-070710-G, Feinchemikalien: Filterkuchen,,,,Aufsaugmaterialien,61,2,2,2,1,,,,,,,,,,,
2006,EAV-070711-G, Feinchemikalien:Schlämme(betriebseig.Abwasserbeh.),20,1,,6,1,,6,,,,,,,,,,,,,
2006,EAV-08,Abfälle aus HZVA v.Beschichtungen,,,,Klebstoffen u.a.,1860,172,4,152,0,,,,,,,,,,,
2006,EAV-080111-G, Farb- und Lackabfälle mit gefährlichen Stoffen,809,57,,3,46,,6,,,,,,,,,,,,,
2006,EAV-080113-G, Farb- und Lackschlämme mit gefährlichen Stoffen,598,34,,5,31,,0,,,,,,,,,,,,,
2006,EAV-080115-G, Farben,,,,Lacke: Wässrige Schlämme mit gefährl. St.,192,19,7,16,8,,,,,,,,,,,
2006,EAV-080117-G, Abfälle aus der Farb- oder Lackentfernung,218,23,,7,23,,1,,,,,,,,,,,,,
2006,EAV-080119-G, Wässrige Suspensionen,,,,Farben o. Lacke enthaltend,39,5,9,5,9,,,,,,,,,,,
2006,EAV-080121-G, Farb- oder Lackentfernerabfälle,18,0,,5,0,,5,,,,,,,,,,,,,
2006,EAV-080312-G, Druckfarbenabfälle mit gefährlichen Stoffen,155,7,,1,6,,2,,,,,,,,,,,,,
2006,EAV-080314-G, Druckfarbenschlämme mit gefährlichen Stoffen,67,4,,3,4,,0,,,,,,,,,,,,,
2006,EAV-080316-G, Abfälle von Ätzlösungen,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-080317-G, Tonerabfälle,,,,die gefährliche Stoffe enthalten,11,0,0,0,0,,,,,,,,,,,
2006,EAV-080319-G, Dispersionsöl,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-080409-G, Klebstoff- und Dichtmassenabfälle mit gefährl. St.,327,17,,6,16,,2,,,,,,,,,,,,,
2006,EAV-080411-G, Klebstoff- und dichtmassenhaltige Schlämme,13,0,,4,0,,4,,,,,,,,,,,,,
2006,EAV-080413-G, Klebst.,,,,Dichtm.: Wässrige Schlämme m.gefährl.St.,16,0,4,0,4,,,,,,,,,,,
2006,EAV-080415-G, Klebst.,,,,Dichtm.:Wässrige flüssige Abf.m.gefährl.St,17,0,5,0,5,,,,,,,,,,,
2006,EAV-080417-G, Klebstoffe,,,,Dichtmassen: Harzöle,-,-,,,,,,,,,,,,,,
2006,EAV-080501-G, Isocyanatabfälle,35,0,,3,0,,2,,,,,,,,,,,,,
2006,EAV-09,Abfälle aus der fotografischen Industrie,277,61,,1,45,,0,,,,,,,,,,,,,
2006,EAV-090101-G, Entwickler und Aktivatorenlösungen auf Wasserbasis,217,22,,7,17,,3,,,,,,,,,,,,,
2006,EAV-090102-G, Offsetdruckplatten-Entwicklerlösungen,87,12,,1,8,,9,,,,,,,,,,,,,
2006,EAV-090103-G, Entwicklerlösungen auf Lösemittelbasis,21,0,,4,0,,0,,,,,,,,,,,,,
2006,EAV-090104-G, Fixierbäder,160,17,,8,13,,2,,,,,,,,,,,,,
2006,EAV-090105-G, Bleichlösungen und Bleich-Fixier-Bäder,45,4,,6,4,,5,,,,,,,,,,,,,
2006,EAV-090106-G, Silberhaltige Abfälle aus Beh. fotograf. Abfälle,7,0,,6,0,,6,,,,,,,,,,,,,
2006,EAV-090111-G, Einwegkameras mit Batterien (160601-160603),-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-090113-G, Abfälle aus Silberrückgewinnung (ohne 090106),-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-10,Abfälle aus thermischen Prozessen,640,878,,0,653,,0,,,,,,,,,,,,,
2006,EAV-100104-G, Filterstäube und Kesselstaub aus Ölfeuerung,37,3,,8,2,,5,,,,,,,,,,,,,
2006,EAV-100109-G, Schwefelsäure,5,0,,0,0,,0,,,,,,,,,,,,,
2006,EAV-100113-G, Filterstäube aus emulgierten Kohlenwasserstoffen,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100114-G, Rost- und Kesselasche,,,,Schlacken,,,Kesselstaub,16,3,9,,,,,,,,,,
2006,EAV-100116-G, Filterstäube aus der Abfallmitverbrennung,22,22,,4,9,,0,,,,,,,,,,,,,
2006,EAV-100118-G, Abfälle aus der Abgasbehandlung mit gefährl. St.,27,21,,0,16,,5,,,,,,,,,,,,,
2006,EAV-100120-G, Kraftwerke u.a.:Schlämme(betriebseig.Abwasserbeh.),5,1,,8,1,,8,,,,,,,,,,,,,
2006,EAV-100122-G, Kraftwerke u.a.:Wässrige Schlämme a. Kesselreinig.,3,0,,4,0,,4,,,,,,,,,,,,,
2006,EAV-100207-G, Eisen-,,,,Stahlind.: Feste Abfälle aus Abgasbehandl.,48,284,5,249,8,,,,,,,,,,,
2006,EAV-100211-G, Eisen-,,,,Stahlind.: Ölhalt. Abf. aus Kühlwasserbeh.,-,-,,,,,,,,,,,,,,
2006,EAV-100213-G, Eisen-,,,,Stahlind.: Schlämme,,,Filterk. aus Abgasbeh.,15,3,7,,,,,,,,,,
2006,EAV-100304-G, Aluminium-Metallurgie: Schlacken aus Erstschmelze,4,2,,1,2,,1,,,,,,,,,,,,,
2006,EAV-100308-G, Aluminium-Metallurgie:Salzschlacken a.Zweitschmel.,20,273,,5,153,,4,,,,,,,,,,,,,
2006,EAV-100309-G, Aluminium-Metallurgie:Schwarze Krätzen a.Zweitsch.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100315-G, Aluminium-Metallurgie: Abschaum (entzündlich),86,48,,3,32,,8,,,,,,,,,,,,,
2006,EAV-100317-G, Aluminium-Metallurgie:Teerh. Abf. aus Anodenherst.,5,0,,8,0,,8,,,,,,,,,,,,,
2006,EAV-100319-G, Aluminium-Metallurgie: Filterstaub m.gefährl.St.,12,4,,3,2,,5,,,,,,,,,,,,,
2006,EAV-100321-G, Aluminium-Metallurgie: Andere Teilchen und Staub,8,3,,4,3,,4,,,,,,,,,,,,,
2006,EAV-100323-G, Aluminium-Metallurgie: Feste Abf. a. Abgasbehandl.,37,18,,8,10,,9,,,,,,,,,,,,,
2006,EAV-100325-G, Aluminium-Metallurgie:Schlämme,,,,Filterk.a.Abgasbeh.,5,1,3,1,3,,,,,,,,,,,
2006,EAV-100327-G, Aluminium-Metallurgie: Ölh.Abf. aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100329-G, Aluminium-Metallurgie: Abf.a. Beh. v.Salzschlacken,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100401-G, Bleimetallurgie: Schlacken (Erst-,,,,Zweitschmelze),7,24,0,23,2,,,,,,,,,,,
2006,EAV-100402-G, Bleimetall.: Krätzen,,,,Abschaum (Erst-,,,Zweitschm.),70,4,3,,,,,,,,,,
2006,EAV-100403-G, Bleimetallurgie: Calciumarsenat,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100404-G, Bleimetallurgie: Filterstaub,3,0,,5,0,,5,,,,,,,,,,,,,
2006,EAV-100405-G, Bleimetallurgie: Andere Teilchen und Staub,18,6,,4,1,,1,,,,,,,,,,,,,
2006,EAV-100406-G, Bleimetallurgie: Feste Abfälle aus Abgasbehandlung,6,0,,5,0,,5,,,,,,,,,,,,,
2006,EAV-100407-G, Bleimetallurgie: Schlämme,,,,Filterk. aus Abgasbeh.,-,-,,,,,,,,,,,,,,
2006,EAV-100409-G, Bleimetallurgie: Ölh. Abfälle aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100503-G, Zinkmetallurgie: Filterstaub,17,0,,6,0,,5,,,,,,,,,,,,,
2006,EAV-100505-G, Zinkmetallurgie: Feste Abfälle aus Abgasbehandlung,7,0,,3,0,,3,,,,,,,,,,,,,
2006,EAV-100506-G, Zinkmetallurgie: Schlämme,,,,Filterk. aus Abgasbeh.,-,-,,,,,,,,,,,,,,
2006,EAV-100508-G, Zinkmetallurgie: Ölh. Abfälle aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100510-G, Zinkmetallurgie: Krätzen,,,,Abschaum (entzündlich),-,-,,,,,,,,,,,,,,
2006,EAV-100603-G, Kupfermetallurgie: Filterstaub,10,1,,6,1,,6,,,,,,,,,,,,,
2006,EAV-100606-G, Kupfermetallurgie: Feste Abfälle a.Abgasbehandlung,3,2,,9,2,,7,,,,,,,,,,,,,
2006,EAV-100607-G, Kupfermetallurgie: Schlämme,,,,Filterk. a.Abgasbeh.,-,-,,,,,,,,,,,,,,
2006,EAV-100609-G, Kupfermetallurgie: Ölh.Abf. aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100707-G, Silbermet.u.a.: Ölhaltige Abfälle a.Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100808-G, Nichteisenmet.: Salzschlacken(Erst-,,,,Zweitschmelze),3,0,3,0,3,,,,,,,,,,,
2006,EAV-100810-G, Nichteisenmetallurgie:Krätzen,,,,Abschaum (entzündl.),4,0,4,0,4,,,,,,,,,,,
2006,EAV-100812-G, Nichteisenmet.: Teerh. Abfälle aus Anodenherst.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100815-G, Nichteisenmetallurgie: Filterstaub m.gefährl.St.,23,2,,8,2,,8,,,,,,,,,,,,,
2006,EAV-100817-G, Nichteisenmetallurgie:Schlämme,,,,Filterk.a.Abgasbeh.,-,-,,,,,,,,,,,,,,
2006,EAV-100819-G, Nichteisenmetallurgie: Ölh.Abf. aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-100905-G, Eisen,,,,Stahl: Gießformen und -sande vor dem Gießen,3,1,7,1,7,,,,,,,,,,,
2006,EAV-100907-G, Eisen,,,,Stahl: Gießformen und -sande nach dem Gießen,5,1,5,1,5,,,,,,,,,,,
2006,EAV-100909-G, Eisen,,,,Stahl: Filterstaub mit gefährlichen Stoffen,22,4,5,4,5,,,,,,,,,,,
2006,EAV-100911-G, Eisen,,,,Stahl: Andere Teilchen mit gefährl. Stoffen,3,0,1,0,1,,,,,,,,,,,
2006,EAV-100913-G, Eisen,,,,Stahl: Abf. v. Bindemitteln mit gefährl. St.,-,-,,,,,,,,,,,,,,
2006,EAV-100915-G, Eisen,,,,Stahl: Abf. aus rissanzeigenden Substanzen,-,-,,,,,,,,,,,,,,
2006,EAV-101005-G, Nichteisenmet.: Gießformen,,,,#NAME?,4,0,9,0,9,,,,,,,,,,,
2006,EAV-101007-G, Nichteisenmet.: Gießformen,,,,#NAME?,6,1,7,1,7,,,,,,,,,,,
2006,EAV-101009-G, Nichteisenmetalle: Filterstaub m.gefährl.Stoffen,9,2,,4,2,,4,,,,,,,,,,,,,
2006,EAV-101011-G, Nichteisenmet.: And. Teilchen mit gefährl. Stoffen,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-101013-G, Nichteisenmet.:Abf.v. Bindemitteln mit gefährl.St.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-101015-G, Nichteisenmetalle: Abf. aus rissanzeigenden Subst.,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-101109-G, Gemengeabfall mit gefährl. Stoffen v. d. Schmelzen,15,1,,0,0,,9,,,,,,,,,,,,,
2006,EAV-101111-G, Glasabfall in kleinen Teilchen und Glasstaub,15,6,,6,3,,4,,,,,,,,,,,,,
2006,EAV-101113-G, Glaspolier- und Glasschleifschlämme,27,1,,5,1,,5,,,,,,,,,,,,,
2006,EAV-101115-G, Glasherstellung: Feste Abfälle aus Abgasbehandlung,36,3,,3,3,,2,,,,,,,,,,,,,
2006,EAV-101117-G, Glasherstellung: Schlämme,,,,Filterk. aus Abgasbeh.,-,-,,,,,,,,,,,,,,
2006,EAV-101119-G, Glasherst.:Feste Abf. a. betriebseig. Abwasserbeh.,7,0,,5,0,,5,,,,,,,,,,,,,
2006,EAV-101209-G, Keramikerzeugnisse: Feste Abfälle a. Abgasbehandl.,8,0,,3,0,,3,,,,,,,,,,,,,
2006,EAV-101211-G, Keramikerzeugn.: Glasurabfälle mit Schwermetallen,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-101309-G, Asbesthaltige Abfälle a. Herstell. v. Asbestzement,-,-,-,,,,,,,,,,,,,,,,,
