year,code,type of waste,waste producers,waste quantities,waste quantities generated by primary producers,code_new
2006, EAV-050701-G, Natural gas purif.: Wastes containing mercury,3,0.1,0.1, EAV-050701-G
2006, EAV-06, Wastes from inorganic chemical processes,1137,276.5,261, EAV-06
2006, EAV-060101-G, Sulfuric acid and sulphurous acid,183,117.3,116.9, EAV-060101-G
2006, EAV-060102-G, hydrochloric acid,58,5.1,4.9, EAV-060102-G
2006, EAV-060103-G, hydrofluoric acid,22,0.3,0.3, EAV-060103-G
2006, EAV-060104-G, Phosphoric and phosphorous acid,37,1.5,1.5, EAV-060104-G
2006, EAV-060105-G, Nitric acid and nitrous acid,47,2.6,2.5, EAV-060105-G
2006, EAV-060106-G, Other acids,232,17.2,15, EAV-060106-G
2006, EAV-060201-G, calcium hydroxide,10,0.8,0.8, EAV-060201-G
2006, EAV-060203-G, Ammonium hydroxide,83,1.6,1.3, EAV-060203-G
2006, EAV-060204-G, Sodium and potassium hydroxide,42,7.4,5.8, EAV-060204-G
2006, EAV-060205-G, Other bases,214,20.4,19.5, EAV-060205-G
2006, EAV-060311-G, Solid salts and solutions containing cyanides,39,0.5,0.4, EAV-060311-G
2006, EAV-060313-G, Solid salts and solutions containing heavy metals,133,8.2,7, EAV-060313-G
2006, EAV-060315-G, Metallicoxides containing heavy metals,33,5.5,5.2, EAV-060315-G
2006, EAV-060403-G, Wastes containing arsenic,23,1,0.9, EAV-060403-G
2006, EAV-060404-G, Wastes containing mercury,179,7.4,6.7, EAV-060404-G
2006, EAV-060405-G, Wastes containing other heavy metals,129,20.7,20.1, EAV-060405-G
2006, EAV-060502-G, Sludges from on-site effluent treatment,85,38.5,36, EAV-060502-G
2006, EAV-060602-G, Wastes containing hazardous sulphides,4,0.3,0.3, EAV-060602-G
2006, EAV-060701-G, Wastes containing asbestos from electrolysis,0,0,0, EAV-060701-G
2006, EAV-060702-G, Activated carbon from chlorine production,0,0,0, EAV-060702-G
2006, EAV-060703-G,Barium sulphate sludge containing mercury,0,0,0, EAV-060703-G
2006, EAV-060704-G," Solutions and acids, for example contact acid",0,0,0, EAV-060704-G
2006, EAV-060802-G, Waste containing hazardous chlorocyanes,4,4.2,0.2, EAV-060802-G
2006, EAV-060903-G, Calcium-based reaction wastes,0,0,0, EAV-060903-G
2006, EAV-061002-G, Nitrogen chemicals: Wastes cont. hazardous subst.,6,0.1,0.1, EAV-061002-G
2006, EAV-061301-G, Inorganic plant protection products etc.,69,0.5,0.3, EAV-061301-G
2006, EAV-061302-G, Spent activated carbon (except 060702),69,2.9,2.8, EAV-061302-G
2006, EAV-061304-G, Wastes from asbestos processing,18,1.1,0.7, EAV-061304-G
2006, EAV-061305-G, Soot,0,0,0, EAV-061305-G
2006, EAV-07, Wastes from organic chemical processes,2156,886.2,801.3, EAV-07
2006, EAV-070101-G," Organic chem.: Aqueous washing liquids, mother liq.",149,29.1,24.5, EAV-070101-G
2006, EAV-070103-G, Organic chem.: Organic halogenated solvents etc.,117,24.7,17.3, EAV-070103-G
2006, EAV-070104-G, Organic chem.: Other organic solvents etc.,367,97.9,74.2, EAV-070104-G
2006, EAV-070107-G, Organic chem.: Halogenated still bottoms etc.,36,34.8,32.5, EAV-070107-G
2006, EAV-070108-G," Organic chem.: Other still bottoms,reaction residue.",145,58.9,52.5, EAV-070108-G
2006, EAV-070109-G,"Organic chem.: Halogenated filter cakes, spent abs.",12,0.4,0.4, EAV-070109-G
2006, EAV-070110-G," Organic chem.: Other filter cakes, spent absorbents",50,5.5,5.2, EAV-070110-G
2006, EAV-070111-G, Organic chem.: Sludges from on-site effl. treatment.,30,5.1,4.8, EAV-070111-G
2006, EAV-070201-G," Plastics: Aqueous washing liquids, mother liquors",83,23.1,22, EAV-070201-G
2006, EAV-070203-G, Plastics: Organic halogenated solvents etc.,46,2.9,2.5, EAV-070203-G
2006, EAV-070204-G," Plastics: Other organic solvents,washing liq. etc.",195,37.2,33.6, EAV-070204-G
2006, EAV-070207-G," Plastics: Halogenated still bottoms, react. residence.",54,7.4,3.1, EAV-070207-G
2006, EAV-070208-G," Plastics: Other still bottoms, reaction residues",500,72.6,70.5, EAV-070208-G
2006, EAV-070209-G," Plastics: Halogenated filter cakes, spent absorb.",9,0.5,0.5, EAV-070209-G
2006, EAV-070210-G, Plastics: Other filter cakes and spent absorbents,48,5.1,4.1, EAV-070210-G
2006, EAV-070211-G, Plastics: Sludges from on-site effluent treatment,14,4,3.8, EAV-070211-G
2006, EAV-070214-G, Plastics: Wastes from additives cont. haza. subst.,29,0.7,0.7, EAV-070214-G
2006, EAV-070216-G, Plastics: Waste containing hazardous silicones,4,0.9,0.3, EAV-070216-G
2006, EAV-070301-G,"Organic dyes: Aqueous washing liquids, mother liq.",36,4.2,3.9, EAV-070301-G
2006, EAV-070303-G, Organic dyes: Organic halogenated solvents etc.,38,1.9,1.6, EAV-070303-G
2006, EAV-070304-G, Organic dyes: Other organic solvents etc.,335,53.6,49.8, EAV-070304-G
2006, EAV-070307-G, Organic dyes: Halogenated still bottoms etc.,11,1,1, EAV-070307-G
2006, EAV-070308-G," Organic dyes: Other still bottoms, reaction residue.",28,1.6,1.6, EAV-070308-G
2006, EAV-070309-G," Organic dyes: Halogenated filter cakes, spent abs.",7,0.2,0.2, EAV-070309-G
2006, EAV-070310-G," Organic dyes: Other filter cakes, spent absorbents",18,3.6,3.6, EAV-070310-G
2006, EAV-070311-G, Organic dyes: Sludges from on-site effl. treatment.,7,0.4,0.4, EAV-070311-G
2006, EAV-070401-G, Org.plant prot.: Aqueous washing liquids etc.,16,7.3,7.3, EAV-070401-G
2006, EAV-070403-G, Org.plant prot.: Organic halogenated solvents etc.,16,10.4,10.4, EAV-070403-G
2006, EAV-070404-G, Org.plant prot.: Other organic solvents etc.,14,15.3,15.3, EAV-070404-G
2006, EAV-070407-G, Org.plant prot.: Halogenated still bottoms etc.,8,4.6,4.6, EAV-070407-G
2006, EAV-070408-G," Org.plant prot.: Other still bottoms, react.resid.",9,1.6,1.6, EAV-070408-G
2006, EAV-070409-G,Org.plant prot.: Halogenated filter cakes etc.,0,0,0, EAV-070409-G
2006, EAV-070410-G," Org.plant prot.: Other filter cakes, absorb spent.",6,0.3,0.3, EAV-070410-G
2006, EAV-070411-G, Org.plant prot.: Sludges from on-site effl.treatm.,0,0,0, EAV-070411-G
2006, EAV-070413-G, Org.plant prot.: Solid wastes cont. haza. subst.,8,0.5,0.5, EAV-070413-G
2006, EAV-070501-G, Pharmaceuticals: Aqueous washing liquids etc.,49,39.6,39.6, EAV-070501-G
2006, EAV-070503-G, Pharmaceuticals: Organic halogenated solvents etc.,54,14.1,14, EAV-070503-G
2006, EAV-070504-G, Pharmaceuticals: Other organic solvents etc.,91,56.1,56, EAV-070504-G
2006, EAV-070507-G, Pharmaceuticals: Halogenated still bottoms etc.,10,1.9,1.9, EAV-070507-G
2006, EAV-070508-G," Pharmaceuticals: Other still bottoms, react.resid.",53,3.1,3, EAV-070508-G
2006, EAV-070509-G, Pharmaceuticals: Halogenated filter cakes etc.,9,0.1,0.1, EAV-070509-G
2006, EAV-070510-G," Pharmaceuticals: Other filter cakes, spent absorb.",24,1.6,1.6, EAV-070510-G
2006, EAV-070511-G, Pharmaceuticals: Sludges from on-site effl.treatm.,6,0.5,0.5, EAV-070511-G
2006, EAV-070513-G, Pharmaceuticals: Solid wastes cont.haza.substances,31,1.4,1.4, EAV-070513-G
2006, EAV-070601-G,"Fats,soaps: Aqueous washing liquids,mother liquors",138,23.7,21.3, EAV-070601-G
2006, EAV-070603-G," Fats, soaps: Organic halogenated solvents etc.",33,1.1,0.5, EAV-070603-G
2006, EAV-070604-G," Fats, soaps: Other organic solvents etc.",84,6.8,5.7, EAV-070604-G
2006, EAV-070607-G," Fats,soaps: Halogenated still bottoms,react.resid.",3,0.1,0, EAV-070607-G
2006, EAV-070608-G," Fats,soaps: Other still bottoms, reaction residues",146,45.6,42.7, EAV-070608-G
2006, EAV-070609-G," Fats,soaps: Halogenated filter cakes,spent absorb.",3,0.1,0.1, EAV-070609-G
2006, EAV-070610-G," Fats, soaps: Other filter cakes, spent absorbents",19,3.1,3.1, EAV-070610-G
2006, EAV-070611-G," Fats, soaps: Sludges from on-site effluent treatment.",8,1.8,1.8, EAV-070611-G
2006, EAV-070701-G," Fine chem.: Aqueous washing liquids, mother liquors",142,54.5,49.3, EAV-070701-G
2006, EAV-070703-G, Fine chem.: Organic halogenated solvents etc.,114,15.6,13.9, EAV-070703-G
2006, EAV-070704-G, Fine chem.: Other organic solvents etc.,199,52.9,49.4, EAV-070704-G
2006, EAV-070707-G," Fine chem.: Halogenated still bottoms,react.resid.",43,5,4, EAV-070707-G
2006, EAV-070708-G," Fine chem.: Other still bottoms, reaction residues",81,35.9,33.5, EAV-070708-G
2006, EAV-070709-G,"Fine chem.: Halogenated filter cakes, spent absorb.",19,0.2,0.2, EAV-070709-G
2006, EAV-070710-G," Fine chem.: Other filter cakes, spent absorbents",61,2.2,2.1, EAV-070710-G
2006, EAV-070711-G, Fine chem.: Sludges from on-site effluent treatm.,20,1.6,1.6, EAV-070711-G
2006, EAV-08," Wastes from the MFSU of coatings, adhesives etc.",1860,172.4,152, EAV-08
2006, EAV-080111-G," Waste paint, varnish containing organic solvents",809,57.3,46.6, EAV-080111-G
2006, EAV-080113-G, Sludges from paint and varnish cont. org. solvents,598,34.5,31, EAV-080113-G
2006, EAV-080115-G," Paint,varnish: Aqueous sludges cont. paint etc.",192,19.7,16.8, EAV-080115-G
2006, EAV-080117-G, Wastes from paint or varnish removal cont.org.sol.,218,23.7,23.1, EAV-080117-G
2006, EAV-080119-G, Aqueous suspensions cont. paint or varnish,39,5.9,5.9, EAV-080119-G
2006, EAV-080121-G, Waste paint or varnish remover,18,0.5,0.5, EAV-080121-G
2006, EAV-080312-G, Waste ink containing hazardous substances,155,7.1,6.2, EAV-080312-G
2006, EAV-080314-G, Ink sludges containing hazardous substances,67,4.3,4, EAV-080314-G
2006, EAV-080316-G, Waste etching solutions,0,0,0, EAV-080316-G
2006, EAV-080317-G, Waste printing toner cont. hazardous substances,11,0,0, EAV-080317-G
2006, EAV-080319-G, Disperse oil,0,0,0, EAV-080319-G
2006, EAV-080409-G, Waste adhesives and sealants cont.organic solvents,327,17.6,16.2, EAV-080409-G
2006, EAV-080411-G, Adhesive and sealant sludges cont.organic solvents,13,0.4,0.4, EAV-080411-G
2006, EAV-080413-G," Adhesives,sealants: Aqueous sludges cont.adhesives",16,0.4,0.4, EAV-080413-G
2006, EAV-080415-G," Adhesives,sealants: Aqueous liquid waste cont.adh.",17,0.5,0.5, EAV-080415-G
2006, EAV-080417-G," Adhesives, sealants: Rosin oil",0,0,0, EAV-080417-G
2006, EAV-080501-G, Waste isocyanates,35,0.3,0.2, EAV-080501-G
2006, EAV-09, Wastes from the photographic industry,277,61.1,45, EAV-09
2006, EAV-090101-G, Water-based developer and activator solutions,217,22.7,17.3, EAV-090101-G
2006, EAV-090102-G, Water-based offset plate developer solutions,87,12.1,8.9, EAV-090102-G
2006, EAV-090103-G, Solvent-based developer solutions,21,0.4,0, EAV-090103-G
2006, EAV-090104-G, fixer solutions,160,17.8,13.2, EAV-090104-G
2006, EAV-090105-G, Bleach solutions and bleach fixer solutions,45,4.6,4.5, EAV-090105-G
2006, EAV-090106-G, Wastes cont. silver from on-site treatment. of photo.,7,0.6,0.6, EAV-090106-G
2006, EAV-090111-G, Single-use cameras cont. batteries (160601-160603),0,0,0, EAV-090111-G
2006, EAV-090113-G, Aq.liq.waste fr. on-site recl.of silver(ex.090106),0,0,0, EAV-090113-G
2006, EAV-10, Wastes from thermal processes,640,878,653, EAV-10
2006, EAV-100104-G, Oil fly ash and boiler dust,37,3.8,2.5, EAV-100104-G
2006, EAV-100109-G, Sulfuric acid,5,0,0, EAV-100109-G
2006, EAV-100113-G, Fly ash from emulsified hydrocarbons used as fuel,0,0,0, EAV-100113-G
2006, EAV-100114-G," Bottom ash,slag,boiler dust from co-incineration",16,30.3,17.9, EAV-100114-G
2006, EAV-100116-G, Fly ash from co-incineration,22,22.4,9, EAV-100116-G
2006, EAV-100118-G, Wastes from gas cleaning cont. hazardous subst.,27,21,16.5, EAV-100118-G
2006, EAV-100120-G, Power stations: Sludges from on-site effl. treatment.,5,1.8,1.8, EAV-100120-G
2006, EAV-100122-G, Power stations: Aqueous sludges from boiler clean.,3,0.4,0.4, EAV-100122-G
2006, EAV-100207-G," Iron, steel: Solid wastes from gas treatment",48,284.5,249.8, EAV-100207-G
2006, EAV-100211-G," Iron,steel: Wastes fr.cooling-water treat.cont.oil",0,0,0, EAV-100211-G
2006, EAV-100213-G," Iron, steel: Sludges, filter cakes from gas treatm.",15,80.3,76.7, EAV-100213-G
2006, EAV-100304-G, Aluminium: Primary production slags,4,2.1,2.1, EAV-100304-G
2006, EAV-100308-G, Aluminium: Salt slags from secondary production,20,273.5,153.4, EAV-100308-G
2006, EAV-100309-G, Aluminium: Black dross from secondary production,0,0,0, EAV-100309-G
2006, EAV-100315-G, Aluminium: Skimmings that are flammable etc.,86,48.3,32.8, EAV-100315-G
2006, EAV-100317-G, Aluminium: Tar-containing wastes from anode manuf.,5,0.8,0.8, EAV-100317-G
2006, EAV-100319-G, Aluminum: Flue-gas dust cont. hazardous subst.,12,4.3,2.5, EAV-100319-G
2006, EAV-100321-G, Aluminum: Other particulates and dust,8,3.4,3.4, EAV-100321-G
2006, EAV-100323-G, Aluminum: Solid wastes from gas treatment,37,18.8,10.9, EAV-100323-G
2006, EAV-100325-G," Aluminium: Sludges, filter cakes from gas treatment.",5,1.3,1.3, EAV-100325-G
2006, EAV-100327-G, Aluminium: Wastes fr.cooling-water treatm.cont.oil,0,0,0, EAV-100327-G
2006, EAV-100329-G, Aluminium: Wastes from treatment. of salt slags etc.,0,0,0, EAV-100329-G
2006, EAV-100401-G, Lead: Slags from primary and secondary production,7,24,23.2, EAV-100401-G
2006, EAV-100402-G," Lead: Dross, skimmings from primary, second. prod.",70,6.4,6.3, EAV-100402-G
2006, EAV-100403-G, Lead: Calcium arsenate,0,0,0, EAV-100403-G
2006, EAV-100404-G, Lead: Flue-gas dust,3,0.5,0.5, EAV-100404-G
2006, EAV-100405-G, Lead: Other particulates and dust,18,6.4,1.1, EAV-100405-G
2006, EAV-100406-G, Lead: Solid wastes from gas treatment,6,0.5,0.5, EAV-100406-G
2006, EAV-100407-G,Lead: Sludges and filter cakes from gas treatment,0,0,0, EAV-100407-G
2006, EAV-100409-G, Lead: Wastes from cooling-water treatment. cont. oil,0,0,0, EAV-100409-G
2006, EAV-100503-G, Zinc: Flue-gas dust,17,0.6,0.5, EAV-100503-G
2006, EAV-100505-G, Zinc: Solid waste from gas treatment,7,0.3,0.3, EAV-100505-G
2006, EAV-100506-G, Zinc: Sludges and filter cakes from gas treatment,0,0,0, EAV-100506-G
2006, EAV-100508-G, Zinc: Wastes from cooling-water treatment. cont. oil,0,0,0, EAV-100508-G
2006, EAV-100510-G, Zinc: Dross and skimmings that are flammable etc.,0,0,0, EAV-100510-G
2006, EAV-100603-G, Copper: Flue-gas dust,10,1.6,1.6, EAV-100603-G
2006, EAV-100606-G, Copper: Solid wastes from gas treatment,3,2.9,2.7, EAV-100606-G
2006, EAV-100607-G, Copper: Sludges and filter cakes from gas treatment.,0,0,0, EAV-100607-G
2006, EAV-100609-G, Copper: Wastes from cooling-water treatment. cont.oil,0,0,0, EAV-100609-G
2006, EAV-100707-G, Silver etc: Wastes fr. cool.-water treatm.cont.oil,0,0,0, EAV-100707-G
2006, EAV-100808-G," Non-ferrous: Salt slag from primary, secondary. prod.",3,0.3,0.3, EAV-100808-G
2006, EAV-100810-G," Non-ferrous: Dross, skimmings that are flammable",4,0.4,0.4, EAV-100810-G
2006, EAV-100812-G,Non-ferrous: Tar-cont. wastes from anode manuf.,0,0,0, EAV-100812-G
2006, EAV-100815-G, Non-ferrous: Flue-gas dust cont. hazardous subst.,23,2.8,2.8, EAV-100815-G
2006, EAV-100817-G," Non-ferrous: Sludges, filter cakes fr.flue-gas tr.",0,0,0, EAV-100817-G
2006, EAV-100819-G, Non-ferrous: Wastes from cooling-water tr.cont.oil,0,0,0, EAV-100819-G
2006, EAV-100905-G," Ferrous: Casting cores,moulds, not undergone pouring.",3,1.7,1.7, EAV-100905-G
2006, EAV-100907-G," Ferrous: Casting cores, molds, underwent pouring",5,1.5,1.5, EAV-100907-G
2006, EAV-100909-G, Ferrous: Flue-gas dust cont. hazardous substances,22,4.5,4.5, EAV-100909-G
2006, EAV-100911-G, Ferrous: Other particulates cont. hazardous subst.,3,0.1,0.1, EAV-100911-G
2006, EAV-100913-G, Ferrous: Waste binders cont. hazardous substances,0,0,0, EAV-100913-G
2006, EAV-100915-G, Ferrous: Waste crack-indicating agent,0,0,0, EAV-100915-G
2006, EAV-101005-G," Non-ferrous: Casting cores,moulds,not underg.pour.",4,0.9,0.9, EAV-101005-G
2006, EAV-101007-G," Non-ferrous: Casting cores, molds, underwent pour.",6,1.7,1.7, EAV-101007-G
2006, EAV-101009-G, Non-ferrous: Flue-gas dust cont. hazardous subst.,9,2.4,2.4, EAV-101009-G
2006, EAV-101011-G, Non-ferrous: Other particulates cont. haza. subst.,0,0,0, EAV-101011-G
2006, EAV-101013-G,Non-ferrous: Waste binders cont. hazardous subst.,0,0,0, EAV-101013-G
2006, EAV-101015-G, Non-ferrous: Waste crack-indicating agent,0,0,0, EAV-101015-G
2006, EAV-101109-G, Waste preparation mixture before thermal process.,15,1,0.9, EAV-101109-G
2006, EAV-101111-G, Waste glass in small particles cont. heavy metals,15,6.6,3.4, EAV-101111-G
2006, EAV-101113-G," Glass-polishing, -grinding sludge",27,1.5,1.5, EAV-101113-G
2006, EAV-101115-G, Manuf. of glass: Solid wastes from flue-gas treat.,36,3.3,3.2, EAV-101115-G
2006, EAV-101117-G," Manuf. of glass: Sludges, filter cakes fr. flue-gas",0,0,0, EAV-101117-G
2006, EAV-101119-G, Manuf. of glass: Sol.wastes fr.on-site effl.treat.,7,0.5,0.5, EAV-101119-G
2006, EAV-101209-G, Ceramic goods: Solid wastes from gas treatment,8,0.3,0.3, EAV-101209-G
2006, EAV-101211-G, Ceramic goods: Wastes from glazing cont.heavy metal.,0,0,0, EAV-101211-G
2006, EAV-101309-G, Wastes from asbestos-cement manuf. cont. asbestos,0,0,0, EAV-101309-G
2006, EAV-101312-G, Cement etc: Solid wastes from gas treatment,0,0,0, EAV-101312-G
2006, EAV-101401-G, Crematoria: Waste from gas cleaning cont. mercury,77,0.4,0.3, EAV-101401-G
2006, EAV-11, Wastes from chemical surface treatment etc.,2509,552.3,530.3, EAV-11
2006,EAV-110105-G, Surface treatment: Pickling acids,476,79.5,76.2, EAV-110105-G
2006, EAV-110106-G, Surface treatment: Acids nos.,124,7.4,6.7, EAV-110106-G
2006, EAV-110107-G, Surface treatment: Pickling bases,446,50,47.2, EAV-110107-G
2006, EAV-110108-G, Surface treatment: Phosphating sludges,261,11.8,11.4, EAV-110108-G
2006, EAV-110109-G," Surface treatment: Sludges, filter cakes",1269,112.3,103.8, EAV-110109-G
2006, EAV-110111-G, Surface treatment: Aqueous rinsing liquids,665,56.4,51.3, EAV-110111-G
2006, EAV-110113-G, Surface treatment: Degreasing wastes,119,6.9,6.9, EAV-110113-G
2006, EAV-110115-G," Surface treatment: Eluate,sludges fr.membrane sys.",5,0.6,0.6, EAV-110115-G
2006, EAV-110116-G," Surface treatment: Saturated,spent ion exch.resins",16,0.2,0.2, EAV-110116-G
2006, EAV-110198-G, Surface treatment: Other wastes cont. haza. subst.,234,14,12.6, EAV-110198-G
2006, EAV-110202-G, Sludges from zinchydrometallurgy,13,209.2,209.2, EAV-110202-G
2006, EAV-110205-G, Wastes from copper hydrometallurgical processes,0,0,0, EAV-110205-G
2006, EAV-110207-G, Non-ferrous hydromet. processes: Other wastes,0,0,0, EAV-110207-G
2006, EAV-110301-G," Sludges,solids fr.temp.proc.: Wastes cont. cyanide",52,1.7,1.6, EAV-110301-G
2006, EAV-110302-G,"Sludges, solids from tempering proc.: Other wastes",63,2.1,1.8, EAV-110302-G
2006, EAV-110503-G, Hot galvan. proc.: Solid wastes from gas treatment,3,0,0, EAV-110503-G
2006, EAV-110504-G, Hot galvanizing processes: Spent flux,5,0.1,0.1, EAV-110504-G
2006, EAV-12, Wastes from surface treatment of metals a.plastics,3807,924.1,708.2, EAV-12
2006, EAV-120106-G, Mineral-based machining oils containing halogens,23,0.3,0.3, EAV-120106-G
2006, EAV-120107-G, Mineral-based machining oils free of halogens,150,83.4,31.1, EAV-120107-G
2006, EAV-120108-G," Machining emulsions, solutions containing halogens",33,1.2,1.1, EAV-120108-G
2006, EAV-120109-G," Machining emulsions, solutions free of halogens",2856,657.8,536.5, EAV-120109-G
2006, EAV-120110-G, Synthetic machining oils,59,1.5,1.4, EAV-120110-G
2006, EAV-120112-G, Spent waxes and fats,221,7.8,7.4, EAV-120112-G
2006, EAV-120114-G, Machining sludges containing hazardous substances,307,17.7,16.4, EAV-120114-G
2006, EAV-120116-G, Waste blasting material cont. hazardous substances,335,27.5,22.4, EAV-120116-G
2006, EAV-120118-G," Metal sludge (grinding,honing,lapping sl.)cont.oil",480,91.3,57.6, EAV-120118-G
2006, EAV-120119-G, Readily biodegradable machining oil,0,0,0, EAV-120119-G
2006, EAV-120120-G,Spent grinding bodies and grinding materials,105,4.1,3.8, EAV-120120-G
2006, EAV-120301-G, Aqueous washing liquids,260,26.2,25.1, EAV-120301-G
2006, EAV-120302-G, Steam degreasing wastes,37,5.1,5.1, EAV-120302-G
2006, EAV-13," Oil wastes, wastes of liquid fuels (ex.edible oils)",4650,1498.8,1185.3, EAV-13
2006, EAV-130101-G," Hydraulic oils, containing PCBs",15,0.4,0.3, EAV-130101-G
2006, EAV-130104-G, Hydraulic oils: Chlorinated emulsions,5,0,0, EAV-130104-G
2006, EAV-130105-G, Hydraulic oils: Non-chlorinated emulsions,119,21.5,10.1, EAV-130105-G
2006, EAV-130109-G, Mineral-based chlorinated hydraulic oils,7,0,0, EAV-130109-G
2006, EAV-130110-G, Mineral based non-chlorinated hydraulic oils,147,5.8,5.5, EAV-130110-G
2006, EAV-130111-G, Synthetic hydraulic oils,10,0.1,0.1, EAV-130111-G
2006, EAV-130112-G, Readily biodegradable hydraulic oils,3,0,0, EAV-130112-G
2006, EAV-130113-G, Other hydraulic oils,9,0.2,0.2, EAV-130113-G
2006, EAV-130204-G," Mineral-based chlorinated engine, gear, lubr. oils",79,3.2,1.5, EAV-130204-G
2006, EAV-130205-G," Mineral-based non-chlor. engine, gear, lubricant. oils",1925,481.6,342.8, EAV-130205-G
2006, EAV-130206-G," Synthetic engine, gear and lubricating oils",21,0.2,0.2, EAV-130206-G
2006, EAV-130207-G," Readily biodegradable engine,gear,lubricating oils",4,0,0, EAV-130207-G
2006,EAV-130208-G," Other engine, gear and lubricating oils",168,43,37.3, EAV-130208-G
2006, EAV-130301-G, Insulating or heat transmission oils cont. PCB's,65,1.8,1.4, EAV-130301-G
2006, EAV-130306-G," Mineral-b.chlor.insul.,heat transm.oils(ex.130301)",7,0,0, EAV-130306-G
2006, EAV-130307-G," Mineral-based non-chlor. insul., heat transm. oils",176,10.2,8.3, EAV-130307-G
2006, EAV-130308-G, Synthetic insulating and heat transmission oils,21,0.8,0.8, EAV-130308-G
2006, EAV-130309-G," Readily biodegradable insulating, heat transm. oils",3,0,0, EAV-130309-G
2006, EAV-130310-G, Other insulating and heat transmission oils,39,0.9,0.7, EAV-130310-G
2006, EAV-130401-G, Bilge oils from inland navigation,16,3.9,3.4, EAV-130401-G
2006, EAV-130402-G, Bilge oils from jetty sewers,0,0,0, EAV-130402-G
2006, EAV-130403-G, Bilge oils from other navigation,40,153.2,125.1, EAV-130403-G
2006, EAV-130501-G, Solids from grit chambers and oil/water separators,348,102.9,68.4, EAV-130501-G
2006, EAV-130502-G, Sludges from oil/water separators,1218,226.1,209.9, EAV-130502-G
2006, EAV-130503-G, Interceptor sludges,659,159.8,133.4, EAV-130503-G
2006, EAV-130506-G, Oil from oil/water separators,44,7.3,6.9, EAV-130506-G
2006, EAV-130507-G, Oily water from oil/water separators,215,41.3,32.7, EAV-130507-G
2006, EAV-130508-G,"Mixtures of wastes fr.grit chambers,oil/water sep.",642,114.4,110.4, EAV-130508-G
2006, EAV-130701-G, Fuel oil and diesel,174,16.1,14.2, EAV-130701-G
