GENESIS-Tabelle: 32141-0002
Bauschuttaufbereitungsanlagen: Deutschland, Jahre,;;;;;;
Abfallarten;;;;;;
Aufbereitung,Verwertung v. Bau- u. Abbruchabfällen;;;;;;
Deutschland;;;;;;
;;;Bauschuttaufbereitungsanlagen;Input von Bauschuttaufbereitungsanlagen;Bauschuttaufbereitungsanlagen mit Output;Output von Bauschuttaufbereitungsanlagen
2006;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-;7;502,0
2006;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;-;-;-;-
2006;EAV-190801-U;  Sieb- und Rechenrückstände;-;-;-;-
2006;EAV-190802-U;  Sandfangrückstände;-;-;-;-
2006;EAV-190903-U;  Schlämme aus der Dekarbonatisierung;-;-;-;-
2006;EAV-19120100-U;  Mech.Abfallbehandlung: Papier, Pappe nicht diff.;-;-;132;12,0
2006;EAV-191202-U;  Mech.Abfallbehandlung: Eisenmetalle;-;-;711;262,9
2006;EAV-191203-U;  Mech.Abfallbehandlung: Nichteisenmetalle;-;-;110;4,4
2006;EAV-191204-U;  Mech.Abfallbehandlung: Kunststoff und Gummi;-;-;208;18,3
2006;EAV-19120500-U;  Mech.Abfallbehandlung: Glas nicht differenzierbar;-;-;4;1,2
2006;EAV-19120505-U;  Mech.Abfallbehandlung: Mischglas;-;-;-;-
2006;EAV-191206-G;  Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;-;-;8;0,4
2006;EAV-191207-U;  Holz (ohne 191206);3;0,4;368;122,8
2006;EAV-191208-U;  Mech.Abfallbehandlung: Textilien;-;-;-;-
2006;EAV-19120900-U;  Mech.Abfallbehandlung: Mineralien (Sand, Steine);21;295,4;21;434,8
2006;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-;1632;36308,6
2006;EAV-19120902-U;  Erzeugnisse für Verwendung im sonstigen Erdbau;-;-;1030;14179,2
2006;EAV-19120903-U;  Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-;89;788,5
2006;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;-;-;233;4052,3
2006;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-;252;2334,9
2006;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-;9;51,5
2006;EAV-191210-U;  Brennbare Abfälle (Brennstoffe aus Abfällen);-;-;3;0,3
2006;EAV-191211-G;  Sonstige Abfälle (einschl. Materialmischungen);-;-;6;8,4
2006;EAV-191212-U;  Sonstige Abfälle (ohne 191211);6;72,9;286;509,8
2006;EAV-191302-U;  Feste Abfälle aus Sanierung von Böden (oh.191301);-;-;-;-
2006;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);26;79,5;7;10,0
2006;EAV-200101-U;  Papier und Pappe;-;-;-;-
2006;EAV-200102-U;  Glas;-;-;-;-
2006;EAV-200135-G;  Gebrauchte elektrische Geräte (oh.200121,200123);-;-;-;-
2006;EAV-200137-G;  Holz, das gefährliche Stoffe enthält;-;-;-;-
2006;EAV-200138-U;  Holz (ohne 200137);3;3,2;-;-
2006;EAV-200140-U;  Metalle;-;-;-;-
2006;EAV-200201-U;  Biologisch abbaubare Abfälle;6;3,0;3;0,3
2006;EAV-200202-U;  Boden und Steine;10;56,5;-;-
2006;EAV-200203-U;  Andere nicht biologisch abbaubare Abfälle;-;-;-;-
2006;EAV-20030100-U;  Gemischte Siedlungsabfälle nicht differenzierbar;3;2,7;-;-
2006;EAV-20030101-U;  Hausmüll, hausmüllähnliche Gewerbeabfälle;-;-;-;-
2006;EAV-200303-U;  Straßenkehricht;6;13,5;-;-
2006;EAV-200306-U;  Abfälle aus der Kanalreinigung;-;-;-;-
2006;EAV-200307-U;  Sperrmüll;3;0,6;-;-
2006;EAV-200399-U;  Siedlungsabfälle a.n.g.;-;-;-;-
2006;EAV-99;Gefährliche Abfälle;80;791,9;37;26,7
2006;EAV-990000-G;  Gefährliche Abfälle insgesamt;80;791,9;37;26,7
2008;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-;-
2008;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);-;-;-;-
2008;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-;-
2008;EAV-020401-U;  Zuckerherstellung: Rübenerde;-;-;-;-
2008;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-;-
2008;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;-;-;-;-
2008;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-;-
2008;EAV-050117-U;  Erdölraffination: Bitumen;-;-;-;-
2008;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-;-
2008;EAV-060899-U;  Silizium, Siliziumverbindungen: Abfälle a.n.g.;-;-;-;-
2008;EAV-10;Abfälle aus thermischen Prozessen;36;258,5;3;29,0
2008;EAV-100101-U;  Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);6;48,0;-;-
2008;EAV-100117-U;  Filterstäube aus Abfallmitverbrennung (oh.100116);-;-;-;-
2008;EAV-100201-U;  Eisen-,Stahlind.: Abfälle aus Schlackeverarbeitung;-;-;-;-
2008;EAV-100202-U;  Eisen-,Stahlind.: Unbearbeitete Schlacke;5;19,8;-;-
2008;EAV-100501-U;  Zinkmetallurgie: Schlacken (Erst-, Zweitschmelze);-;-;-;-
2008;EAV-100503-G;  Zinkmetallurgie: Filterstaub;-;-;-;-
2008;EAV-100903-U;  Eisen,Stahl: Ofenschlacke;9;85,0;-;-
2008;EAV-100906-U;  Gießformen und -sande vor dem Gießen (oh.100905);-;-;-;-
2008;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);3;70,0;-;-
2008;EAV-101008-U;  Gießformen und -sande nach dem Gießen (oh. 101007);-;-;-;-
2008;EAV-101112-U;  Glasabfall (ohne 101111);-;-;-;-
2008;EAV-101201-U;  Keramikerzeugnisse: Rohmischungen vor dem Brennen;-;-;-;-
2008;EAV-101203-U;  Keramikerzeugnisse: Teilchen und Staub;-;-;-;-
2008;EAV-101208-U;  Abfälle aus Keramikerzeugnissen, Ziegeln u.a.;3;0,1;-;-
2008;EAV-101210-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101209);-;-;-;-
2008;EAV-101304-U;  Abfälle a.Kalzinierung,Hydratisierung v.Branntkalk;-;-;-;-
2008;EAV-101311-U;  Abfälle aus Verbundstoffen (ohne 101309, 101310);3;2,1;-;-
2008;EAV-101314-U;  Betonabfälle und Betonschlämme;9;4,8;-;-
2008;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;-;-;-;-
2008;EAV-120101-U;  Eisenfeil- und -drehspäne;-;-;-;-
2008;EAV-120103-U;  NE-Metallfeil- und -drehspäne;-;-;-;-
2008;EAV-120105-U;  Kunststoffspäne und -drehspäne;-;-;-;-
2008;EAV-120117-U;  Strahlmittelabfälle (ohne 120116);-;-;-;-
2008;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;4;0,0
2008;EAV-130205-G;  Nichtchlorierte Maschinen-,Getriebe-u. Schmieröle;-;-;4;0,0
2008;EAV-130208-G;  Andere Maschinen-, Getriebe- und Schmieröle;-;-;-;-
2008;EAV-130501-G;  Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.;-;-;-;-
2008;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;6;4,0;10;1,1
2008;EAV-150101-U;  Verpackungen aus Papier und Pappe;-;-;-;-
2008;EAV-150102-U;  Verpackungen aus Kunststoff;-;-;-;-
2008;EAV-150103-U;  Verpackungen aus Holz;-;-;-;-
2008;EAV-15010600-U;  Gemischte Verpackungen nicht differenzierbar;4;1,8;3;0,3
2008;EAV-150107-U;  Verpackungen aus Glas;-;-;-;-
2008;EAV-150202-G;  Aufsaug- und Filtermaterialien, Wischtücher;-;-;-;-
2008;EAV-150203-U;  Aufsaug- und Filtermaterialien (ohne 150202);-;-;-;-
2008;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;12;27,2;-;-
2008;EAV-160103-U;  Altreifen;-;-;-;-
2008;EAV-160119-U;  Altfahrzeuge: Kunststoffe;-;-;-;-
2008;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);10;25,7;-;-
2008;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);4;1,5;-;-
2008;EAV-17;Bau- und Abbruchabfälle;2051;63345,7;106;1089,1
2008;EAV-170101-U;  Beton;1562;21725,5;3;64,4
2008;EAV-170102-U;  Ziegel;957;5682,8;3;47,8
2008;EAV-170103-U;  Fliesen und Keramik;473;1135,9;-;-
2008;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;8;14,0;-;-
2008;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);1047;15793,0;10;81,3
2008;EAV-170201-U;  Holz;37;37,9;13;6,5
2008;EAV-170202-U;  Glas;8;0,5;-;-
2008;EAV-170203-U;  Kunststoff;-;-;-;-
2008;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;7;19,0;3;0,0
2008;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;61;724,2;39;349,2
2008;EAV-170302-U;  Bitumengemische (ohne 170301);1059;8745,3;7;28,5
2008;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;19;33,8;8;16,6
2008;EAV-170402-U;  Aluminium;-;-;-;-
2008;EAV-170403-U;  Blei;-;-;-;-
2008;EAV-170405-U;  Eisen und Stahl;7;0,7;9;1,9
2008;EAV-170407-U;  Gemischte Metalle;-;-;-;-
2008;EAV-170411-U;  Kabel (ohne 170410);-;-;-;-
2008;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;3;68,4;-;-
2008;EAV-170504-U;  Boden und Steine (ohne 170503);701;7815,4;25;447,2
2008;EAV-170506-U;  Baggergut (ohne 170505);5;17,0;-;-
2008;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;6;200,4;-;-
2008;EAV-170508-U;  Gleisschotter (ohne 170507);53;1045,3;-;-
2008;EAV-170601-G;  Dämmmaterial, das Asbest enthält;-;-;-;-
2008;EAV-170603-G;  Anderes Dämmmaterial;-;-;3;0,1
2008;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);-;-;-;-
2008;EAV-170605-G;  Asbesthaltige Baustoffe;6;0,3;7;0,2
2008;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);62;36,1;9;8,1
2008;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;-;-;-;-
2008;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);71;235,6;37;17,8
2008;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;45;323,5;2048;62267,9
2008;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;-;-;-;-
2008;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);20;176,2;-;-
2008;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;-;-;-;-
2008;EAV-190114-U;  Filterstaub (ohne 190113);-;-;-;-
2008;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);-;-;-;-
2008;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-;6;188,8
2008;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;-;-;-;-
2008;EAV-190801-U;  Sieb- und Rechenrückstände;-;-;-;-
2008;EAV-190802-U;  Sandfangrückstände;-;-;-;-
2008;EAV-190903-U;  Schlämme aus der Dekarbonatisierung;-;-;-;-
2008;EAV-19120100-U;  Mech.Abfallbehandlung: Papier, Pappe nicht diff.;-;-;128;5,9
2008;EAV-191202-U;  Mech.Abfallbehandlung: Eisenmetalle;-;-;774;204,8
2008;EAV-191203-U;  Mech.Abfallbehandlung: Nichteisenmetalle;-;-;144;9,3
2008;EAV-191204-U;  Mech.Abfallbehandlung: Kunststoff und Gummi;-;-;213;13,9
2008;EAV-19120500-U;  Mech.Abfallbehandlung: Glas nicht differenzierbar;-;-;-;-
2008;EAV-19120505-U;  Mech.Abfallbehandlung: Mischglas;-;-;-;-
2008;EAV-191206-G;  Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;-;-;9;39,6
2008;EAV-191207-U;  Holz (ohne 191206);-;-;403;530,5
2008;EAV-191208-U;  Mech.Abfallbehandlung: Textilien;-;-;-;-
2008;EAV-19120900-U;  Mech.Abfallbehandlung: Mineralien (Sand, Steine);16;86,0;22;709,1
2008;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-;1643;37169,4
2008;EAV-19120902-U;  Erzeugnisse für Verwendung im sonstigen Erdbau;-;-;1068;14477,2
2008;EAV-19120903-U;  Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-;81;849,6
2008;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;-;-;280;4416,1
2008;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-;244;2321,2
2008;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-;-;-
2008;EAV-191210-U;  Brennbare Abfälle (Brennstoffe aus Abfällen);-;-;-;-
2008;EAV-191211-G;  Sonstige Abfälle (einschl. Materialmischungen);-;-;-;-
2008;EAV-191212-U;  Sonstige Abfälle (ohne 191211);8;26,5;307;1282,9
2008;EAV-191302-U;  Feste Abfälle aus Sanierung von Böden (oh.191301);-;-;-;-
2008;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);30;69,6;9;1,3
2008;EAV-200101-U;  Papier und Pappe;-;-;-;-
2008;EAV-200102-U;  Glas;-;-;-;-
2008;EAV-200135-G;  Gebrauchte elektrische Geräte (oh.200121,200123);-;-;-;-
2008;EAV-200137-G;  Holz, das gefährliche Stoffe enthält;-;-;-;-
2008;EAV-200138-U;  Holz (ohne 200137);3;5,1;-;-
2008;EAV-200140-U;  Metalle;-;-;-;-
2008;EAV-200201-U;  Biologisch abbaubare Abfälle;12;7,7;-;-
2008;EAV-200202-U;  Boden und Steine;7;33,4;-;-
2008;EAV-200203-U;  Andere nicht biologisch abbaubare Abfälle;-;-;-;-
2008;EAV-20030100-U;  Gemischte Siedlungsabfälle nicht differenzierbar;-;-;-;-
2008;EAV-20030101-U;  Hausmüll, hausmüllähnliche Gewerbeabfälle;-;-;-;-
2008;EAV-200303-U;  Straßenkehricht;9;17,1;-;-
2008;EAV-200306-U;  Abfälle aus der Kanalreinigung;-;-;-;-
2008;EAV-200307-U;  Sperrmüll;-;-;-;-
2008;EAV-200399-U;  Siedlungsabfälle a.n.g.;-;-;-;-
2008;EAV-99;Gefährliche Abfälle;89;1082,0;63;416,3
2008;EAV-990000-G;  Gefährliche Abfälle insgesamt;89;1082,0;63;416,3
2010;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-;-
2010;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);-;-;-;-
2010;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-;-
2010;EAV-020401-U;  Zuckerherstellung: Rübenerde;-;-;-;-
2010;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-;-
2010;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;-;-;-;-
2010;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-;-
2010;EAV-050117-U;  Erdölraffination: Bitumen;-;-;-;-
2010;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-;-
2010;EAV-060899-U;  Silizium, Siliziumverbindungen: Abfälle a.n.g.;-;-;-;-
2010;EAV-10;Abfälle aus thermischen Prozessen;22;184,5;-;-
2010;EAV-100101-U;  Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);4;35,0;-;-
2010;EAV-100117-U;  Filterstäube aus Abfallmitverbrennung (oh.100116);-;-;-;-
2010;EAV-100201-U;  Eisen-,Stahlind.: Abfälle aus Schlackeverarbeitung;-;-;-;-
2010;EAV-100202-U;  Eisen-,Stahlind.: Unbearbeitete Schlacke;8;58,1;-;-
2010;EAV-100501-U;  Zinkmetallurgie: Schlacken (Erst-, Zweitschmelze);-;-;-;-
2010;EAV-100503-G;  Zinkmetallurgie: Filterstaub;-;-;-;-
2010;EAV-100903-U;  Eisen,Stahl: Ofenschlacke;7;11,5;-;-
2010;EAV-100906-U;  Gießformen und -sande vor dem Gießen (oh.100905);-;-;-;-
2010;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);4;36,4;-;-
2010;EAV-101008-U;  Gießformen und -sande nach dem Gießen (oh. 101007);3;12,2;-;-
2010;EAV-101112-U;  Glasabfall (ohne 101111);-;-;-;-
2010;EAV-101201-U;  Keramikerzeugnisse: Rohmischungen vor dem Brennen;-;-;-;-
2010;EAV-101203-U;  Keramikerzeugnisse: Teilchen und Staub;-;-;-;-
2010;EAV-101208-U;  Abfälle aus Keramikerzeugnissen, Ziegeln u.a.;-;-;-;-
2010;EAV-101210-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101209);-;-;-;-
2010;EAV-101304-U;  Abfälle a.Kalzinierung,Hydratisierung v.Branntkalk;-;-;-;-
2010;EAV-101311-U;  Abfälle aus Verbundstoffen (ohne 101309, 101310);3;4,1;-;-
2010;EAV-101314-U;  Betonabfälle und Betonschlämme;4;3,0;-;-
2010;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;-;-;-;-
2010;EAV-120101-U;  Eisenfeil- und -drehspäne;-;-;-;-
2010;EAV-120103-U;  NE-Metallfeil- und -drehspäne;-;-;-;-
2010;EAV-120105-U;  Kunststoffspäne und -drehspäne;-;-;-;-
2010;EAV-120117-U;  Strahlmittelabfälle (ohne 120116);-;-;-;-
2010;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;4;0,0
2010;EAV-130205-G;  Nichtchlorierte Maschinen-,Getriebe-u. Schmieröle;-;-;4;0,0
2010;EAV-130208-G;  Andere Maschinen-, Getriebe- und Schmieröle;-;-;-;-
2010;EAV-130501-G;  Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.;-;-;-;-
2010;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;9;3,4;6;0,1
2010;EAV-150101-U;  Verpackungen aus Papier und Pappe;-;-;-;-
2010;EAV-150102-U;  Verpackungen aus Kunststoff;-;-;-;-
2010;EAV-150103-U;  Verpackungen aus Holz;-;-;-;-
2010;EAV-15010600-U;  Gemischte Verpackungen nicht differenzierbar;8;3,2;-;-
2010;EAV-150107-U;  Verpackungen aus Glas;-;-;-;-
2010;EAV-150202-G;  Aufsaug- und Filtermaterialien, Wischtücher;-;-;4;0,0
2010;EAV-150203-U;  Aufsaug- und Filtermaterialien (ohne 150202);-;-;-;-
2010;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;3;4,9;-;-
2010;EAV-160103-U;  Altreifen;-;-;-;-
2010;EAV-160119-U;  Altfahrzeuge: Kunststoffe;-;-;-;-
2010;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);-;-;-;-
2010;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);-;-;-;-
2010;EAV-17;Bau- und Abbruchabfälle;2070;62089,1;190;1564,0
2010;EAV-170101-U;  Beton;1590;21955,1;12;119,5
2010;EAV-170102-U;  Ziegel;992;4625,3;8;34,4
2010;EAV-170103-U;  Fliesen und Keramik;475;941,7;-;-
2010;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;5;14,3;3;0,8
