GENESIS-Tabelle: 32131-0002
Eingesammelte Transport- und Umverpackungen: Deutschland,;;;;
Jahre, Verbleib der Verpackungen, Verpackungsarten;;;;
Erh. d. Einsammlung v. Transport- u.Umverpackungen;;;;
Deutschland;;;;
Eingesammelte Transport- und Umverpackungen (1000 t);;;;
;;Verbleib der Verpackungen;Verbleib der Verpackungen;Verbleib der Verpackungen
2010;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;118,8;184,8;303,6
2010;Verpack.f.n.schadstoffh.Füllgüter aus Holz;94,1;230,9;324,9
2010;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;12,7;21,2;33,9
2010;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;300,4;161,4;461,8
2010;Verpackungen für schadstoffhaltige Füllgüter;6,0;9,1;15,1
2010;Insgesamt;1674,5;2589,4;4263,8
2011;Verpack.f.n.schadstoffh.Füllgüter aus Glas;30,7;29,5;60,2
2011;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1079,9;1752,1;2832,0
2011;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;14,3;59,9;74,2
2011;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;108,7;183,8;292,4
2011;Verpack.f.n.schadstoffh.Füllgüter aus Holz;152,2;307,2;459,4
2011;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;23,4;25,6;49,0
2011;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;270,4;150,0;420,4
2011;Verpackungen für schadstoffhaltige Füllgüter;2,3;5,9;8,3
2011;Insgesamt;1681,9;2514,0;4195,9
2012;Verpack.f.n.schadstoffh.Füllgüter aus Glas;37,4;43,6;81,0
2012;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1102,4;1701,8;2804,3
2012;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;20,3;54,4;74,7
2012;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;128,2;170,9;299,1
2012;Verpack.f.n.schadstoffh.Füllgüter aus Holz;177,2;302,0;479,3
2012;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;53,7;9,1;62,8
2012;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;276,4;169,4;445,9
2012;Verpackungen für schadstoffhaltige Füllgüter;5,5;6,8;12,3
2012;Insgesamt;1801,2;2458,0;4259,2
2013;Verpack.f.n.schadstoffh.Füllgüter aus Glas;72,2;41,0;113,2
2013;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1310,7;1809,2;3120,0
2013;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;24,0;50,4;74,4
2013;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;219,2;190,9;410,1
2013;Verpack.f.n.schadstoffh.Füllgüter aus Holz;102,4;336,4;438,8
2013;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;61,0;11,2;72,2
2013;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;295,6;303,7;599,3
2013;Verpackungen für schadstoffhaltige Füllgüter;1,7;17,5;19,2
2013;Insgesamt;2086,9;2760,3;4847,2
2014;Verpack.f.n.schadstoffh.Füllgüter aus Glas;80,0;35,0;114,9
2014;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1201,9;1657,5;2859,3
2014;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;26,5;54,7;81,2
2014;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;138,7;180,9;319,6
2014;Verpack.f.n.schadstoffh.Füllgüter aus Holz;112,5;309,4;421,9
2014;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;56,5;12,9;69,4
2014;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;270,2;210,8;481,0
2014;Verpackungen für schadstoffhaltige Füllgüter;1,7;6,8;8,5
2014;Insgesamt;1888,1;2467,9;4355,9
2015;Verpack.f.n.schadstoffh.Füllgüter aus Glas;78,9;22,9;101,8
2015;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1375,9;1719,6;3095,5
2015;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;49,5;42,8;92,3
2015;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;159,6;176,8;336,4
2015;Verpack.f.n.schadstoffh.Füllgüter aus Holz;146,3;327,1;473,4
2015;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;64,7;18,3;83,0
2015;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;374,0;241,3;615,3
2015;Verpackungen für schadstoffhaltige Füllgüter;2,8;7,0;9,7
2015;Insgesamt;2251,7;2555,8;4807,5
2016;Verpack.f.n.schadstoffh.Füllgüter aus Glas;47,3;62,9;110,2
2016;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1428,4;1746,2;3174,6
2016;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;37,5;46,6;84,1
2016;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;147,1;202,3;349,4
2016;Verpack.f.n.schadstoffh.Füllgüter aus Holz;162,3;321,0;483,3
2016;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;59,2;16,3;75,5
2016;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;338,1;219,9;558,0
2016;Verpackungen für schadstoffhaltige Füllgüter;2,4;10,3;12,7
2016;Insgesamt;2222,3;2625,5;4847,8
2017;Verpack.f.n.schadstoffh.Füllgüter aus Glas;196,4;28,9;225,2
2017;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1302,9;1804,6;3107,6
2017;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;24,0;47,7;71,7
2017;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;146,8;182,3;329,1
2017;Verpack.f.n.schadstoffh.Füllgüter aus Holz;163,3;332,4;495,8
2017;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;37,0;32,5;69,5
2017;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;376,6;192,4;569,0
2017;Verpackungen für schadstoffhaltige Füllgüter;2,0;10,4;12,5
2017;Insgesamt;2249,0;2631,3;4880,3
2018;Verpack.f.n.schadstoffh.Füllgüter aus Glas;132,8;29,5;162,3
2018;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1312,9;1686,7;2999,5
2018;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;31,0;33,2;64,3
2018;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;149,8;182,0;331,9
2018;Verpack.f.n.schadstoffh.Füllgüter aus Holz;189,2;355,3;544,4
2018;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;34,4;22,4;56,8
2018;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;486,0;170,6;656,6
2018;Verpackungen für schadstoffhaltige Füllgüter;10,5;11,4;21,9
2018;Insgesamt;2346,7;2491,1;4837,8
2019;Verpack.f.n.schadstoffh.Füllgüter aus Glas;173,6;37,3;210,9
2019;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1367,7;1686,5;3054,2
2019;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;26,5;32,6;59,1
2019;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;155,2;194,1;349,2
2019;Verpack.f.n.schadstoffh.Füllgüter aus Holz;193,6;356,4;550,0
2019;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;37,2;21,3;58,6
2019;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;423,9;173,0;596,9
2019;Verpackungen für schadstoffhaltige Füllgüter;5,2;10,2;15,4
2019;Insgesamt;2382,9;2511,4;4894,3
2020;Verpack.f.n.schadstoffh.Füllgüter aus Glas;159,6;54,5;214,0
2020;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1234,0;1712,0;2946,1
2020;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;23,9;24,9;48,8
2020;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;135,0;195,0;329,9
2020;Verpack.f.n.schadstoffh.Füllgüter aus Holz;208,1;318,0;526,1
2020;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;39,7;18,4;58,1
2020;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;418,1;190,7;608,8
2020;Verpackungen für schadstoffhaltige Füllgüter;5,8;7,4;13,2
2020;Insgesamt;2224,0;2521,0;4745,0
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 26.08.2023 / 16:45:59
