GENESIS table: 32161-0001
Companies, amount of waste generated: Germany, years,;;;;
types of waste;;;;
Waste generation survey;;;;
Germany;;;;
;;;Operations;Amount of waste generated
2010;EAV-020102-U; Agriculture, etc.: animal tissue waste;25;64,6
2010;EAV-020103-U; Agriculture, etc.: Waste from plant tissue;88;216.7
2010;EAV-020104-U; Agriculture, etc.: plastic waste (without packaging);49;147.7
2010;EAV-020106-U; Animal excreta, manure/manure/stable manure;61;70.8
2010;EAV-020107-U; Forestry waste;12;0.1
2010;EAV-020108-G; Agricultural chemical waste;25;1,7
2010;EAV-020109-U; waste v. chemistry. f.d. Agriculture(oh.020108);5;0.6
2010;EAV-020110-U; Agriculture, etc.: metal waste;30;1.2
2010;EAV-020199-U; Agriculture and others: waste not otherwise specified;14;1,2
2010;EAV-020201-U; Meat, etc.: sludge from washing and cleaning processes;55;29.7
2010;EAV-020202-U; Meat and others: animal tissue waste;217;450.0
2010;EAV-020203-U; Meat, etc.: For consumption/processing unsuitable substances;293;429.5
2010;EAV-020204-U; Meat, etc.: sludge (in-house waste water treatment); 2174; 543.4
2010;EAV-020299-U; processing of meat, fish, etc.: waste not otherwise specified;60;143.1
2010;EAV-020301-U; Fruit, etc.: sludge from washing, cleaning proc. etc.;50;92.0
2010;EAV-020302-U; Fruit and others: waste from preservatives;-;-
2010;EAV-020303-U; Fruit and others: Waste from extraction with solvents;6;1.0
2010;EAV-020304-U; Fruit, etc.: For consumption/processing unsuitable substances;346;321.0
2010;EAV-020305-U; Fruit and others: sludge (in-house waste water treatment);63;129.7
2010;EAV-020399-U; Processing of fruit, vegetables, etc.: waste not otherwise specified;41;83.1
2010;EAV-020401-U; Sugar production: beet soil;16;1274.8
2010;EAV-020402-U; Sugar manufacture: Not spec. calcium carbonate sludge;4;204.1
2010;EAV-020403-U; Sugar production: sludge (in-house waste water treatment);-;-
2010;EAV-020499-U; Sugar manufacture: waste not otherwise specified;-;-
2010;EAV-020501-U; Dairy Processing: For Consumption/Processing unapproved tax;79;47.4
2010;EAV-020502-U; Milk processing: sludge (in-house waste water treatment);35;86.9
2010;EAV-020599-U; Milk processing: waste not otherwise specified;6;0.4
2010;EAV-020601-U; Baked goods, confectionery: for consumption/processing unsuitable St.;231;141.4
2010;EAV-020602-U; Baked goods, confectionery: waste from preservatives;-;-
2010;EAV-020603-U; Baked goods, confectionery: sludge (own waste water treatment); 66; 27.9
2010;EAV-020699-U; Manufacture of bakery and confectionery: waste not otherwise specified;45;21.2
2010;EAV-020701-U; Beverages: Waste from laundry, cleaning, etc.;39;58.7
2010;EAV-020702-U; Beverages: waste from alcohol distillation;9;189.9
2010;EAV-020703-U; Beverages: waste from chemical treatment;-;-
2010;EAV-020704-U; Beverages: For consumption/processing unsuitable substances;63;590.0
2010;EAV-020705-U; Beverages: sludge (in-house waste water treatment);44;59.6
2010;EAV-020799-U; Manufacture of beverages: wastes not otherwise specified;32;503.2
2010;EAV-03;Waste from wood processing, etc.;;
2010;EAV-030101-U; Wood processing, etc.: bark and cork waste;44;678.9
2010;EAV-030104-G; Sawdust, shavings, cuttings, wood, chipboard;57;22.3
2010;EAV-030105-U; Sawdust, shavings, trimmings, wood, chipboard. (oh.030104);856;2896.0
2010;EAV-030199-U; Wood processing, etc.: waste not otherwise specified;40;8.5
2010;EAV-030201-G; Halogen-free organic wood preservatives;4;0.9
2010;EAV-030202-G; Organochlorine wood preservatives;-;-
2010;EAV-030203-G; Metal-organic wood preservatives;-;-
2010;EAV-030204-G; Inorganic wood preservatives;-;-
2010;EAV-030205-G; Other wood preservatives with dangerous substances;6;0.0
2010;EAV-030299-U; Wood preservatives n.e.c.;5;0.0
2010;EAV-030301-U; Paper manufacture e.g.: bark and wood waste;39;291.0
2010;EAV-030302-U; Sulphite sludge (from recovery of cooking liquor);-;-
2010;EAV-030305-U; deinking sludge from paper recycling;13;1027.7
2010;EAV-030307-U; Mechanically separated waste (paper waste);110;792.3
2010;EAV-030308-U; Waste from sorting v. Paper for recycling;349;748.5
2010;EAV-030309-U; Lime mud waste;9;13.6
2010;EAV-030310-U; Fiber waste, fiber, filler and coating sludge;135;1785.9
2010;EAV-030311-U; sludge a. operational waste water treatment (oh.030310);39;164.4
2010;EAV-030399-U; Paper manufacture, etc.: waste not otherwise specified;38;798.2
2010;EAV-04;Waste from the leather, fur and textile industry;;
2010;EAV-040101-U; Flesh scrapings and skin scraps;3;0.0
2010;EAV-040102-U; Limed glueskin;6;20,2
2010;EAV-040103-G; Degreasing waste, solvent-free, non-liquid phase;-;-
2010;EAV-040104-U; Tanning liquor containing chrome;-;-
2010;EAV-040105-U; Chrome-free tanning liquor;-;-
2010;EAV-040106-U; Chromium containing sludges;11;20.3
2010;EAV-040107-U; Chrome-free sludges;-;-
2010;EAV-040108-U; Tanned leather waste containing chromium;38;6,2
2010;EAV-040109-U; trimming and finishing waste;15;0.3
2010;EAV-040199-U; Leather and fur industry: wastes not otherwise specified;14;1,7
2010;EAV-040209-U; Waste from composite materials (elastomer, etc.);107;41.6
2010;EAV-040210-U; Organic substances from natural substances (e.g. fats);10;3,8
2010;EAV-040214-G; waste from the finish with organ. solvent;7;0.0
2010;EAV-040215-U; waste from the finish (excluding 040214);11;0.6
2010;EAV-040216-G; Dyes and pigments with hazardous substances;4;0.0
2010;EAV-040217-U; Dyes and pigments (excluding 040216);10;0.5
2010;EAV-040219-G; Textile industry: sludge (in-house waste water treatment); 5; 0.0
2010;EAV-040220-U; sludge from on-site Sewage treatment (oh.040219);25;2.2
2010;EAV-040221-U; Waste from untreated textile fibers;63;13.1
2010;EAV-040222-U; waste from processed textile fibres;298;42.9
2010;EAV-040299-U; Textile industry: waste not otherwise specified;26;2.2
2010;EAV-05;Waste from petroleum refining, natural gas purification;;
2010;EAV-050102-G; Petroleum refining: desalination sludge;-;-
2010;EAV-050103-G; Petroleum refining: bottom sludge from tanks;56;13.5
2010;EAV-050104-G; Petroleum Refining: Acid Alkyl Slurries;-;-
2010;EAV-050105-G; Petroleum Refining: Spilled Oil;-;-
2010;EAV-050106-G; Petroleum refining: oil holding sludges from operating procedures;41;13.3
2010;EAV-050107-G; Petroleum refining: acid tars;-;-
2010;EAV-050108-G; Petroleum refining: other tars;6;0.2
2010;EAV-050109-G; Petroleum refinery: sludge (on-site waste water treatment);11;4,7
2010;EAV-050110-U; sludge a. company owned Sewage treatment (oh.050109);5;4.4
2010;EAV-050111-G; Petroleum refinery: Waste from fuel purification. with bases;-;-
2010;EAV-050112-G; Petroleum Refining: Acidic Oils;-;-
2010;EAV-050113-U; Petroleum refining: sludges from boiler feed water treatment.;-;-
2010;EAV-050114-U; Petroleum refining: waste from cooling columns;-;-
2010;EAV-050115-G; Petroleum refining: used filter clays;17;0.6
2010;EAV-050116-U; Petroleum Ref.:Sulphur. waste from oil desulfurization;8;0.3
2010;EAV-050117-U; Petroleum refining: bitumen;-;-
2010;EAV-050199-U; Petroleum refining: wastes not otherwise specified;-;-
2010;EAV-050601-G; coal pyrolysis: acid tars;-;-
2010;EAV-050603-G; Coal pyrolysis: Other tars;37;7,3
2010;EAV-050604-U; Coal pyrolysis: waste from cooling columns;-;-
2010;EAV-050699-U; Coal pyrolysis: wastes not otherwise specified;3;0.0
2010;EAV-050701-G; Natural gas cleaning, transport: mercury h. waste;-;-
2010;EAV-050702-U; Natural gas cleaning, transport:Sulphurous waste;9;0.6
2010;EAV-050799-U; Natural gas cleaning, transport: waste not otherwise specified;-;-
2010;EAV-06;Waste from inorganic chemical processes;;
2010;EAV-060101-G; sulfuric acid and sulphurous acid;194;113.5
2010;EAV-060102-G; hydrochloric acid;51;13.5
2010;EAV-060103-G; hydrofluoric acid;9;0.2
2010;EAV-060104-G; phosphoric acid and phosphorous acid;30;0.5
2010;EAV-060105-G; nitric acid and nitrous acid;35;1.5
2010;EAV-060106-G; Other acids; 588; 10.1
2010;EAV-060199-U; Acids: waste not otherwise specified;17;0.1
2010;EAV-060201-G; calcium hydroxide; 13; 0.6
2010;EAV-060203-G; ammonium hydroxide;33;6.7
2010;EAV-060204-G; sodium and potassium hydroxide;65;9.1
2010;EAV-060205-G; Other bases; 505; 13.3
2010;EAV-060299-U; Bases: wastes n.e.c.;16;2,3
2010;EAV-060311-G; Solid salts and solutions containing cyanide;21;0.7
2010;EAV-060313-G; Solid salts and solutions containing heavy metals;115;6,4
2010;EAV-060314-U; Solid salts and solutions (excluding 060311 and 060313);233;157.0
2010;EAV-060315-G; metal oxides containing heavy metals;21;7,2
2010;EAV-060316-U; metal oxides (excluding 060315);49;37.5
2010;EAV-060399-U; Salts, saline solutions, metal oxides: wastes not otherwise specified;7;0.2
2010;EAV-060403-G; Waste containing arsenic;11;0.6
2010;EAV-060404-G; Waste containing mercury;579;4.9
2010;EAV-060405-G; wastes containing other heavy metals;76;43.0
2010;EAV-060499-U; Waste containing metal not otherwise specified;5;0.1
2010;EAV-060502-G; Sludges from on-site wastewater treatment;69;48.6
2010;EAV-060503-U; sludge from on-site Sewage treatment (oh.060502);135;103.2
2010;EAV-060602-G; wastes containing dangerous sulphides;6;0.2
2010;EAV-060603-U; Waste containing sulfide (excluding 060602);4;0.5
2010;EAV-060699-U; Sulphur-containing chemicals: wastes not otherwise specified;-;-
2010;EAV-060701-G; Waste containing asbestos from electrolysis;-;-
2010;EAV-060702-G; Activated carbon from chlorine production;3;0.1
2010;EAV-060703-G; Mercurial barium sulfate sludges;-;-
2010;EAV-060704-G; Solutions and acids, e.g. contact acid;3;0.6
2010;EAV-060799-U; Halogens: waste not otherwise specified;5;0.1
2010;EAV-060802-G; Hazardous waste containing chlorosilanes;3;2,3
2010;EAV-060899-U; Silicon, silicon compounds: wastes not otherwise specified;19;18.2
2010;EAV-060902-U; Phosphorous slag;-;-
2010;EAV-060903-G; Calcium based reaction wastes;-;-
2010;EAV-060904-U; Calcium-based reaction waste (without 060903);-;-
2010;EAV-060999-U; Chemicals containing phosphorus: waste n.e.c.;-;-
2010;EAV-061002-G; Nitrogen chemistry: Waste with hazardous substances;6;0.4
2010;EAV-061099-U; Nitrogenous chemicals: wastes not otherwise specified;-;-
2010;EAV-061101-U; Calcium based reaction wastes a. Titanium Dioxide;-;-
2010;EAV-061199-U; Inorganic pigments, colourants: wastes not otherwise specified;4;1,5
2010;EAV-061301-G; Inorganic pesticides, wood preservatives;12;0.1
2010;EAV-061302-G; Used activated carbon (without 060702);133;2.0
2010;EAV-061303-U; carbon black;36;3.8
2010;EAV-061304-G; waste from asbestos processing;4;0.0
2010;EAV-061305-G; Oven and chimney soot;-;-
2010;EAV-061399-U; Inorganic chemical processes: wastes not otherwise specified;-;-
2010;EAV-07;Waste from organic chemical processes;;
2010;EAV-070101-G; Org.Basic Chemicals: Aqueous washes, mother liquors;179;34.4
2010;EAV-070103-G; Organic basic chemicals: Halogen organic solvents, wash bottle;280;48.8
2010;EAV-070104-G; Organic basic chemicals: solvents, washing liquids;1003;145.0
2010;EAV-070107-G; Org.Basic chemicals.: Halogen.Reaction,distillation.residue.;43;56.6
2010;EAV-070108-G; Org. basic chemicals: reaction, distillation residues; 139; 101.9
2010;EAV-070109-G; Organic basic chemicals: Halogen filter cake, absorption material;19;0.5
2010;EAV-070110-G; Org.Grundchemik.: And. Filter cake, absorbent mat.;42;4.1
2010;EAV-070111-G; Organic basic chemicals: sludge (own waste water treatment); 40; 8.7
2010;EAV-070112-U; sludge from on-site Sewage treatment (oh.070111);15;4.1
2010;EAV-070199-U; Bulk organic chemicals: wastes not otherwise specified;27;3,9
2010;EAV-070201-G; Plastics: Aqueous detergents, mother liquors;63;128.6
2010;EAV-070203-G; Plastics: halogen organic solvent, washing liquid.;50;3.0
2010;EAV-070204-G; Plastics: organ. solvents, washing liquids;168;36.2
2010;EAV-070207-G; Plastics: Halogen. Reaction, distillation residues;43;6.3
2010;EAV-070208-G; Plastics: reaction and distillation residues;791;131.0
2010;EAV-070209-G; Plastics: Halogen. filter cake, absorbent material;10;0.2
2010;EAV-070210-G; Plastics: And. filter cakes, absorbent materials;44;4.8
2010;EAV-070211-G; Plastics: sludge (company wastewater tank);20;1.3
2010;EAV-070212-U; sludge from on-site Sewage treatment (oh.070211);41;21.8
2010;EAV-070213-U; Plastic waste;1299;327.9
2010;EAV-070214-G; Plastics: Waste from additives with hazardous tax; 62; 2.8
2010;EAV-070215-U; Waste additives (excluding 070214);33;2.4
2010;EAV-070216-G; Plastics: Danger. Waste containing silicone;7;0.7
2010;EAV-070217-U; Waste containing silicone (excluding 070216);18;0.6
2010;EAV-070299-U; Plastics, fibers, synthetic rubber: waste not otherwise specified;239;164.7
2010;EAV-070301-G; Org.Dyes: Aqueous washes, mother liquors;33;3.0
2010;EAV-070303-G; Organic dyes: Halogenorg. Solvent, washing bottle;31;0.2
2010;EAV-070304-G; Organic dyes: solvents, washing liquids; 418; 47.7
2010;EAV-070307-G; Organic dyes: halogen. Reaction, distillation residue;8;1.1
2010;EAV-070308-G; Organic dyes: reaction, distillation residues; 22; 4.0
2010;EAV-070309-G; Organic dyes: halogen. filter cake, absorbent material;4;0.2
2010;EAV-070310-G; Org. Dyes: Other filter cakes, absorption mat.;11;1.2
2010;EAV-070311-G; Organic dyes: sludge (own waste water treatment); 3; 0.2
2010;EAV-070312-U; sludge from on-site Sewage treatment (oh.070311);12;1.8
2010;EAV-070399-U; Organic dyes, pigments: waste not otherwise specified;-;-
2010;EAV-070401-G; Pesticides: Aqueous wash, mother liquor; 14; 17.5
2010;EAV-070403-G; Pesticides: halogen organic solvents, washing bottle; 10; 52.1
2010;EAV-070404-G; Pesticides: Organ. Solvent, washing bottle;19;30.7
2010;EAV-070407-G; Plant protection agents: halogen.reaction,distill.residue;8;21.7
2010;EAV-070408-G; Pesticides: reaction, distillation residue;7;5.1
2010;EAV-070409-G; Pesticides: halogen filter cake, suction mat; 5; 0.2
2010;EAV-070410-G; Pesticides: filter cake, absorbent material;8;0.5
2010;EAV-070411-G; Pesticides: sludge (own waste water treatment); 3; 0.2
2010;EAV-070412-U; sludge from on-site Sewage treatment (oh.070411);-;-
2010;EAV-070413-G; Pesticides: Solid waste with hazardous level;7;0.9
2010;EAV-070499-U; Plant protection products, etc.: Waste not otherwise specified;-;-
2010;EAV-070501-G; Pharmaceuticals: Aqueous washes, mother liquors;44;62.7
2010;EAV-070503-G; Pharmaceuticals: halogen organic solvents, wash bottle;59;34.6
2010;EAV-070504-G; Pharmaceuticals: organ. Solvent, washing liquid;91;76.2
2010;EAV-070507-G; Pharmaceuticals: halogen.reaction, still.residue;11;2,4
2010;EAV-070508-G; Pharmaceuticals: reaction, distillation residues;42;4.2
2010;EAV-070509-G; Pharmaceuticals: halogen filter cake, absorbent mat.;6;0.4
2010;EAV-070510-G; Pharmaceuticals: filter cakes, absorbent materials;21;1,6
2010;EAV-070511-G; Pharmaceuticals: Sludge (company wastewater tank);5;0.2
2010;EAV-070512-U; sludge from on-site Sewage treatment (oh.070511);11;3.6
2010;EAV-070513-G; Pharmaceuticals: Solid waste with hazardous fabrics;30;1.3
2010;EAV-070514-U; Solid waste (excluding 070513);41;16.1
2010;EAV-070599-U; Pharmaceuticals: wastes not otherwise specified;74;14.9
2010;EAV-070601-G; Fats, soaps: Aqueous washes, mother liquors;133;42.5
2010;EAV-070603-G; Fats, soaps: halogen organic solvents, washing bottles;51;0.3
2010;EAV-070604-G; Fats, soaps: organ. solvent, washing liquid;199;9.9
2010;EAV-070607-G; Fats, soaps: Halogen.reaction, distill.residue.;3;0.4
2010;EAV-070608-G; Fats, soaps: reaction, distillation residues; 380; 34.2
2010;EAV-070609-G; Fats, soaps: halogen filter cake, absorbent mat.;4;0.3
2010;EAV-070610-G; Fats, soaps: filter cakes, absorbent materials;25;2.8
2010;EAV-070611-G; Fats, soaps: sludge (in-house waste water treatment);6;0.2
2010;EAV-070612-U; sludge from on-site Sewage treatment (oh.070611);28;9.2
2010;EAV-070699-U; Grease, soap, lubricants, etc.: waste not otherwise specified;142;28.4
2010;EAV-070701-G; Fine Chemicals: Aqueous washes, mother liquors;191;64.2
2010;EAV-070703-G; Fine chemicals: halogen organic solvents, wash bottle;177;17.5
2010;EAV-070704-G; Fine chemicals: organ. Solvent, washing liquid.;610;55.4
2010;EAV-070707-G; Fine chemicals: halogen reaction, distillation residue; 34; 8.0
2010;EAV-070708-G; Fine chemicals: reaction, distillation residues; 69; 98.4
2010;EAV-070709-G; Fine chemicals: halogen filter cake, absorbent material;15;0.9
2010;EAV-070710-G; Fine chemicals: filter cakes, absorbent materials;42;2.5
2010;EAV-070711-G; Fine chemicals: sludge (own waste water treatment); 14; 1.2
2010;EAV-070712-U; sludge from on-site Sewage treatment (oh.070711);7;1.1
2010;EAV-070799-U; Fine chemicals: waste n.e.c.;14;0.8
2010;EAV-08;Waste from MFSU from coatings, adhesives, etc.;;
2010;EAV-080111-G; Waste paint and varnish containing dangerous substances;3927;42.7
2010;EAV-080112-U; Paint and varnish waste (without 080111);851;16.9
2010;EAV-080113-G; Paint and varnish sludge with dangerous substances;688;22.3
2010;EAV-080114-U; Paint and varnish sludge (without 080113);54;9.8
2010;EAV-080115-G; Paints, varnishes: Aqueous sludge with hazardous St.;198;13.6
2010;EAV-080116-U; Aqueous sludge (excluding 080115);558;42.8
2010;EAV-080117-G; Waste from paint or varnish removal;358;17.7
2010;EAV-080118-U; Waste from paint or varnish removal (excluding 080117);170;8.5
2010;EAV-080119-G; Aqueous suspensions containing paints or varnishes;41;8.2
2010;EAV-080120-U; Aqueous suspensions (without 080119);122;5.1
2010;EAV-080121-G; paint or varnish remover waste;38;0.2
2010;EAV-080199-U; Paints, varnishes: waste not otherwise specified;20;0.3
2010;EAV-080201-U; coating powder waste;112;2.6
2010;EAV-080202-U; Aqueous sludges containing ceramic materials;31;2.7
2010;EAV-080203-U; Aqueous suspensions,ceram. Materials containing;6;3,6
2010;EAV-080299-U; Other coatings: waste not otherwise specified;-;-
2010;EAV-080307-U; Aqueous sludges containing printing inks;18;0.3
2010;EAV-080308-U; Aqueous liquid wastes, d. Inks included;59;6,6
2010;EAV-080312-G; Waste printing ink containing hazardous substances;340;11.3
2010;EAV-080313-U; Ink waste (excluding 080312);106;2.5
2010;EAV-080314-G; Printing ink sludge with dangerous substances;120;4.0
2010;EAV-080315-U; Printing ink sludge (without 080314);12;0.4
2010;EAV-080316-G; Etching solution waste;-;-
2010;EAV-080317-G; Waste toner containing hazardous substances;34;0.0
2010;EAV-080318-U; Toner waste (excluding 080317);288;0.7
2010;EAV-080319-G; dispersion oil;-;-
2010;EAV-080399-U; Printing inks: waste not otherwise specified;10;0.3
2010;EAV-080409-G; Adhesive and sealant waste with hazardous St.;1111;16.6
2010;EAV-080410-U; Adhesive and sealant waste (excluding 080409);248;13.1
2010;EAV-080411-G; Slurries containing adhesives and sealants;24;0.5
2010;EAV-080412-U; Adhesive and sealant hold. sludge(oh.080411);12;0.3
2010;EAV-080413-G; Adhesive, sealant: Aqueous sludge with hazardous level;25;0.4
2010;EAV-080414-U; Aqueous sludge (excluding 080413);57;4.3
2010;EAV-080415-G; Adhesive, sealant: Aqueous liquid waste with hazardous St;15;0.5
2010;EAV-080416-U; Aqueous liquid waste (excluding 080415);37;15.2
2010;EAV-080417-G; Adhesives, sealants: resin oils;-;-
2010;EAV-080499-U; Adhesives, sealants: waste not otherwise specified;14;0.8
2010;EAV-080501-G; isocyanate waste;54;0.3
2010;EAV-09;Waste from the photographic industry;;
2010;EAV-090101-G; Water-based developer and activator solutions;671;6.5
2010;EAV-090102-G; offset printing plate developing solutions;366;10.3
2010;EAV-090103-G; Solvent based developer solutions;24;0.1
2010;EAV-090104-G; fixer baths;581;2.5
2010;EAV-090105-G; bleaching solutions and bleach-fix baths; 11; 0.1
2010;EAV-090106-G; Waste containing silver from tank photographer. waste;4;0.0
2010;EAV-090107-U; Films and photographic papers containing silver;268;1.6
2010;EAV-090108-U; Non-silver film and photographic paper;138;1.5
2010;EAV-090110-U; Disposable cameras without batteries;-;-
2010;EAV-090111-G; Disposable cameras with batteries (160601-160603);-;-
2010;EAV-090112-U; Disposable cameras with batteries (without 090111);-;-
2010;EAV-090113-G; Waste from silver recovery (excluding 090106);-;-
2010;EAV-090199-U; Photographic industry: waste not otherwise specified;16;0.1
2010;EAV-10;Waste from thermal processes;;
2010;EAV-100101-U; rust and Boiler ash, slag, boiler st.(oh.100104);416;4610.5
2010;EAV-100102-U; Filter dust from coal firing;51;1093.5
2010;EAV-100103-U; Fly ash from peat firing and furnaces;31;54.9
2010;EAV-100104-G; Fly ash and boiler dust from oil firing;15;3.2
2010;EAV-100105-U; Calcium-based reaction wastes in solid form;40;391.2
2010;EAV-100107-U; Calcium-based reaction wastes (sludges);5;3.1
2010;EAV-100109-G; sulfuric acid;3;0.0
2010;EAV-100113-G; Filter dust from emulsified hydrocarbons;-;-
2010;EAV-100114-G; Bottom ash and boiler ash, slag, boiler dust;11;28.9
2010;EAV-100115-U; rust and Boiler ash, slag, boiler st.(oh.100114);30;332.8
2010;EAV-100116-G; fly ash from co-incineration;11;19,7
2010;EAV-100117-U; fly ash from waste co-incineration (oh.100116);26;863.2
2010;EAV-100118-G; Waste from flue gas treatment with haz. St.;22;7.5
2010;EAV-100119-U; waste a. Exhaust gas treatment (oh.100105,100107,100118);18;13.6
2010;EAV-100120-G; Power plants, etc.: sludge (own waste water treatment); 6; 1.4
2010;EAV-100121-U; sludge a. operational wastewater treatment (oh.100120);10;4.6
2010;EAV-100122-G; Power plants, etc.: Aqueous sludge a. Boiler cleaning.;-;-
2010;EAV-100123-U; Aqueous sludge from boiler cleaning (oh.100122);8;0.5
2010;EAV-100124-U; Power plants, etc.: sands from fluidized bed combustion;-;-
2010;EAV-100125-U; Waste from fuel storage and preparation;3;4,8
2010;EAV-100126-U; Waste from cooling water treatment;-;-
2010;EAV-100199-U; Power plants and other incinerators: waste not otherwise specified; 4; 0.0
2010;EAV-100201-U; Iron, steel ind.: waste from slag processing;14;514.7
2010;EAV-100202-U; Iron, steel ind.: unprocessed slag;73;1851.9
2010;EAV-100207-G; Iron,steel ind.: solid waste from flue gas treatment;56;345.1
2010;EAV-100208-U; Waste from flue gas treatment (excl. 100207);33;425.3
2010;EAV-100210-U; Iron, steel ind.: mill scale;81;483.8
2010;EAV-100211-G; Iron, steel ind.: oil hold. Waste from cooling water tank;8;3.2
2010;EAV-100212-U; Waste from cooling water treatment (without 100211);-;-
2010;EAV-100213-G; Iron, steel ind.: sludge, filter c. from exhaust gas tank;8;63.3
2010;EAV-100214-U; Sludges and filter cakes from exhaust gas treatment. (oh.100213);6;159.8
2010;EAV-100215-U; Iron,steel ind.: Other sludges and filter cakes;17;593.1
2010;EAV-100299-U; Iron and steel industry: waste not otherwise specified;23;66.0
2010;EAV-100302-U; Aluminum metallurgy: anode scrap;5;0.6
2010;EAV-100304-G; Aluminum metallurgy: slags from initial melting;-;-
2010;EAV-100305-U; Aluminum metallurgy: alumina waste;12;11.3
2010;EAV-100308-G; Aluminum metallurgy: salt slags from secondary melting; 7; 194.3
2010;EAV-100309-G; Aluminum Metallurgy: Black dross a.Zzweisch.;3;1.5
2010;EAV-100315-G; Aluminum metallurgy: scum (flammable);35;17.9
2010;EAV-100316-U; Scum (without 100315);38;58.5
2010;EAV-100317-G; Aluminum metallurgy:tar h. Waste from anode manufacture;-;-
2010;EAV-100318-U; Waste from anode production (excluding 100317);-;-
2010;EAV-100319-G; Aluminum metallurgy: Filter dust m.h.hazard.St.;10;3.8
2010;EAV-100320-U; Filter dust (without 100319);3;0.0
2010;EAV-100321-G; Aluminum metallurgy: other particles and dust;7;1,2
2010;EAV-100322-U; Other particles and dust (excluding 100321);8;3.3
2010;EAV-100323-G; Aluminum metallurgy: Solid waste a. Exhaust gas treatment;19;10.6
2010;EAV-100324-U; Solid waste from flue gas treatment (excluding 100323);-;-
2010;EAV-100325-G; Aluminum metallurgy: sludge, filter k.a. exhaust gas treatment; 5; 0.2
2010;EAV-100326-U; Sludges and filter cakes from exhaust gas treatment. (oh.100325);-;-
2010;EAV-100327-G; Aluminum Metallurgy: Oil H.Abf. from cooling water tank;-;-
2010;EAV-100328-U; Waste from cooling water treatment (without 100327);-;-
2010;EAV-100329-G; Aluminum metallurgy: Abf.a. tank v.salt slag;-;-
2010;EAV-100330-U; Waste from treatment of salt slags (oh.100329);-;-
2010;EAV-100399-U; Aluminum metallurgy: wastes not otherwise specified;11;1.1
2010;EAV-100401-G; Lead metallurgy: slags (primary, secondary smelting);3;66.9
2010;EAV-100402-G; Lead Metal.: Scabies,Scum (First,Second.);57;4.5
2010;EAV-100403-G; Lead Metallurgy: Calcium Arsenate;-;-
2010;EAV-100404-G; Lead metallurgy: filter dust;3;0.9
2010;EAV-100405-G; Lead metallurgy: other particles and dust;10;1,1
2010;EAV-100406-G; Lead metallurgy: Solid waste from flue gas treatment;3;0.4
2010;EAV-100407-G; Lead Metallurgy: Slurries, Filterk. from flue gas treatment;-;-
2010;EAV-100409-G; Lead Metallurgy: Oilh. Waste from cooling water tank.;-;-
2010;EAV-100410-U; Waste from cooling water treatment (without 100409);-;-
2010;EAV-100499-U; Lead metallurgy: wastes n.e.c.;3;0.1
2010;EAV-100501-U; Zinc metallurgy: slags (primary, secondary smelting);5;2.0
2010;EAV-100503-G; Zinc metallurgy: filter dust;5;0.2
2010;EAV-100504-U; Zinc Metallurgy: Other particles and dust;13;2.1
2010;EAV-100505-G; Zinc metallurgy: Solid waste from flue gas treatment;6;0.1
2010;EAV-100506-G; Zinc metallurgy: sludges, filter c. from flue gas treatment;-;-
2010;EAV-100508-G; Zinc metallurgy: Ölh. Waste from cooling water tank.;-;-
2010;EAV-100509-U; Waste from cooling water treatment (without 100508);-;-
