GENESIS-Tabelle: 32121-0001
Aufkommen an Haushaltsabfällen: Deutschland, Jahre,;;;;;
Abfallarten;;;;;
Erhebung der öffentlich-rechtl. Abfallentsorgung;;;;;
Deutschland insgesamt: Deutschland;;;;;
;;Aufkommen an Haushaltsabfällen;Aufkommen an Haushaltsabfällen je Einwohner;Beim Erstempfänger beseitigte Haushaltsabfälle;Beim Erstempfänger verwertete Haushaltsabfälle
2013;Haus- und Sperrmüll;15465,4;191;9253,7;6211,7
2013;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13118,2;162;8112,9;5005,4
2013;  Sperrmüll;2347,2;29;1140,8;1206,4
2013;Getrennt erfasste organische Abfälle;9056,4;112;10,0;9046,4
2013;  Abfälle aus der Biotonne;4292,0;53;0,0;4292,0
2013;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4764,4;59;10,0;4754,4
2013;Getrennt erfasste Wertstoffe;11950,8;148;378,4;11572,4
2013;  Glas;1908,4;24;0,4;1908,0
2013;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2619,1;32;332,3;2286,8
2013;  Papier, Pappe, Karton (PPK);5793,4;72;9,9;5783,5
2013;  Metalle;261,0;3;0,0;261,0
2013;  Holz;1156,6;14;19,2;1137,4
2013;  Kunststoffe;99,6;1;16,3;83,3
2013;  Textilien;112,7;1;0,3;112,4
2013;Elektroaltgeräte;.;.;.;.
2013;Sonstige Abfälle;151,3;2;55,2;96,1
2013;  Sonstige gefährliche Abfälle;48,0;1;27,7;20,3
2013;  Sonstige nicht gefährliche Abfälle;103,3;1;27,5;75,7
2013;Insgesamt;36623,9;453;9697,3;26926,6
2014;Haus- und Sperrmüll;15518,1;191;7851,6;7666,4
2014;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13170,6;162;6810,2;6360,4
2014;  Sperrmüll;2347,5;29;1041,4;1306,0
2014;Getrennt erfasste organische Abfälle;9831,5;121;14,1;9817,3
2014;  Abfälle aus der Biotonne;4602,9;57;1,2;4601,7
2014;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);5228,6;64;12,9;5215,7
2014;Getrennt erfasste Wertstoffe;12045,5;148;362,1;11683,5
2014;  Glas;1877,9;23;0,7;1877,1
2014;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2649,3;33;314,6;2334,6
2014;  Papier, Pappe, Karton (PPK);5809,0;72;1,7;5807,3
2014;  Metalle;261,4;3;0;261,4
2014;  Holz;1222,6;15;24,8;1197,8
2014;  Kunststoffe;101,7;1;19,8;81,9
2014;  Textilien;123,7;2;0,4;123,3
2014;Elektroaltgeräte;.;.;.;.
2014;Sonstige Abfälle;158,8;2;52,0;106,8
2014;  Sonstige gefährliche Abfälle;51,6;1;26,9;24,7
2014;  Sonstige nicht gefährliche Abfälle;107,2;1;25,1;82,1
2014;Insgesamt;37553,9;462;8279,8;29274,1
2015;Haus- und Sperrmüll;15461,8;188;7816,7;7645,1
2015;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13123,9;160;6786,8;6337,0
2015;  Sperrmüll;2338,0;28;1029,9;1308,1
2015;Getrennt erfasste organische Abfälle;9665,8;118;13,3;9652,5
2015;  Abfälle aus der Biotonne;4569,3;56;0,1;4569,2
2015;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);5096,5;62;13,2;5083,3
2015;Getrennt erfasste Wertstoffe;12089,7;147;378,8;11710,8
2015;  Glas;1883,4;23;1,3;1882,1
2015;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2687,0;33;317,6;2369,4
2015;  Papier, Pappe, Karton (PPK);5725,3;70;1,2;5724,1
2015;  Metalle;272,5;3;0,0;272,5
2015;  Holz;1263,3;15;33,5;1229,8
2015;  Kunststoffe;118,7;1;24,8;94,0
2015;  Textilien;139,5;2;0,5;139,0
2015;Elektroaltgeräte;.;.;.;.
2015;Sonstige Abfälle;158,4;2;54,6;103,8
2015;  Sonstige gefährliche Abfälle;53,0;1;26,5;26,5
2015;  Sonstige nicht gefährliche Abfälle;105,4;1;28,0;77,4
2015;Insgesamt;37375,7;455;8263,4;29112,3
2016;Haus- und Sperrmüll;15539,7;188;6449,4;9090,3
2016;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13137,4;159;5515,4;7622,0
2016;  Sperrmüll;2402,3;29;934,0;1468,3
2016;Getrennt erfasste organische Abfälle;10183,4;123;16,1;10167,3
2016;  Abfälle aus der Biotonne;4828,7;59;0,4;4828,3
2016;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);5354,7;65;15,7;5339,0
2016;Getrennt erfasste Wertstoffe;12211,6;148;406,6;11805,0
2016;  Glas;1879,2;23;1,6;1877,5
2016;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2754,3;33;345,6;2408,7
2016;  Papier, Pappe, Karton (PPK);5710,9;69;1,3;5709,7
2016;  Metalle;302,5;4;0,0;302,5
2016;  Holz;1299,2;16;30,9;1268,3
2016;  Kunststoffe;123,8;2;26,6;97,2
2016;  Textilien;141,7;2;0,5;141,1
2016;Elektroaltgeräte;.;.;.;.
2016;Sonstige Abfälle;168,4;2;50,3;118,1
2016;  Sonstige gefährliche Abfälle;58,1;1;25,9;32,2
2016;  Sonstige nicht gefährliche Abfälle;110,3;1;24,4;86,0
2016;Insgesamt;38103,1;462;6922,4;31180,7
2017;Haus- und Sperrmüll;15558,6;188;2602,8;12955,8
2017;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13092,6;158;2293,5;10799,1
2017;  Sperrmüll;2466,0;30;309,3;2156,7
2017;Getrennt erfasste organische Abfälle;10318,0;125;0,2;10317,8
2017;  Abfälle aus der Biotonne;4903,5;59;0,1;4903,4
2017;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);5414,5;65;0,1;5414,4
2017;Getrennt erfasste Wertstoffe;12235,6;148;6,3;12229,2
2017;  Glas;1887,4;23;2,2;1885,2
2017;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2753,2;33;2,5;2750,7
2017;  Papier, Pappe, Karton (PPK);5675,6;69;0,0;5675,6
2017;  Metalle;314,6;4;0,0;314,6
2017;  Holz;1302,5;16;1,6;1300,9
2017;  Kunststoffe;133,8;2;0,1;133,7
2017;  Textilien;168,5;2;0,0;168,5
2017;Elektroaltgeräte;.;.;.;.
2017;Sonstige Abfälle;161,6;2;32,1;129,5
2017;  Sonstige gefährliche Abfälle;62,1;1;24,9;37,2
2017;  Sonstige nicht gefährliche Abfälle;99,5;1;7,3;92,2
2017;Insgesamt;38273,7;462;2641,4;35632,3
2018;Haus- und Sperrmüll;15551,2;187;2551,9;12999,3
2018;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13011,9;157;2239,9;10772,0
2018;  Sperrmüll;2539,3;31;312,0;2227,3
2018;Getrennt erfasste organische Abfälle;9930,9;120;-;9930,9
2018;  Abfälle aus der Biotonne;4811,9;58;-;4811,9
2018;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);5119,1;62;-;5119,1
2018;Getrennt erfasste Wertstoffe;12099,1;146;7,4;12091,7
2018;  Glas;1876,7;23;2,1;1874,6
2018;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2753,8;33;0,3;2753,5
2018;  Papier, Pappe, Karton (PPK);5581,7;67;3,4;5578,3
2018;  Metalle;318,4;4;-;318,4
2018;  Holz;1300,5;16;1,6;1298,9
2018;  Kunststoffe;111,2;1;0,1;111,1
2018;  Textilien;156,7;2;0,0;156,7
2018;Elektroaltgeräte;.;.;.;.
2018;Sonstige Abfälle;178,1;2;35,9;142,2
2018;  Sonstige gefährliche Abfälle;71,1;1;25,5;45,6
2018;  Sonstige nicht gefährliche Abfälle;107,0;1;10,4;96,5
2018;Insgesamt;37759,3;455;2595,2;35164,1
2019;Haus- und Sperrmüll;15551,0;187;2476,7;13074,4
2019;  Hausmüll, hausmüllähnliche Gewerbeabfälle;12943,2;156;2156,6;10786,6
2019;  Sperrmüll;2607,8;31;320,1;2287,8
2019;Getrennt erfasste organische Abfälle;10168,4;122;0,4;10168,1
2019;  Abfälle aus der Biotonne;4974,0;60;-;4974,0
2019;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);5194,4;62;0,4;5194,1
2019;Getrennt erfasste Wertstoffe;12135,3;146;2,8;12132,5
2019;  Glas;1901,6;23;1,0;1900,6
2019;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2779,3;33;1,1;2778,2
2019;  Papier, Pappe, Karton (PPK);5501,7;66;0,0;5501,7
2019;  Metalle;325,6;4;0,0;325,6
2019;  Holz;1371,6;16;0,7;1370,8
2019;  Kunststoffe;100,2;1;0,0;100,2
2019;  Textilien;155,2;2;0,0;155,2
2019;Elektroaltgeräte;.;.;.;.
2019;Sonstige Abfälle;186,2;2;36,2;150,0
2019;  Sonstige gefährliche Abfälle;78,2;1;25,4;52,8
2019;  Sonstige nicht gefährliche Abfälle;108,1;1;10,8;97,2
2019;Insgesamt;38041,0;457;2516,0;35525,0
2020;Haus- und Sperrmüll;16135,8;194;734,3;15401,5
2020;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13290,5;160;635,7;12654,8
2020;  Sperrmüll;2845,2;34;98,5;2746,7
2020;Getrennt erfasste organische Abfälle;10634,2;128;0,5;10633,7
2020;  Abfälle aus der Biotonne;5300,6;64;0,0;5300,6
2020;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);5333,6;64;0,5;5333,1
2020;Getrennt erfasste Wertstoffe;12633,6;152;1,3;12632,2
2020;  Glas;2063,4;25;0,7;2062,7
2020;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2932,3;35;0,5;2931,8
2020;  Papier, Pappe, Karton (PPK);5511,9;66;-;5511,9
2020;  Metalle;440,9;5;-;440,9
2020;  Holz;1391,6;17;0,0;1391,6
2020;  Kunststoffe;106,5;1;0,1;106,4
2020;  Textilien;187,0;2;0,0;187,0
2020;Elektroaltgeräte;.;.;.;.
2020;Sonstige Abfälle;204,0;2;33,6;170,5
2020;  Sonstige gefährliche Abfälle;86,3;1;23,3;63,0
2020;  Sonstige nicht gefährliche Abfälle;117,7;1;10,3;107,5
2020;Insgesamt;39607,6;476;769,7;38837,9
2021;Haus- und Sperrmüll;16343,4;196;671,9;15671,6
2021;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13253,0;159;585,9;12667,2
2021;  Sperrmüll;3090,4;37;86,0;3004,4
2021;Getrennt erfasste organische Abfälle;11170,4;134;0,4;11170,0
2021;  Abfälle aus der Biotonne;5592,9;67;-;5592,9
2021;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);5577,5;67;0,4;5577,1
2021;Getrennt erfasste Wertstoffe;12467,4;150;2,6;12464,8
2021;  Glas;2035,9;24;0,6;2035,3
2021;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2917,1;35;0,8;2916,2
2021;  Papier, Pappe, Karton (PPK);5427,5;65;0,8;5426,6
2021;  Metalle;417,0;5;0,1;416,9
2021;  Holz;1360,0;16;-;1360,0
2021;  Kunststoffe;133,8;2;0,2;133,6
2021;  Textilien;176,2;2;0,0;176,2
2021;Elektroaltgeräte;.;.;.;.
2021;Sonstige Abfälle;274,8;3;101,1;173,7
2021;  Sonstige gefährliche Abfälle;84,0;1;23,7;60,3
2021;  Sonstige nicht gefährliche Abfälle;190,9;2;77,4;113,4
2021;Insgesamt;40256,1;484;776,0;39480,1
__________
"Aufkommen an Haushaltsabfällen:
Aufgrund der regional unterschiedlichen Organisation der
öffentlich-rechtlichen Abfallentsorgung enthalten die
Haushaltsabfälle in unterschiedlichem Maße hausmüllähnliche
Gewerbeabfälle (sogenannten Geschäftsmüll).

Aufkommen an Haushaltsabfällen je Einwohner:
Berechnet jeweils mit dem Bevölkerungsstand zum 31.12.,
ab Berichtsjahr 2011 auf Grundlage des Zensus 2011.

Elektroaltgeräte:
Mengen der Elektroaltgeräte sind nur in den Jahren 2004 und
2005 enthalten."
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 20:31:32
