year,data_belong_to,eav_code,types_of_waste,etroi_establishments_number,generated_waste_quantity
2010,Germany as a whole,EAV-020302-U, Fruit and others: Cases of preservation substances,,
2010,Germany as a whole,EAV-020303-U, Fruit ao: Fallen from Extraction with Solvents,6,1.0
2010,Germany as a whole,EAV-020304-U, Fruit and others: For food/vegetable. eaten stuff,346,321.0
2010,Germany as a whole,EAV-020305-U, Fruit etc.: sludge (in-house waste water treatment),63,129.7
2010,Germany as a whole,EAV-020399-U, Processing of fruits vegetables etc.,41,83.1
2010,Germany as a whole,EAV-020401-U, Sugar production: beetroot,16,1274.8
2010,Germany as a whole,EAV-020402-U, Sugar manufacture: Not spec. calcium carbonate sludge,4,204.1
2010,Germany as a whole,EAV-020403-U, Sugar production: sludge (own waste water treatment),,
2010,Germany as a whole,EAV-020499-U, Sugar production: Waste nec,,
2010,Germany as a whole,EAV-020501-U, Milk processing: For processing/processing. unsuitable tax,79,47.4
2010,Germany as a whole,EAV-020502-U, Milk processing: sludge (in-house waste water treatment),35,86.9
2010,Germany as a whole,EAV-020599-U, Milk processing: waste angle,6,0.4
2010,Germany as a whole,EAV-020601-U,Bakery Sweetware: For vegetables/vegetables. unsuitable. St.,231,141.4
2010,Germany as a whole,EAV-020602-U, BakerySweetware: Cases of preservation substances,,
2010,Germany as a whole,EAV-020603-U, Bakery sweetware: shambles (own waste water treatment),66,27.9
2010,Germany as a whole,EAV-020699-U, Manufacturing of Bake- and Sweetware: Waste nec,45,21.2
2010,Germany as a whole,EAV-020701-U, Drinks: Drops from the washer cleaning and,39,58.7
2010,Germany as a whole,EAV-020702-U, Drinks: Drops from the alcohol distillation,9,189.9
2010,Germany as a whole,EAV-020703-U, Beverages: Waste from the chemical treatment,,
2010,Germany as a whole,EAV-020704-U, Drinks: For vegetables/vegetables. uneaten stuff,63,590.0
2010,Germany as a whole,EAV-020705-U, Drinks: muds,44,59.6
2010,Germany as a whole,EAV-020799-U, Manufacturing of beverages: waste nec,32,503.2
2010,Germany as a whole,EAV-03,Waste from woodworking etc,,
2010,Germany as a whole,EAV-030101-U, Woodworking ao: bark and cork case,44,678.9
2010,Germany as a whole,EAV-030104-G, Sawdust shavings cuttings wood chipboard,57,22.3
2010,Germany as a whole,EAV-030105-U, Sawdust shavings trimmings wood chipboard. (oh.030104),856,2896.0
2010,Germany as a whole,EAV-030199-U,Wood processing and others: Fall off angle,40,8.5
2010,Germany as a whole,EAV-030201-G, Halogen-free organic wood protection products,4,0.9
2010,Germany as a whole,EAV-030202-G, Chloroorganic wood protection substances,,
2010,Germany as a whole,EAV-030203-G, metal-organic wood protection materials,,
2010,Germany as a whole,EAV-030204-G, Inorganic wood protection materials,,
2010,Germany as a whole,EAV-030205-G, Other wood protection products containing hazardous substances,6,0.0
2010,Germany as a whole,EAV-030299-U, wood protection materials,5,0.0
2010,Germany as a whole,EAV-030301-U, Paper production among other things: bark and wood sawmills,39,291.0
2010,Germany as a whole,EAV-030302-U, Sulphite lamb (from recovery of coal gas),,
2010,Germany as a whole,EAV-030305-U, Deinking slasses from paper recycling,13,1027.7
2010,Germany as a whole,EAV-030307-U, Mechanically separated paper cuts,110,792.3
2010,Germany as a whole,EAV-030308-U, Errors from Sorting v. Paper for recycling,349,748.5
2010,Germany as a whole,EAV-030309-U, Limestone Falls,9,13.6
2010,Germany as a whole,EAV-030310-U, Fiberballs fiber filler and overlay mud,135,1785.9
2010,Germany as a whole,EAV-030311-U, mud a. plant.wastewater treatment(oh.030310),39,164.4
2010,Germany as a whole,EAV-030399-U,Paper production among other things: waste etc,38,798.2
2010,Germany as a whole,EAV-04,Scraps from the Leather Fur and Textile Industry,,
2010,Germany as a whole,EAV-040101-U, Flesh shavings and hot spots,3,0.0
2010,Germany as a whole,EAV-040102-U, Cremated glued leather,6,20.2
2010,Germany as a whole,EAV-040103-G, Degreasing waste solvent-free non-liquid phase,,
2010,Germany as a whole,EAV-040104-U, chrome-containing Gerbera broth,,
2010,Germany as a whole,EAV-040105-U, Chromium-free tannery broth,,
2010,Germany as a whole,EAV-040106-U, Chromium-containing slimes,11,20.3
2010,Germany as a whole,EAV-040107-U, Chromium-free sludges,,
2010,Germany as a whole,EAV-040108-U, Chrome-containing cases made of aged leather,38,6.2
2010,Germany as a whole,EAV-040109-U, Errors from the alignment and the finish,15,0.3
2010,Germany as a whole,EAV-040199-U, Leather and leather industry: Waste etc,14,1.7
2010,Germany as a whole,EAV-040209-U, Cases from composite materials (elastomer etc.),107,41.6
2010,Germany as a whole,EAV-040210-U, Organic substances from natural substances (e.g. fats),10,3.8
2010,Germany as a whole,EAV-040214-G, Drops from the finish with organ. Solvent,7,0.0
2010,Germany as a whole,EAV-040215-U, Failures from the Finish (OH 040214),11,0.6
2010,Germany as a whole,EAV-040216-G,Dyes and pigments with hazardous substances,4,0.0
2010,Germany as a whole,EAV-040217-U, Dyes and Pigments (oh 040216),10,0.5
2010,Germany as a whole,EAV-040219-G, Textile industry: sludge (own waste water treatment),5,0.0
2010,Germany as a whole,EAV-040220-U, sludge from on-site Sewage treatment (oh.040219),25,2.2
2010,Germany as a whole,EAV-040221-U, Drops from untreated textile fibers,63,13.1
2010,Germany as a whole,EAV-040222-U, Drops from processed textile fibers,298,42.9
2010,Germany as a whole,EAV-040299-U, Textile Industry: Waste Ang,26,2.2
2010,Germany as a whole,EAV-05,Drains from the oil refining earth gas purification,,
2010,Germany as a whole,EAV-050102-G, Soil Refinement: desalination sludges,,
2010,Germany as a whole,EAV-050103-G, Soil Refinement: Soil Sludges from Tanks,56,13.5
2010,Germany as a whole,EAV-050104-G, Soil Refinement: Acid alkyl sludge,,
2010,Germany as a whole,EAV-050105-G, Oil Refinement: Spilled Oil,,
2010,Germany as a whole,EAV-050106-G, Oil Refinement: Oil Halt.Schlämme a.Betriebsvorg.,41,13.3
2010,Germany as a whole,EAV-050107-G, Soil Refining: Acid tars,,
2010,Germany as a whole,EAV-050108-G, Oil Refining: Other Tars,6,0.2
2010,Germany as a whole,EAV-050109-G,Petroleum refinery: sludge (in-house waste water treatment),11,4.7
2010,Germany as a whole,EAV-050110-U, mud a. businesssign. Sewage treatment (oh.050109),5,4.4
2010,Germany as a whole,EAV-050111-G, Petroleum refinery: Abf. from Brennstrein. with bases,,
2010,Germany as a whole,EAV-050112-G, Oil Refining: Acid-Containing Oils,,
2010,Germany as a whole,EAV-050113-U, Ölraff.: Sludges from boilers made of boiling water.,,
2010,Germany as a whole,EAV-050114-U, Oil Refining: Drops from Cold Columns,,
2010,Germany as a whole,EAV-050115-G, Soil Refining: Used filter tone,17,0.6
2010,Germany as a whole,EAV-050116-U, Petroleum refining: sulfur h. Falls from oil spills,8,0.3
2010,Germany as a whole,EAV-050117-U, Earth Refinement: Bitumen,,
2010,Germany as a whole,EAV-050199-U, Earth Refining: Fall off Ang,,
2010,Germany as a whole,EAV-050601-G, Coal pyrolysis: acid tars,,
2010,Germany as a whole,EAV-050603-G, Coal Pyrolysis: Other Tars,37,7.3
2010,Germany as a whole,EAV-050604-U, Coal pyrolysis: Drops from cold columns,,
2010,Germany as a whole,EAV-050699-U, Coal pyrolysis: Waste nec,3,0.0
2010,Germany as a whole,EAV-050701-G, Natural gas cleaning transport: mercury h. waste,,
2010,Germany as a whole,EAV-050702-U,Natural gas cleaning transport:Sulphurous waste,9,0.6
2010,Germany as a whole,EAV-050799-U, Earth gas cleaning transport: waste not otherwise specified,,
2010,Germany as a whole,EAV-06,Drops from inorganic-chemical processes,,
2010,Germany as a whole,EAV-060101-G, Sulfur Acid and Sulfur Acid,194,113.5
2010,Germany as a whole,EAV-060102-G, salt acid,51,13.5
2010,Germany as a whole,EAV-060103-G, flux acid,9,0.2
2010,Germany as a whole,EAV-060104-G, Phosphorous acid and phosphoric acid,30,0.5
2010,Germany as a whole,EAV-060105-G, saltpeter acid and saltpeter acid,35,1.5
2010,Germany as a whole,EAV-060106-G, other acids,588,10.1
2010,Germany as a whole,EAV-060199-U, Acid: Waste nec,17,0.1
2010,Germany as a whole,EAV-060201-G, calcium hydroxide,13,0.6
2010,Germany as a whole,EAV-060203-G, ammonium hydroxide,33,6.7
2010,Germany as a whole,EAV-060204-G, Sodium and Potassium Hydroxides,65,9.1
2010,Germany as a whole,EAV-060205-G, Other basins,505,13.3
2010,Germany as a whole,EAV-060299-U, Bases: waste nec,16,2.3
2010,Germany as a whole,EAV-060311-G, Solid salts and solutions containing cyanide,21,0.7
2010,Germany as a whole,EAV-060313-G, Solid salts and solutions containing heavy metals,115,6.4
2010,Germany as a whole,EAV-060314-U, Feast Salts and Solutions (such as 060311 and 060313),233,157.0
2010,Germany as a whole,EAV-060315-G,Metal oxides which contain heavy metals,21,7.2
2010,Germany as a whole,EAV-060316-U, Metal oxides (OH 060315),49,37.5
2010,Germany as a whole,EAV-060399-U, Salts salt solutions metal oxides: waste not otherwise specified,7,0.2
2010,Germany as a whole,EAV-060403-G, arsenic-containing waste,11,0.6
2010,Germany as a whole,EAV-060404-G, Quicksilver-containing falls,579,4.9
2010,Germany as a whole,EAV-060405-G, Ores that contain other heavy metals,76,43.0
2010,Germany as a whole,EAV-060499-U, metal containing deposits,5,0.1
2010,Germany as a whole,EAV-060502-G, sluices from the company's own water treatment,69,48.6
2010,Germany as a whole,EAV-060503-U, sludge from on-site Waste water tank (oh.060502),135,103.2
2010,Germany as a whole,EAV-060602-G, Wastes that contain dangerous sulfides,6,0.2
2010,Germany as a whole,EAV-060603-U, Sulphide-containing falls (without 060602),4,0.5
2010,Germany as a whole,EAV-060699-U, Sulfur containing chemicals: Waste nec,,
2010,Germany as a whole,EAV-060701-G, Asbestos containing wastes from electrolysis,,
2010,Germany as a whole,EAV-060702-G, Activated charcoal from Chlorhersthaling,3,0.1
2010,Germany as a whole,EAV-060703-G, Quicksilver containing barium sulphate slags,,
2010,Germany as a whole,EAV-060704-G,Solutions and acids eg contact acid,3,0.6
2010,Germany as a whole,EAV-060799-U, Halogen: waste nec,5,0.1
2010,Germany as a whole,EAV-060802-G, Wastes containing hazardous chlorethane,3,2.3
2010,Germany as a whole,EAV-060899-U, silicon,19,18.2
2010,Germany as a whole,EAV-060902-U, Phosphorous slag,,
2010,Germany as a whole,EAV-060903-G, Calcium-based reactions,,
2010,Germany as a whole,EAV-060904-U, Reactions on Calcium Base (oh 060903),,
2010,Germany as a whole,EAV-060999-U, Phosphorous Chemicals: Wastes and,,
2010,Germany as a whole,EAV-061002-G, Stickföth.Chemik.: Waste with gäfärl. fabrics,6,0.4
2010,Germany as a whole,EAV-061099-U, Nitrogen-containing Chemicals: Wastes,,
2010,Germany as a whole,EAV-061101-U, Reactions on calcium basis a. Titanium dioxide.,,
2010,Germany as a whole,EAV-061199-U, Inorganic pigments color donors: waste not otherwise specified,4,1.5
2010,Germany as a whole,EAV-061301-G, Inorganic plant protection products wood protection products,12,0.1
2010,Germany as a whole,EAV-061302-G, Used activated carbon (without 060702),133,2.0
2010,Germany as a whole,EAV-061303-U, IndustryRussian,36,3.8
2010,Germany as a whole,EAV-061304-G, Waste from the asbestos processing,4,0.0
2010,Germany as a whole,EAV-061305-G, Oven and chimney soot,,
2010,Germany as a whole,EAV-061399-U,Inorganic Chemical Processes,,
2010,Germany as a whole,EAV-07,Fallen from organic chemical processes,,
2010,Germany as a whole,EAV-070101-G, Org.Basic chemistry: Aqueous washing liquid mother liquors,179,34.4
2010,Germany as a whole,EAV-070103-G, Organic basic chemistry: halogen organic solvents washing fl.,280,48.8
2010,Germany as a whole,EAV-070104-G, Org.Basic Chemistry:Losemitels washing fluids,1003,145.0
2010,Germany as a whole,EAV-070107-G, Org.basic chemistry: halogen reaction distillation residue.,43,56.6
2010,Germany as a whole,EAV-070108-G, Org. Basic Chemistry: reaction and distillation residues.,139,101.9
2010,Germany as a whole,EAV-070109-G, Org.Basic chemistry: Halog.filter cake absorbent mat.,19,0.5
2010,Germany as a whole,EAV-070110-G, Org.Basic Chemistry: And. Filter cake absorbent mat.,42,4.1
2010,Germany as a whole,EAV-070111-G, Org. basic chemistry: sludge (company waste water tank),40,8.7
2010,Germany as a whole,EAV-070112-U, Sludge from company-owned Waste water tank (oh.070111),15,4.1
2010,Germany as a whole,EAV-070199-U, Organic Basic Chemicals: Waste nec,27,3.9
2010,Germany as a whole,EAV-070201-G, Plastics: Aqueous detergents mother liquors,63,128.6
2010,Germany as a whole,EAV-070203-G, Plastic: halogen organic solvent washing liquid.,50,3.0
2010,Germany as a whole,EAV-070204-G,Plastic: organic. Solvents detergents,168,36.2
2010,Germany as a whole,EAV-070207-G, Plastic: halogen. Reaction Distill.Residues,43,6.3
2010,Germany as a whole,EAV-070208-G, Plastics: Reaction distillation reciprocating stands,791,131.0
2010,Germany as a whole,EAV-070209-G, Plastic: Halogen. Filter cake absorbent mat.,10,0.2
2010,Germany as a whole,EAV-070210-G, Plastics: And. Filter cakes suction materials,44,4.8
2010,Germany as a whole,EAV-070211-G, Plastic:Slammers(own waste water treatment),20,1.3
2010,Germany as a whole,EAV-070212-U, sludge from on-site Waste water tank (oh.070211),41,21.8
2010,Germany as a whole,EAV-070213-U, plastic bags,1299,327.9
2010,Germany as a whole,EAV-070214-G, Plastics: Waste from additives with dangerous St.,62,2.8
2010,Germany as a whole,EAV-070215-U, Cases of additives (without 070214),33,2.4
2010,Germany as a whole,EAV-070216-G, Plastic: Dangerous. Cases containing silicone,7,0.7
2010,Germany as a whole,EAV-070217-U, Silicon-containing waste (without 070216),18,0.6
2010,Germany as a whole,EAV-070299-U, Plastic fiber synthetic rubber: fall off,239,164.7
2010,Germany as a whole,EAV-070301-G, Organic dyes: Aqueous wash bottles mother liquors,33,3.0
2010,Germany as a whole,EAV-070303-G, Organic dyes: halogen org. Solvents detergents,31,0.2
2010,Germany as a whole,EAV-070304-G, Org.Dyes:SolventWashfleddaen,418,47.7
2010,Germany as a whole,EAV-070307-G, Organic dyes: halogen. Reaction distill.reset.,8,1.1
2010,Germany as a whole,EAV-070308-G, Organic dyes: reaction and distillation residues,22,4.0
2010,Germany as a whole,EAV-070309-G, Organic dyes: Halog. Filter cake absorbent mat.,4,0.2
2010,Germany as a whole,EAV-070310-G, Organic dyes: other filter cakes absorption mat.,11,1.2
2010,Germany as a whole,EAV-070311-G, Organic dyes: sludge (own waste water treatment),3,0.2
2010,Germany as a whole,EAV-070312-U, Sludge from company-owned Waste water tank (oh.070311),12,1.8
2010,Germany as a whole,EAV-070399-U, Organic Dyes Pigments:,,
2010,Germany as a whole,EAV-070401-G, Pesticides: Aqueous wash mother liquor.,14,17.5
2010,Germany as a whole,EAV-070403-G, Plant protection agent.: halogen organic solvents washing fl.,10,52.1
2010,Germany as a whole,EAV-070404-G, Plant protection materials: Organ. Solvents detergents,19,30.7
2010,Germany as a whole,EAV-070407-G, Plant protection agents: halogen.reactiondistill.reset,8,21.7
2010,Germany as a whole,EAV-070408-G, Pesticides: reaction distillation residue,7,5.1
2010,Germany as a whole,EAV-070409-G,Plant protection products: halogen filter cake absorbent mat,5,0.2
2010,Germany as a whole,EAV-070410-G, Plant protection materials: filter cake absorbent mat.,8,0.5
2010,Germany as a whole,EAV-070411-G, Plant protection: sludge (company wastewater tank),3,0.2
2010,Germany as a whole,EAV-070412-U, Sludge from company-owned Waste water tank (oh.070411),,
2010,Germany as a whole,EAV-070413-G, Plant protection products: Solid waste with hazardous substances,7,0.9
2010,Germany as a whole,EAV-070499-U, Plant protection products such as:,,
2010,Germany as a whole,EAV-070501-G, Pharmaceuticals: Aqueous detergents mother liquors,44,62.7
2010,Germany as a whole,EAV-070503-G, Pharmaceuticals: halogen organic solvents washing fl.,59,34.6
2010,Germany as a whole,EAV-070504-G, Pharmaceuticals: organ. detergent detergent.,91,76.2
2010,Germany as a whole,EAV-070507-G, Pharmaceuticals: halogen reaction distillation residue.,11,2.4
2010,Germany as a whole,EAV-070508-G, Pharmaceuticals: Reactions- Distillation-Remains,42,4.2
2010,Germany as a whole,EAV-070509-G, Pharmaceuticals: halogen filter cake absorbent mat.,6,0.4
2010,Germany as a whole,EAV-070510-G, Pharmaceuticals: filter cakes augmentation materials,21,1.6
2010,Germany as a whole,EAV-070511-G,Pharmaceuticals: sludge (in-house waste water treatment),5,0.2
2010,Germany as a whole,EAV-070512-U, sludge from on-site Sewage treatment (oh.070511),11,3.6
2010,Germany as a whole,EAV-070513-G, Pharmaceuticals: Festivities with danger. fabrics,30,1.3
2010,Germany as a whole,EAV-070514-U, Fixed Falls (without 070513),41,16.1
2010,Germany as a whole,EAV-070599-U, Pharmaceuticals: waste not otherwise specified,74,14.9
2010,Germany as a whole,EAV-070601-G, Fats soaps: Aqueous washing bottles mother liquors,133,42.5
2010,Germany as a whole,EAV-070603-G, Fats soaps: halogen organic solvents washing fl.,51,0.3
2010,Germany as a whole,EAV-070604-G, Fats soaps: organ. detergent detergent.,199,9.9
2010,Germany as a whole,EAV-070607-G, Fats soaps: Halogen.reaction distill.residue.,3,0.4
2010,Germany as a whole,EAV-070608-G, Fette Siefen: Reactions distillation residues,380,34.2
2010,Germany as a whole,EAV-070609-G, Fats soaps: halogen filter cake absorbent mat.,4,0.3
2010,Germany as a whole,EAV-070610-G, Fats sieves: filter cakes absorption materials,25,2.8
2010,Germany as a whole,EAV-070611-G, Fats Sifen: Sludges (own waste water treatment),6,0.2
2010,Germany as a whole,EAV-070612-U, sludge from on-site Waste water tank (oh.070611),28,9.2
2010,Germany as a whole,EAV-070699-U,Greases sifen lubricants etc.: Waste nec,142,28.4
2010,Germany as a whole,EAV-070701-G, Fine chemicals: Aqueous detergents mother liquors,191,64.2
2010,Germany as a whole,EAV-070703-G, Fine chemicals: halogen organic solvents washing fl.,177,17.5
2010,Germany as a whole,EAV-070704-G, Fine chemicals: organ. detergent detergent.,610,55.4
2010,Germany as a whole,EAV-070707-G, Fine chemicals: halogen reaction distillation residue.,34,8.0
2010,Germany as a whole,EAV-070708-G, Fine chemicals: reaction and distillation residues.,69,98.4
2010,Germany as a whole,EAV-070709-G, Fine chemicals: halogen filter cake absorbent mat.,15,0.9
2010,Germany as a whole,EAV-070710-G, Fine chemicals: Filter cakes suction materials,42,2.5
2010,Germany as a whole,EAV-070711-G, Fine chemicals: sludge (own waste water treatment),14,1.2
2010,Germany as a whole,EAV-070712-U, Sludge from company-owned Sewage treatment (oh.070711),7,1.1
2010,Germany as a whole,EAV-070799-U, Fine chemicals: waste nec,14,0.8
2010,Germany as a whole,EAV-08,Cases from HZVA v. Coatings adhesives etc.,,
2010,Germany as a whole,EAV-080111-G, Paint and lacquer falls with dangerous substances,3927,42.7
2010,Germany as a whole,EAV-080112-U, Waste paint and varnish (oh 080111),851,16.9
2010,Germany as a whole,EAV-080113-G,Paints and lacquers with dangerous substances,688,22.3
2010,Germany as a whole,EAV-080114-U, Color and varnish sludge (oh 080113),54,9.8
2010,Germany as a whole,EAV-080115-G, Paints varnishes: Aqueous sludge with danger. St.,198,13.6
2010,Germany as a whole,EAV-080116-U, Aqueous sludge (OH 080115),558,42.8
2010,Germany as a whole,EAV-080117-G, Falling from the color - or paint removal,358,17.7
2010,Germany as a whole,EAV-080118-U, Drops from colour. Paint removal (OH. 080117),170,8.5
2010,Germany as a whole,EAV-080119-G, Aqueous suspensions colors or lacquer included,41,8.2
2010,Germany as a whole,EAV-080120-U, Aqueous suspensions (OH 080119),122,5.1
2010,Germany as a whole,EAV-080121-G, Paint or varnish remover waste,38,0.2
2010,Germany as a whole,EAV-080199-U, Colors shades: colors,20,0.3
2010,Germany as a whole,EAV-080201-U, Cases of coating powder,112,2.6
2010,Germany as a whole,EAV-080202-U, Wet stones containing ceramic materials,31,2.7
2010,Germany as a whole,EAV-080203-U, Water suspensions ceramic. Materials included,6,3.6
2010,Germany as a whole,EAV-080299-U, Other Coatings: Waste Ang,,
2010,Germany as a whole,EAV-080307-U, Watery mud that contains printing colors,18,0.3
2010,Germany as a whole,EAV-080308-U,Wet and liquid ravines i.e. print colors included,59,6.6
2010,Germany as a whole,EAV-080312-G, Printing inks with hazardous substances,340,11.3
2010,Germany as a whole,EAV-080313-U, Ink Cases (without 080312),106,2.5
2010,Germany as a whole,EAV-080314-G, Printing inks with dangerous substances,120,4.0
2010,Germany as a whole,EAV-080315-U, Printing ink sludge (without 080314),12,0.4
2010,Germany as a whole,EAV-080316-G, Cases of use solutions,,
2010,Germany as a whole,EAV-080317-G, Toner bags that contain hazardous substances,34,0.0
2010,Germany as a whole,EAV-080318-U, Toner waste (without 080317),288,0.7
2010,Germany as a whole,EAV-080319-G, Dispersion oil,,
2010,Germany as a whole,EAV-080399-U, Print color:,10,0.3
2010,Germany as a whole,EAV-080409-G, Adhesive and sealant cases with ear. St.,1111,16.6
2010,Germany as a whole,EAV-080410-U, Adhesive and sealant waste (oh 080409),248,13.1
2010,Germany as a whole,EAV-080411-G, Klebstob and Dijksmalshalte Slumme,24,0.5
2010,Germany as a whole,EAV-080412-U, Adhesive and dense mass hold. Muds(oh.080411),12,0.3
2010,Germany as a whole,EAV-080413-G, Adhesive sealant: Aqueous sludge with hazardous level,25,0.4
2010,Germany as a whole,EAV-080414-U, Aqueous sludges (OH 080413),57,4.3
2010,Germany as a whole,EAV-080415-G,Adhesive sealant: water liquid removal with dangerous item,15,0.5
2010,Germany as a whole,EAV-080416-U, Watery liquid falls (without 080415),37,15.2
2010,Germany as a whole,EAV-080417-G, Adhesives thickeners: Harzols,,
2010,Germany as a whole,EAV-080499-U, Adhesives Thick Masses: Waste Ang,14,0.8
2010,Germany as a whole,EAV-080501-G, Isocyanate drops,54,0.3
2010,Germany as a whole,EAV-09,Drops from the photographic industry,,
2010,Germany as a whole,EAV-090101-G, Developer and activator solutions on water basis,671,6.5
2010,Germany as a whole,EAV-090102-G, offset printing plates-twisting solutions,366,10.3
2010,Germany as a whole,EAV-090103-G, Developer solutions on chemical basis,24,0.1
2010,Germany as a whole,EAV-090104-G, Fixing bath,581,2.5
2010,Germany as a whole,EAV-090105-G, Bleach solutions and bleach fixer baths,11,0.1
2010,Germany as a whole,EAV-090106-G, Silver-bearing deposits from Beh. photographer. waste,4,0.0
2010,Germany as a whole,EAV-090107-U, Film and photographic papers with silver,268,1.6
2010,Germany as a whole,EAV-090108-U, Film and photographic papers without silver,138,1.5
2010,Germany as a whole,EAV-090110-U, Single camera without battery,,
2010,Germany as a whole,EAV-090111-G, Single-camera cameras with batteries (160601-160603),,
2010,Germany as a whole,EAV-090112-U, Single-camera cameras with batteries (one 090111),,
2010,Germany as a whole,EAV-090113-G, Falls from silver recovery (without 090106),,
2010,Germany as a whole,EAV-090199-U, Photographic Industry: Photographs,16,0.1
2010,Germany as a whole,EAV-10,Drops from thermal processes,,
2010,Germany as a whole,EAV-100101-U, rust and Boiler ash slag boiler st.(oh.100104),416,4610.5
2010,Germany as a whole,EAV-100102-U, Coal fired filter rods,51,1093.5
2010,Germany as a whole,EAV-100103-U, Filter rods from torching and firing,31,54.9
2010,Germany as a whole,EAV-100104-G, Filter rods and boiler rods from oil firing,15,3.2
2010,Germany as a whole,EAV-100105-U, Reactions on Calcium Base in Firmer Form,40,391.2
2010,Germany as a whole,EAV-100107-U, Reactions based on Calcium (Scales),5,3.1
2010,Germany as a whole,EAV-100109-G, Sulfur Acid,3,0.0
2010,Germany as a whole,EAV-100113-G, Filter dust from emulsified carbon dioxide,,
2010,Germany as a whole,EAV-100114-G, Grate and boiler ash slag boiler dust,11,28.9
2010,Germany as a whole,EAV-100115-U, rust and Boiler ash slag boiler (oh.100114),30,332.8
2010,Germany as a whole,EAV-100116-G, Filters made of waste material,11,19.7
2010,Germany as a whole,EAV-100117-U,Filter rods from waste co-combustion (oh.100116),26,863.2
2010,Germany as a whole,EAV-100118-G, Absences from the exhaust gas treatment with danger. St.,22,7.5
2010,Germany as a whole,EAV-100119-U, Waste a. Exhaust gas treatment (oh.100105100107100118),18,13.6
2010,Germany as a whole,EAV-100120-G, Power plants etc.: sludge (own waste water treatment),6,1.4
2010,Germany as a whole,EAV-100121-U, mud a. operational.wastewater treatment(oh.100120),10,4.6
2010,Germany as a whole,EAV-100122-G, Power plants among others: Aqueous sludge a. To install boiler cleaning.,,
