Year,EAV Code,Waste Description,Number Of Waste Producers,Quantities Of Waste (1000t),Quantities Of Waste Generated By Primary Producers (1000t)
2006,EAV-050603-G,Kohlepyrolyse: Andere Teere,78.0,112.7,112.6
2006,EAV-050701-G,"Natural gas cleaning, transport: mercury h. waste",3.0,0.1,0.1
2006,EAV-06,Waste from inorganic chemical processes,1137.0,276.5,261.0
2006,EAV-060101-G,sulfuric acid and sulphurous acid,183.0,117.3,116.9
2006,EAV-060102-G,hydrochloric acid,58.0,5.1,4.9
2006,EAV-060103-G,Hydrofluoric acid,22.0,0.3,0.3
2006,EAV-060104-G,Phosphoric acid and phosphorous acid,37.0,1.5,1.5
2006,EAV-060105-G,Nitric acid and nitrous acid,47.0,2.6,2.5
2006,EAV-060106-G,Other acids,232.0,17.2,15.0
2006,EAV-060201-G,Calciumhydroxid,10.0,0.8,0.8
2006,EAV-060203-G,Ammoniumhydroxid,83.0,1.6,1.3
2006,EAV-060204-G,Sodium and potassium hydroxide,42.0,7.4,5.8
2006,EAV-060205-G,Other Bases,214.0,20.4,19.5
2006,EAV-060311-G,Solid salts and solutions containing cyanide,39.0,0.5,0.4
2006,EAV-060313-G,Solid salts and solutions containing heavy metals,133.0,8.2,7.0
2006,EAV-060315-G,Metal oxides containing heavy metals,33.0,5.5,5.2
2006,EAV-060403-G,Waste containing arsenic,23.0,1.0,0.9
2006,EAV-060404-G,Waste containing mercury,179.0,7.4,6.7
2006,EAV-060405-G,Waste containing other heavy metals,129.0,20.7,20.1
2006,EAV-060502-G,Sludge from in-house wastewater treatment,85.0,38.5,36.0
2006,EAV-060602-G,Waste containing hazardous sulphides,4.0,0.3,0.3
2006,EAV-060701-G,Asbestos-containing waste from electrolysis,,,
2006,EAV-060702-G,Activated carbon from chlorine production,,,
2006,EAV-060703-G,Mercurial barium sulfate sludges,,,
2006,EAV-060704-G,"Solutions and acids, e.g. contact acid",,,
2006,EAV-060802-G,Hazardous waste containing chlorosilanes,4.0,4.2,0.2
2006,EAV-060903-G,Calcium-based reaction wastes,,,
2006,EAV-061002-G,Nitrogen.Chemie.: Waste with hazardous fabrics,6.0,0.1,0.1
2006,EAV-061301-G,"Inorganic pesticides, wood preservatives",69.0,0.5,0.3
2006,EAV-061302-G,Used activated carbon (without 060702),69.0,2.9,2.8
2006,EAV-061304-G,Waste from asbestos processing,18.0,1.1,0.7
2006,EAV-061305-G,Oven and chimney soot,,,
2006,EAV-07,Waste from organic chemical processes,2156.0,886.2,801.3
2006,EAV-070101-G,"Organic basic chemicals: Aqueous wash bottles, mother liquors",149.0,29.1,24.5
2006,EAV-070103-G,"Organic basic chemicals: halogen organic solvents, washing bottle",117.0,24.7,17.3
2006,EAV-070104-G,"Organic basic chemicals: solvents, washing liquids",367.0,97.9,74.2
2006,EAV-070107-G,"Org.basic chemistry: halog.reaction, distillation residue.",36.0,34.8,32.5
2006,EAV-070108-G,Org.Basic chemistry: reaction and distillation residues.,145.0,58.9,52.5
2006,EAV-070109-G,"Org.Basic chemistry: Halog.filter cake, absorbent mat.",12.0,0.4,0.4
2006,EAV-070110-G,"Org.Grundchemik.: And. filter cake, absorbent mat.",50.0,5.5,5.2
2006,EAV-070111-G,Org. basic chemistry: sludge (company waste water tank),30.0,5.1,4.8
2006,EAV-070201-G,"Plastics: Aqueous washes, mother liquors",83.0,23.1,22.0
2006,EAV-070203-G,"Plastics: halogen organic solvents, washing liquid.",46.0,2.9,2.5
2006,EAV-070204-G,"Plastics: organic. Solvents, washing liquids",195.0,37.2,33.6
2006,EAV-070207-G,Plastics: Halog. Reaction and distillation residues,54.0,7.4,3.1
2006,EAV-070208-G,Plastics: reaction and distillation residues,500.0,72.6,70.5
2006,EAV-070209-G,"Plastics: Halog. filter cake, absorbent mat.",9.0,0.5,0.5
2006,EAV-070210-G,"Plastics: And. filter cakes, absorbent materials",48.0,5.1,4.1
2006,EAV-070211-G,Plastics: sludge (company wastewater tank),14.0,4.0,3.8
2006,EAV-070214-G,Plastics: waste from additives with hazardous substances.,29.0,0.7,0.7
2006,EAV-070216-G,Plastics: Danger. Waste containing silicone,4.0,0.9,0.3
2006,EAV-070301-G,"Organic dyes: Aqueous wash bottles, mother liquors",36.0,4.2,3.9
2006,EAV-070303-G,"Organic dyes: Halogenorg. solvent, washbottle",38.0,1.9,1.6
2006,EAV-070304-G,"Organic dyes: solvents, washing liquids",335.0,53.6,49.8
2006,EAV-070307-G,Organic dyes: halogen. Reaction and distillation reset.,11.0,1.0,1.0
2006,EAV-070308-G,Organic dyes: reaction and distillation residues,28.0,1.6,1.6
2006,EAV-070309-G,"Organic dyes: Halog. Filter cake, absorbent mat.",7.0,0.2,0.2
2006,EAV-070310-G,"Organic dyes: Other filter cakes, absorption mat.",18.0,3.6,3.6
2006,EAV-070311-G,Org. dyes: sludge (in-house waste water tank),7.0,0.4,0.4
2006,EAV-070401-G,"Pesticides: Aqueous wash, mother liquor.",16.0,7.3,7.3
2006,EAV-070403-G,"Plant protection with: halogen organic solvents, washing fl.",16.0,10.4,10.4
2006,EAV-070404-G,"Pesticides: Organ. solvent, washbottle",14.0,15.3,15.3
2006,EAV-070407-G,Plant protection with: halogen reaction and distillation residue,8.0,4.6,4.6
2006,EAV-070408-G,"Plant protection products: reaction, distillation residue.",9.0,1.6,1.6
2006,EAV-070409-G,"Pesticides: halogen filter cake, absorbent mat",,,
2006,EAV-070410-G,"Pesticides: filter cake, absorbent mat.",6.0,0.3,0.3
2006,EAV-070411-G,Plant protection: sludge (company wastewater tank),,,
2006,EAV-070413-G,Pesticides: solid waste with dangerous goods,8.0,0.5,0.5
2006,EAV-070501-G,"Pharmaceuticals: Aqueous washes, mother liquors",49.0,39.6,39.6
2006,EAV-070503-G,"Pharmaceuticals: halogen organic solvents, wash fl.",54.0,14.1,14.0
2006,EAV-070504-G,"Pharmaceuticals: organ. Solvents, washing liquids.",91.0,56.1,56.0
2006,EAV-070507-G,"Pharmaceuticals: halogen.reaction, distill.residue",10.0,1.9,1.9
2006,EAV-070508-G,Pharmaceuticals: reaction and distillation residues,53.0,3.1,3.0
2006,EAV-070509-G,"Pharmaceuticals: Halogen filter cake, absorbent mat.",9.0,0.1,0.1
2006,EAV-070510-G,"Pharmaceuticals: filter cake, absorbent materials",24.0,1.6,1.6
2006,EAV-070511-G,Pharmaceuticals: sludge (in-house waste water treatment),6.0,0.5,0.5
2006,EAV-070513-G,Pharmaceuticals: Solid waste with hazardous substances,31.0,1.4,1.4
2006,EAV-070601-G,"Fats, soaps: Aqueous washing bottles, mother liquors",138.0,23.7,21.3
2006,EAV-070603-G,"Fats, soaps: halogen organic solvents, washing fl.",33.0,1.1,0.5
2006,EAV-070604-G,"Fats, soaps: organ. Solvents, washing liquids.",84.0,6.8,5.7
2006,EAV-070607-G,"Fats, soaps: halogen reaction and distillation residue.",3.0,0.1,0.0
2006,EAV-070608-G,"Fats, soaps: reaction, distillation residues",146.0,45.6,42.7
2006,EAV-070609-G,"Fats, soaps: halogen filter cake, absorbent mat.",3.0,0.1,0.1
2006,EAV-070610-G,"Fats, soaps: filter cakes, absorbent materials",19.0,3.1,3.1
2006,EAV-070611-G,"Fats, soaps: sludge (in-house waste water treatment)",8.0,1.8,1.8
2006,EAV-070701-G,"Fine chemicals: Aqueous detergents, mother liquors",142.0,54.5,49.3
2006,EAV-070703-G,"Fine chemicals: halogen organic solvents, washing fl.",114.0,15.6,13.9
2006,EAV-070704-G,"Fine chemicals: organ. Solvents, washing liquids.",199.0,52.9,49.4
2006,EAV-070707-G,"Fine chemicals: halogen reaction, distillation residue.",43.0,5.0,4.0
2006,EAV-070708-G,Fine chemicals: reaction and distillation residues.,81.0,35.9,33.5
2006,EAV-070709-G,"Fine chemicals: halogen filter cake, absorbent mat.",19.0,0.2,0.2
2006,EAV-070710-G,"Fine chemicals: filter cakes, absorbent materials",61.0,2.2,2.1
2006,EAV-070711-G,Fine chemicals: sludge (company wastewater tank),20.0,1.6,1.6
2006,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",1860.0,172.4,152.0
2006,EAV-080111-G,Paint and varnish waste with hazardous substances,809.0,57.3,46.6
2006,EAV-080113-G,Paint and varnish sludges containing dangerous substances,598.0,34.5,31.0
2006,EAV-080115-G,"Paints, varnishes: Aqueous sludges with dangerous St.",192.0,19.7,16.8
2006,EAV-080117-G,Waste from paint or varnish removal,218.0,23.7,23.1
2006,EAV-080119-G,Aqueous suspensions containing paints or varnishes,39.0,5.9,5.9
2006,EAV-080121-G,Paint or varnish remover waste,18.0,0.5,0.5
2006,EAV-080312-G,Waste printing ink containing hazardous substances,155.0,7.1,6.2
2006,EAV-080314-G,Printing ink sludge containing dangerous substances,67.0,4.3,4.0
2006,EAV-080316-G,Waste from etching solutions,,,
2006,EAV-080317-G,Waste toner containing hazardous substances,11.0,0.0,0.0
2006,EAV-080319-G,Dispersion beer,,,
2006,EAV-080409-G,Adhesive and sealant waste with hazardous St.,327.0,17.6,16.2
2006,EAV-080411-G,Slurries containing adhesives and sealants,13.0,0.4,0.4
2006,EAV-080413-G,"Adhesives, sealants: Aqueous sludges with dangerous substances.",16.0,0.4,0.4
2006,EAV-080415-G,"Adhesive, sealant: Aqueous liquid waste with hazardous st",17.0,0.5,0.5
2006,EAV-080417-G,"Adhesives, sealants: resin oils",,,
2006,EAV-080501-G,isocyanate waste,35.0,0.3,0.2
2006,EAV-09,Waste from the photographic industry,277.0,61.1,45.0
2006,EAV-090101-G,Water-based developer and activator solutions,217.0,22.7,17.3
2006,EAV-090102-G,Offset Printing Plate Developer Solutions,87.0,12.1,8.9
2006,EAV-090103-G,Solvent-based developer solutions,21.0,0.4,0.0
2006,EAV-090104-G,fixing baths,160.0,17.8,13.2
2006,EAV-090105-G,bleach solutions and bleach-fix baths,45.0,4.6,4.5
2006,EAV-090106-G,Waste containing silver from containers photographer. waste,7.0,0.6,0.6
2006,EAV-090111-G,Disposable cameras with batteries (160601-160603),,,
2006,EAV-090113-G,Waste from silver recovery (excluding 090106),,,
2006,EAV-10,Waste from thermal processes,640.0,878.0,653.0
2006,EAV-100104-G,Filter dust and boiler dust from oil firing,37.0,3.8,2.5
2006,EAV-100109-G,sulfuric acid,5.0,0.0,0.0
2006,EAV-100113-G,Filter dust from emulsified hydrocarbons,,,
2006,EAV-100114-G,"Rust and boiler ash, slag, boiler dust",16.0,30.3,17.9
2006,EAV-100116-G,Filter dust from co-incineration of waste,22.0,22.4,9.0
2006,EAV-100118-G,Waste from exhaust gas treatment with hazardous St.,27.0,21.0,16.5
2006,EAV-100120-G,"Power plants, among others: sludge (company wastewater tank)",5.0,1.8,1.8
2006,EAV-100122-G,Power plants etc.:Aqueous sludge a. Boiler cleaning.,3.0,0.4,0.4
2006,EAV-100207-G,"Iron, steel ind.: Solid waste from flue gas treatment.",48.0,284.5,249.8
2006,EAV-100211-G,"Iron, steel cylinder: oil content. Drain from cooling water tank.",,,
2006,EAV-100213-G,"Iron and steel industry: sludges, filters. from exhaust gas tank.",15.0,80.3,76.7
2006,EAV-100304-G,Aluminum metallurgy: slags from initial melting,4.0,2.1,2.1
2006,EAV-100308-G,Aluminum metallurgy: salt slag a.Zzweischmel.,20.0,273.5,153.4
2006,EAV-100309-G,Aluminum metallurgy: Black dross a.Zweitsch.,,,
2006,EAV-100315-G,Aluminum Metallurgy: Scum (Flammable),86.0,48.3,32.8
2006,EAV-100317-G,Aluminum Metallurgy:Tarh. From anode manuf.,5.0,0.8,0.8
2006,EAV-100319-G,Aluminum metallurgy: filter dust with hazardous St.,12.0,4.3,2.5
2006,EAV-100321-G,Aluminum Metallurgy: Other Particles and Dust,8.0,3.4,3.4
2006,EAV-100323-G,Aluminum metallurgy: Solid waste a. flue gas treatment,37.0,18.8,10.9
2006,EAV-100325-G,"Aluminum metallurgy: sludges, filters, etc. exhaust gas tanks.",5.0,1.3,1.3
2006,EAV-100327-G,Aluminum Metallurgy: Oil H.Abf. from cooling water tank,,,
2006,EAV-100329-G,Aluminum Metallurgy: Abf.a. tank v.salt slag,,,
2006,EAV-100401-G,Lead metallurgy: slags (primary and secondary smelting),7.0,24.0,23.2
2006,EAV-100402-G,"Lead Metal.: Scabies,Scum (First,Second.)",70.0,6.4,6.3
2006,EAV-100403-G,Bleimetallurgie: Calciumarsenat,,,
2006,EAV-100404-G,Lead metallurgy: filter dust,3.0,0.5,0.5
2006,EAV-100405-G,Lead Metallurgy: Other Particles and Dust,18.0,6.4,1.1
2006,EAV-100406-G,Lead Metallurgy: Solid waste from flue gas treatment,6.0,0.5,0.5
2006,EAV-100407-G,"Lead metallurgy: sludges, filters. from exhaust gas tank.",,,
2006,EAV-100409-G,Lead Metallurgy: Oilh. Waste from cooling water tank.,,,
2006,EAV-100503-G,Zinc Metallurgy: Filter Dust,17.0,0.6,0.5
2006,EAV-100505-G,Zinc Metallurgy: Solid waste from waste gas treatment,7.0,0.3,0.3
2006,EAV-100506-G,"Zinc Metallurgy: Slurries, Filterk. from exhaust gas tank.",,,
2006,EAV-100508-G,Zinc metallurgy: Ölh. Waste from cooling water tank.,,,
2006,EAV-100510-G,"Zinc metallurgy: dross, scum (flammable)",,,
2006,EAV-100603-G,Copper metallurgy: filter dust,10.0,1.6,1.6
2006,EAV-100606-G,Copper Metallurgy: Solid Waste a.Flue Gas Treatment,3.0,2.9,2.7
2006,EAV-100607-G,"Copper metallurgy: sludges, filters. a.Exhaust gas tank",,,
2006,EAV-100609-G,Copper Metallurgy: Oil H.Abf. from cooling water tank,,,
2006,EAV-100707-G,"Silver metal, among other things: oil-containing waste from cooling water tanks.",,,
2006,EAV-100808-G,"Non-ferrous metals: salt slag (first, second smelting)",3.0,0.3,0.3
2006,EAV-100810-G,"Non-ferrous metallurgy: dross, scum (flammable)",4.0,0.4,0.4
2006,EAV-100812-G,Non-ferrous metal: tar. Waste from anode manufacturing,,,
2006,EAV-100815-G,Non-ferrous metallurgy: filter dust with dangerous substances,23.0,2.8,2.8
2006,EAV-100817-G,"Non-ferrous metallurgy: sludges, filters, etc., exhaust gas tanks.",,,
2006,EAV-100819-G,Nonferrous Metallurgy: Oil H.Abf. from cooling water tank,,,
2006,EAV-100905-G,"Iron, steel: casting molds and sand before casting",3.0,1.7,1.7
2006,EAV-100907-G,"Iron, steel: casting molds and sands after casting",5.0,1.5,1.5
2006,EAV-100909-G,"Iron, steel: filter dust containing dangerous substances",22.0,4.5,4.5
2006,EAV-100911-G,"Iron, steel: other particles with hazardous fabrics",3.0,0.1,0.1
2006,EAV-100913-G,"Iron, steel: Abf. v. Binders with dangerous St.",,,
2006,EAV-100915-G,"Iron, steel: Removal of crack-indicating substances",,,
2006,EAV-101005-G,"Non-ferrous metal: casting molds, sand before casting",4.0,0.9,0.9
2006,EAV-101007-G,"Non-ferrous metal: casting molds, sand after casting",6.0,1.7,1.7
2006,EAV-101009-G,Non-ferrous metals: filter dust with hazardous substances,9.0,2.4,2.4
2006,EAV-101011-G,Non-ferrous metals: And. particles with dangerous fabrics,,,
2006,EAV-101013-G,Non-ferrous metal:Abf.v. Binding agents with hazardous St.,,,
2006,EAV-101015-G,Non-ferrous metals: Abf. from crack-indicating substances.,,,
2006,EAV-101109-G,Batch waste with hazardous fabrics v. d. Melt,15.0,1.0,0.9
2006,EAV-101111-G,Glass waste in small particles and glass dust,15.0,6.6,3.4
2006,EAV-101113-G,Glass polishing and glass grinding sludge,27.0,1.5,1.5
2006,EAV-101115-G,Glass production: Solid waste from waste gas treatment,36.0,3.3,3.2
2006,EAV-101117-G,"Glass production: sludges, filters. from exhaust gas tank",,,
2006,EAV-101119-G,Glass manuf.: Solid waste a. own waste water tank,7.0,0.5,0.5
2006,EAV-101209-G,Ceramic products: Solid waste a. Exhaust gas treatment,8.0,0.3,0.3
2006,EAV-101211-G,Ceramic products: Glaze waste with heavy metals,,,
2006,EAV-101309-G,Asbestos-containing waste a. Manufacture. v. asbestos cement,,,
2006,EAV-101312-G,Cement among others: Solid waste from exhaust gas treatment,,,
2006,EAV-101401-G,Crematoriums:Mercury h. Waste from gas cleaning,77.0,0.4,0.3
2006,EAV-11,Waste from chemical surface treatment,2509.0,552.3,530.3
2006,EAV-110105-G,Surface treatment: Acid pickling solutions,476.0,79.5,76.2
2006,EAV-110106-G,Surface treatment: Acids n.e.c.,124.0,7.4,6.7
2006,EAV-110107-G,Surface treatment: Alkaline pickling solutions,446.0,50.0,47.2
2006,EAV-110108-G,Surface treatment: phosphating sludge,261.0,11.8,11.4
2006,EAV-110109-G,"Surface treatment: sludges, filter cakes w.f.st.",1269.0,112.3,103.8
2006,EAV-110111-G,Surface treatment: Aqueous flushing liquid. m.f.st.,665.0,56.4,51.3
2006,EAV-110113-G,Surface treatment: Waste from degreasing with,119.0,6.9,6.9
2006,EAV-110115-G,"Surface treatment: eluates, sludges a. Membrane system",5.0,0.6,0.6
2006,EAV-110116-G,Surface treatment: ion exchange resins,16.0,0.2,0.2
2006,EAV-110198-G,Surface treatment: Other waste with hazardous St.,234.0,14.0,12.6
2006,EAV-110202-G,Sludge from zinc hydrometallurgy,13.0,209.2,209.2
2006,EAV-110205-G,Waste from copper hydrometallurgy processes,,,
2006,EAV-110207-G,Non-ferrous hydrometallurgy:And.Abf. with dangerous tax,,,
2006,EAV-110301-G,"Slurries, solids from hardening processes: Cyanidh. waste",52.0,1.7,1.6
2006,EAV-110302-G,"Sludges, solids from hardening processes: Other wastes",63.0,2.1,1.8
2006,EAV-110503-G,Galvanizing: Solid waste from exhaust gas treatment,3.0,0.0,0.0
2006,EAV-110504-G,Galvanizing: Used flux,5.0,0.1,0.1
2006,EAV-12,Waste from mechanical shaping processes,3807.0,924.1,708.2
2006,EAV-120106-G,Halogen-containing mineral oil-based machining oils,23.0,0.3,0.3
2006,EAV-120107-G,"Halogen-free, mineral oil-based machining oils",150.0,83.4,31.1
2006,EAV-120108-G,Halogenated machining emulsions and. -solutions,33.0,1.2,1.1
2006,EAV-120109-G,Halogen-free processing emulsions and solutions,2856.0,657.8,536.5
2006,EAV-120110-G,Synthetic machining oils,59.0,1.5,1.4
2006,EAV-120112-G,Used waxes and fats,221.0,7.8,7.4
2006,EAV-120114-G,Processing sludge with dangerous substances,307.0,17.7,16.4
2006,EAV-120116-G,Abrasive waste (with hazardous substances),335.0,27.5,22.4
2006,EAV-120118-G,"Oily metal sludge (grinding sludge, etc.)",480.0,91.3,57.6
2006,EAV-120119-G,Easily biodegradable machining oils,,,
2006,EAV-120120-G,Used honing and abrasives containing hazardous substances,105.0,4.1,3.8
2006,EAV-120301-G,Aqueous washing liquids,260.0,26.2,25.1
2006,EAV-120302-G,Vapor degreasing waste,37.0,5.1,5.1
2006,EAV-13,waste oil and liquid fuel waste,4650.0,1498.8,1185.3
2006,EAV-130101-G,Hydraulic oils containing PCBs,15.0,0.4,0.3
2006,EAV-130104-G,Hydraulic oils: Chlorinated emulsions,5.0,0.0,0.0
2006,EAV-130105-G,Hydraulic oils: Non-chlorinated emulsions,119.0,21.5,10.1
2006,EAV-130109-G,Chlorinated hydraulic oils based on mineral oil,7.0,0.0,0.0
2006,EAV-130110-G,Non-chlorinated mineral oil based hydraulic oils,147.0,5.8,5.5
2006,EAV-130111-G,Synthetic hydraulic oils,10.0,0.1,0.1
2006,EAV-130112-G,Easily biodegradable hydraulic oils,3.0,0.0,0.0
2006,EAV-130113-G,Other hydraulic oils,9.0,0.2,0.2
2006,EAV-130204-G,"Chlorinated engine, gear and lubricating oils",79.0,3.2,1.5
2006,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",1925.0,481.6,342.8
2006,EAV-130206-G,"Synthetic machine, gear and lubricating oils",21.0,0.2,0.2
2006,EAV-130207-G,Easily biodegradable. Machine and gear oils,4.0,0.0,0.0
2006,EAV-130208-G,"Other machine, gear and lubricating oils",168.0,43.0,37.3
2006,EAV-130301-G,Insulating and heat transfer oils with PCB,65.0,1.8,1.4
2006,EAV-130306-G,Chlorine. Insulating and heat transfer oils(oh.130301),7.0,0.0,0.0
2006,EAV-130307-G,Non-chlorinated insulating and heat transfer oils,176.0,10.2,8.3
2006,EAV-130308-G,Synthetic insulating and heat transfer oils,21.0,0.8,0.8
2006,EAV-130309-G,biologist easily degradable insulating u. heat transfer oils,3.0,0.0,0.0
2006,EAV-130310-G,Other insulating and heat transfer oils,39.0,0.9,0.7
2006,EAV-130401-G,Bilge oils from inland shipping,16.0,3.9,3.4
2006,EAV-130402-G,Bilge oils from pier drains,,,
2006,EAV-130403-G,Bilge oils from other shipping,40.0,153.2,125.1
2006,EAV-130501-G,Solid waste from sand traps and oil/water separation.,348.0,102.9,68.4
2006,EAV-130502-G,Sludge from oil/water separators,1218.0,226.1,209.9
2006,EAV-130503-G,Sludge from intake shafts,659.0,159.8,133.4
2006,EAV-130506-G,Oils from oil/water separators,44.0,7.3,6.9
2006,EAV-130507-G,Oily water from oil/water separators,215.0,41.3,32.7
2006,EAV-130508-G,"Waste mixtures from sand traps, oil/water separation.",642.0,114.4,110.4
2006,EAV-130701-G,heating oil and diesel,174.0,16.1,14.2
2006,EAV-130702-G,Petrol,48.0,2.3,1.9
2006,EAV-130703-G,Other fuels (including mixtures),184.0,44.0,20.0
2006,EAV-130801-G,Oil waste: sludges or emulsions from desalters,,,
2006,EAV-130802-G,Oil waste: Other emulsions,144.0,29.7,24.6
2006,EAV-130899-G,Oil waste: waste n.e.c.,173.0,28.2,25.2
2006,EAV-14,"Waste from organic solvents, coolants",932.0,171.2,85.0
2006,EAV-140601-G,"Chlorofluorocarbons, HCFC, HFC",57.0,1.2,0.9
2006,EAV-140602-G,Other halogenated solvents and solvent-based,180.0,11.2,5.3
2006,EAV-140603-G,Other solvents and solvent mixtures,714.0,139.1,62.8
2006,EAV-140604-G,"Sludge, solid waste (halogenated solvents)",42.0,0.7,0.6
2006,EAV-140605-G,"Sludges, solid waste (other solvents)",118.0,19.0,15.2
2006,EAV-15,"Packaging waste, absorbents, wipes",2920.0,278.5,206.6
2006,EAV-150110-G,Packaging with residues of dangerous substances,1202.0,57.1,44.6
2006,EAV-150111-G,packaging of metal,38.0,0.7,0.7
2006,EAV-150202-G,"Absorbent and filter materials, wipes",2344.0,220.8,161.3
2006,EAV-16,Waste not included elsewhere in the inventory,3352.0,904.7,716.2
2006,EAV-160104-G,end-of-life vehicles,42.0,58.4,58.4
2006,EAV-160107-G,Old vehicles: oil filter,128.0,12.6,9.2
2006,EAV-160108-G,Old vehicles: components containing mercury,3.0,0.0,0.0
2006,EAV-160109-G,End-of-life vehicles: components containing PCBs,,,
2006,EAV-160110-G,End-of-life vehicles: Explosive components (e.g. from airbags),51.0,0.6,0.6
2006,EAV-160111-G,End-of-life vehicles: Brake pads containing asbestos,10.0,0.1,0.1
2006,EAV-160113-G,Old vehicles: brake fluids,142.0,12.2,8.0
2006,EAV-160114-G,End-of-life vehicles: antifreeze m.dangerous. fabrics,182.0,17.7,12.7
2006,EAV-160121-G,"dangerous Components (oh.160107-160111,160113-160114)",34.0,1.1,0.9
2006,EAV-160209-G,transformers and Capacitors containing PCB.,231.0,5.6,5.3
2006,EAV-160210-G,Used devices containing PCB (oh.160209),16.0,0.4,0.4
2006,EAV-160211-G,used devices,406.0,23.3,17.8
2006,EAV-160212-G,Used equipment containing free asbestos,127.0,9.5,8.0
2006,EAV-160213-G,Used devices with dangerous components (oh.160209-12),882.0,95.8,77.1
2006,EAV-160215-G,Dangerous components removed from used devices,250.0,70.8,51.7
2006,EAV-160303-G,Bad batches: inorganic waste with hazardous substances,40.0,1.0,1.0
2006,EAV-160305-G,Bad batches: Organic waste is hazardous. substances,70.0,3.1,2.5
2006,EAV-160401-G,Ammunition waste,,,
2006,EAV-160402-G,Fireworks waste,3.0,0.0,0.0
2006,EAV-160403-G,Other explosive waste,17.0,0.1,0.1
2006,EAV-160504-G,Gases containing dangerous substances in pressure vessels.,247.0,2.6,2.2
2006,EAV-160506-G,Laboratory chemicals from hazardous substances,192.0,2.4,2.0
2006,EAV-160507-G,Used inorganic chemicals,479.0,6.2,5.3
2006,EAV-160508-G,Used organic chemicals,483.0,4.9,4.3
2006,EAV-160601-G,Lead batteries,525.0,327.1,235.6
2006,EAV-160602-G,Ni~Cd-Battery Garden,104.0,1.2,1.0
2006,EAV-160603-G,Batteries containing mercury,14.0,0.2,0.1
2006,EAV-160606-G,"Separately collected electrolytes a. batteries, rechargeable battery.",42.0,6.8,1.6
2006,EAV-160708-G,"Tanks, barrels: waste containing oil",604.0,134.7,111.7
2006,EAV-160709-G,"Tanks, barrels: waste with other hazardous St.",172.0,13.6,12.8
2006,EAV-160802-G,Used catalyst. with.dangerous.transition-metals,74.0,7.0,6.9
2006,EAV-160805-G,Used catalysts with phosphoric acid,5.0,0.9,0.9
2006,EAV-160806-G,Used Fluids (Catalysts),3.0,0.1,0.1
2006,EAV-160807-G,Used catalysts with hazardous substances,106.0,6.9,6.4
2006,EAV-160901-G,"Permanganate, z.B. Potassium permanganate",,,
2006,EAV-160902-G,"Chromates (potassium chromate, potassium or sodium dichromate)",5.0,0.2,0.1
