Year,Industry Code,Industry,Waste Quantities Produced by Primary Producers,Unknown Value 1,Metric Tons (1000)
2009,WZ08-D,power supply,743,949,8
2009,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3888,4737,8
2009,WZ08-38,"Collection, waste disposal, recovery",3180,4004,1
2009,WZ08-F,construction industry,4017,1054,9
2009,WZ08-G,"Trade, maintenance and repair of car",2503,638,6
2009,WZ08-H,Transportation and storage,1245,1003,4
2009,WZ08-I,Hospitality,53,20,6
2009,WZ08-J,information and communication,125,31,2
2009,WZ08-K,Provision of financial and insurance benefits,66,14,4
2009,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1542,1004,4
2009,WZ08-O,"Public Administration, defense, social insurance",2356,2146,4
2009,WZ08-P,Education and lessons,127,9,4
2009,WZ08-Q,Health and social affairs,275,70,3
2009,WZ08-R-03,"Art, entertainment and relaxation, other DL",267,51,4
2009,WZ-X006,Remaining branches,114,374,0
2010,WZ08-A,"Agriculture and forestry, fishing",133,10,8
2010,WZ08-B,Mining and extraction of stones and earth,192,164,5
2010,WZ08-C,Processing business,8108,3809,7
2010,WZ08-10-01,Food and tobacco processing industry.,124,15,4
2010,WZ08-13-02,"Textiles, clothing, leather and leather goods",64,7,7
2010,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",205,41,2
2010,WZ08-17-01,"Production of paper, cardboard, and printed materials,",407,45,0
2010,WZ08-19,Petroleum Processing,82,168,5
2010,WZ08-20,Production of chemical products,922,1104,0
2010,WZ08-21,Production of pharmaceutical products,122,121,0
2010,WZ08-22,Production of rubber and plastic goods,516,77,9
2010,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",319,183,8
2010,WZ08-24,Metal generation and processing,599,1000,5
2010,WZ08-25,Production of metal products,1983,287,5
2010,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,562,139,0
2010,WZ08-28,mechanical engineering,1201,240,6
2010,WZ08-29-01,vehicle construction,587,296,9
2010,WZ08-31-02,Production of furniture and other goods,223,14,3
2010,WZ08-33,Repair and installation of machinery and equipment.,192,66,5
2010,WZ08-D,power supply,731,870,8
2010,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3696,4658,2
2010,WZ08-38,"Collection, waste disposal, recovery",3017,3975,5
2010,WZ08-F,construction industry,3539,1003,6
2010,WZ08-G,"Trade, maintenance and repair of car",2122,516,9
2010,WZ08-H,Transportation and storage,1079,804,5
2010,WZ08-I,Hospitality,38,12,9
2010,WZ08-J,information and communication,101,27,0
2010,WZ08-K,Provision of financial and insurance benefits,56,19,0
2010,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1366,738,2
2010,WZ08-O,"Public Administration, defense, social insurance",1983,1913,9
2010,WZ08-P,Education and lessons,96,18,5
2010,WZ08-Q,Health and social affairs,234,100,0
2010,WZ08-R-03,"Art, entertainment and relaxation, other DL",219,61,6
2010,WZ-X006,Remaining branches,81,299,6
2011,WZ08-A,"Agriculture and forestry, fishing",100,9,4
2011,WZ08-B,Mining and extraction of stones and earth,220,195,8
2011,WZ08-C,Processing business,7199,4227,5
2011,WZ08-10-01,Food and tobacco processing industry.,99,12,0
2011,WZ08-13-02,"Textiles, clothing, leather and leather goods",46,8,1
2011,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",156,26,8
2011,WZ08-17-01,"Production of paper, cardboard, and printed materials,",308,33,3
2011,WZ08-19,Petroleum Processing,75,229,9
2011,WZ08-20,Production of chemical products,873,1151,1
2011,WZ08-21,Production of pharmaceutical products,111,126,1
2011,WZ08-22,Production of rubber and plastic goods,462,73,6
2011,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",300,242,6
2011,WZ08-24,Metal generation and processing,567,1162,4
2011,WZ08-25,Production of metal products,1766,367,7
2011,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,486,165,9
2011,WZ08-28,mechanical engineering,1076,247,7
2011,WZ08-29-01,vehicle construction,530,335,2
2011,WZ08-31-02,Production of furniture and other goods,186,16,4
2011,WZ08-33,Repair and installation of machinery and equipment.,158,28,7
2011,WZ08-D,power supply,704,1162,3
2011,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3690,4957,3
2011,WZ08-38,"Collection, waste disposal, recovery",3113,4298,7
2011,WZ08-F,construction industry,3262,1343,3
2011,WZ08-G,"Trade, maintenance and repair of car",1788,593,8
2011,WZ08-H,Transportation and storage,1059,954,4
2011,WZ08-I,Hospitality,34,20,3
2011,WZ08-J,information and communication,68,24,3
2011,WZ08-K,Provision of financial and insurance benefits,43,26,6
2011,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1270,909,0
2011,WZ08-O,"Public Administration, defense, social insurance",1674,1956,2
2011,WZ08-P,Education and lessons,78,8,4
2011,WZ08-Q,Health and social affairs,187,52,6
2011,WZ08-R-03,"Art, entertainment and relaxation, other DL",207,84,6
2011,WZ-X006,Remaining branches,45,582,6
2012,WZ08-A,"Agriculture and forestry, fishing",151,16,7
2012,WZ08-B,Mining and extraction of stones and earth,224,280,0
2012,WZ08-C,Processing business,7138,4179,4
2012,WZ08-10-01,Food and tobacco processing industry.,97,8,9
2012,WZ08-13-02,"Textiles, clothing, leather and leather goods",46,5,9
2012,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",147,25,7
2012,WZ08-17-01,"Production of paper, cardboard, and printed materials,",286,82,5
2012,WZ08-19,Petroleum Processing,76,183,3
2012,WZ08-20,Production of chemical products,858,1119,1
2012,WZ08-21,Production of pharmaceutical products,110,136,4
2012,WZ08-22,Production of rubber and plastic goods,448,78,1
2012,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",300,226,2
2012,WZ08-24,Metal generation and processing,567,1096,1
2012,WZ08-25,Production of metal products,1760,332,8
2012,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,481,127,6
2012,WZ08-28,mechanical engineering,1081,243,2
2012,WZ08-29-01,vehicle construction,533,369,7
2012,WZ08-31-02,Production of furniture and other goods,178,18,9
2012,WZ08-33,Repair and installation of machinery and equipment.,170,125,0
2012,WZ08-D,power supply,697,1351,8
2012,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3777,4649,1
2012,WZ08-38,"Collection, waste disposal, recovery",3215,3960,9
2012,WZ08-F,construction industry,3269,1102,2
2012,WZ08-G,"Trade, maintenance and repair of car",1820,592,5
2012,WZ08-H,Transportation and storage,1042,806,1
2012,WZ08-I,Hospitality,31,20,0
2012,WZ08-J,information and communication,69,33,7
2012,WZ08-K,Provision of financial and insurance benefits,43,34,3
2012,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1313,922,4
2012,WZ08-O,"Public Administration, defense, social insurance",1681,1859,7
2012,WZ08-P,Education and lessons,87,15,6
2012,WZ08-Q,Health and social affairs,193,39,3
2012,WZ08-R-03,"Art, entertainment and relaxation, other DL",192,72,4
2012,WZ-X006,Remaining branches,44,785,4
2013,WZ08-A,"Agriculture and forestry, fishing",109,10,7
2013,WZ08-B,Mining and extraction of stones and earth,210,299,8
2013,WZ08-C,Processing business,7080,4080,2
2013,WZ08-10-01,Food and tobacco processing industry.,89,11,2
2013,WZ08-13-02,"Textiles, clothing, leather and leather goods",46,6,7
2013,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",142,31,2
2013,WZ08-17-01,"Production of paper, cardboard, and printed materials,",262,22,7
2013,WZ08-19,Petroleum Processing,77,192,6
2013,WZ08-20,Production of chemical products,860,1121,8
2013,WZ08-21,Production of pharmaceutical products,112,158,3
2013,WZ08-22,Production of rubber and plastic goods,458,79,9
2013,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",288,172,6
2013,WZ08-24,Metal generation and processing,559,1090,1
2013,WZ08-25,Production of metal products,1756,325,5
2013,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,471,128,8
2013,WZ08-28,mechanical engineering,1095,240,7
2013,WZ08-29-01,vehicle construction,537,370,6
2013,WZ08-31-02,Production of furniture and other goods,179,18,2
2013,WZ08-33,Repair and installation of machinery and equipment.,149,109,4
2013,WZ08-D,power supply,696,1128,9
2013,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3760,4546,8
2013,WZ08-38,"Collection, waste disposal, recovery",3238,3947,1
2013,WZ08-F,construction industry,3408,1212,9
2013,WZ08-G,"Trade, maintenance and repair of car",1882,530,6
2013,WZ08-H,Transportation and storage,1012,911,9
2013,WZ08-I,Hospitality,29,46,0
2013,WZ08-J,information and communication,78,28,5
2013,WZ08-K,Provision of financial and insurance benefits,43,13,4
2013,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1337,952,3
2013,WZ08-O,"Public Administration, defense, social insurance",1664,1892,9
2013,WZ08-P,Education and lessons,78,7,1
2013,WZ08-Q,Health and social affairs,185,35,4
2013,WZ08-R-03,"Art, entertainment and relaxation, other DL",163,37,0
2013,WZ-X006,Remaining branches,20,737,2
2014,WZ08-A,"Agriculture and forestry, fishing",88,11,1
2014,WZ08-B,Mining and extraction of stones and earth,217,264,6
2014,WZ08-C,Processing business,7141,4305,9
2014,WZ08-10-01,Food and tobacco processing industry.,93,14,2
2014,WZ08-13-02,"Textiles, clothing, leather and leather goods",44,9,7
2014,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",150,28,8
2014,WZ08-17-01,"Production of paper, cardboard, and printed materials,",250,32,6
2014,WZ08-19,Petroleum Processing,78,197,6
2014,WZ08-20,Production of chemical products,863,1157,5
2014,WZ08-21,Production of pharmaceutical products,109,199,9
2014,WZ08-22,Production of rubber and plastic goods,457,87,5
2014,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",296,266,2
2014,WZ08-24,Metal generation and processing,564,1104,3
2014,WZ08-25,Production of metal products,1786,337,7
2014,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,476,151,2
2014,WZ08-28,mechanical engineering,1084,251,0
2014,WZ08-29-01,vehicle construction,547,381,5
2014,WZ08-31-02,Production of furniture and other goods,181,17,9
2014,WZ08-33,Repair and installation of machinery and equipment.,163,68,4
2014,WZ08-D,power supply,730,1188,7
2014,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3767,4740,6
2014,WZ08-38,"Collection, waste disposal, recovery",3228,4069,7
2014,WZ08-F,construction industry,3322,1239,2
2014,WZ08-G,"Trade, maintenance and repair of car",1931,538,5
2014,WZ08-H,Transportation and storage,1098,924,8
2014,WZ08-I,Hospitality,27,56,7
2014,WZ08-J,information and communication,87,26,1
2014,WZ08-K,Provision of financial and insurance benefits,34,12,2
2014,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1417,952,8
2014,WZ08-O,"Public Administration, defense, social insurance",1710,2092,0
2014,WZ08-P,Education and lessons,88,8,4
2014,WZ08-Q,Health and social affairs,191,42,3
2014,WZ08-R-03,"Art, entertainment and relaxation, other DL",186,37,1
2014,WZ-X006,Remaining branches,14,461,2
2015,WZ08-A,"Agriculture and forestry, fishing",111,11,8
2015,WZ08-B,Mining and extraction of stones and earth,196,265,2
2015,WZ08-C,Processing business,7198,4319,2
2015,WZ08-10-01,Food and tobacco processing industry.,99,45,4
2015,WZ08-13-02,"Textiles, clothing, leather and leather goods",43,7,0
2015,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",155,51,9
2015,WZ08-17-01,"Production of paper, cardboard, and printed materials,",248,24,6
2015,WZ08-19,Petroleum Processing,81,210,7
2015,WZ08-20,Production of chemical products,861,1210,2
2015,WZ08-21,Production of pharmaceutical products,110,144,0
2015,WZ08-22,Production of rubber and plastic goods,466,91,1
2015,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",284,180,6
2015,WZ08-24,Metal generation and processing,565,1106,2
2015,WZ08-25,Production of metal products,1813,352,1
2015,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,452,127,7
2015,WZ08-28,mechanical engineering,1122,264,1
2015,WZ08-29-01,vehicle construction,538,428,9
2015,WZ08-31-02,Production of furniture and other goods,178,19,7
2015,WZ08-33,Repair and installation of machinery and equipment.,183,55,1
2015,WZ08-D,power supply,717,1161,0
2015,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3727,4668,3
2015,WZ08-38,"Collection, waste disposal, recovery",3231,4002,0
2015,WZ08-F,construction industry,3298,1197,8
2015,WZ08-G,"Trade, maintenance and repair of car",1994,602,5
2015,WZ08-H,Transportation and storage,1144,845,2
2015,WZ08-I,Hospitality,31,82,8
2015,WZ08-J,information and communication,84,29,6
2015,WZ08-K,Provision of financial and insurance benefits,43,44,9
2015,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1602,920,6
2015,WZ08-O,"Public Administration, defense, social insurance",1770,2080,8
2015,WZ08-P,Education and lessons,96,18,5
2015,WZ08-Q,Health and social affairs,219,45,9
2015,WZ08-R-03,"Art, entertainment and relaxation, other DL",177,49,9
2015,WZ-X006,Remaining branches,12,467,5
2016,WZ08-A,"Agriculture and forestry, fishing",105,13,4
2016,WZ08-B,Mining and extraction of stones and earth,187,332,6
2016,WZ08-C,Processing business,7126,4113,1
2016,WZ08-10-01,Food and tobacco processing industry.,101,33,7
2016,WZ08-13-02,"Textiles, clothing, leather and leather goods",35,7,6
2016,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",147,45,2
2016,WZ08-17-01,"Production of paper, cardboard, and printed materials,",230,21,2
2016,WZ08-19,Petroleum Processing,74,232,8
2016,WZ08-20,Production of chemical products,857,1163,5
2016,WZ08-21,Production of pharmaceutical products,111,136,3
2016,WZ08-22,Production of rubber and plastic goods,461,88,9
2016,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",281,154,3
2016,WZ08-24,Metal generation and processing,584,1077,9
2016,WZ08-25,Production of metal products,1828,353,5
2016,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,432,126,0
2016,WZ08-28,mechanical engineering,1122,248,2
2016,WZ08-29-01,vehicle construction,529,368,8
2016,WZ08-31-02,Production of furniture and other goods,159,17,3
2016,WZ08-33,Repair and installation of machinery and equipment.,175,38,0
2016,WZ08-D,power supply,734,1113,0
2016,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3879,4879,0
2016,WZ08-38,"Collection, waste disposal, recovery",3348,4208,8
2016,WZ08-F,construction industry,3353,1358,2
2016,WZ08-G,"Trade, maintenance and repair of car",1934,579,0
2016,WZ08-H,Transportation and storage,1170,935,0
2016,WZ08-I,Hospitality,37,34,7
2016,WZ08-J,information and communication,91,34,3
2016,WZ08-K,Provision of financial and insurance benefits,39,21,8
2016,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1712,1114,4
2016,WZ08-O,"Public Administration, defense, social insurance",1803,2208,7
2016,WZ08-P,Education and lessons,97,13,1
2016,WZ08-Q,Health and social affairs,211,38,4
2016,WZ08-R-03,"Art, entertainment and relaxation, other DL",182,59,3
2016,WZ-X006,Remaining branches,31,504,0
2017,WZ08-A,"Agriculture and forestry, fishing",169,13,9
2017,WZ08-B,Mining and extraction of stones and earth,223,285,0
2017,WZ08-C,Processing business,7179,4360,8
2017,WZ08-10-01,Food and tobacco processing industry.,87,23,3
2017,WZ08-13-02,"Textiles, clothing, leather and leather goods",37,8,4
2017,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",152,46,6
2017,WZ08-17-01,"Production of paper, cardboard, and printed materials,",238,28,3
2017,WZ08-19,Petroleum Processing,74,225,8
2017,WZ08-20,Production of chemical products,867,1243,3
2017,WZ08-21,Production of pharmaceutical products,111,139,6
2017,WZ08-22,Production of rubber and plastic goods,457,92,0
2017,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",296,216,9
2017,WZ08-24,Metal generation and processing,582,1112,4
2017,WZ08-25,Production of metal products,1850,367,2
2017,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,426,111,4
2017,WZ08-28,mechanical engineering,1117,267,4
2017,WZ08-29-01,vehicle construction,554,417,2
2017,WZ08-31-02,Production of furniture and other goods,157,17,8
2017,WZ08-33,Repair and installation of machinery and equipment.,174,43,3
2017,WZ08-D,power supply,790,1111,1
2017,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3872,4962,1
2017,WZ08-38,"Collection, waste disposal, recovery",3365,4304,0
2017,WZ08-F,construction industry,3474,1340,5
2017,WZ08-G,"Trade, maintenance and repair of car",1910,579,0
2017,WZ08-H,Transportation and storage,1203,745,1
2017,WZ08-I,Hospitality,24,8,3
2017,WZ08-J,information and communication,89,23,5
2017,WZ08-K,Provision of financial and insurance benefits,47,14,9
2017,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1836,1159,5
2017,WZ08-O,"Public Administration, defense, social insurance",1900,2173,0
2017,WZ08-P,Education and lessons,99,23,3
2017,WZ08-Q,Health and social affairs,232,52,6
2017,WZ08-R-03,"Art, entertainment and relaxation, other DL",173,47,4
2017,WZ-X006,Remaining branches,37,527,5
2018,WZ08-A,"Agriculture and forestry, fishing",192,42,5
2018,WZ08-B,Mining and extraction of stones and earth,225,184,2
2018,WZ08-C,Processing business,7246,4667,8
2018,WZ08-10-01,Food and tobacco processing industry.,97,22,3
2018,WZ08-13-02,"Textiles, clothing, leather and leather goods",40,8,1
2018,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",150,44,6
2018,WZ08-17-01,"Production of paper, cardboard, and printed materials,",231,37,1
2018,WZ08-19,Petroleum Processing,69,233,5
2018,WZ08-20,Production of chemical products,874,1378,6
2018,WZ08-21,Production of pharmaceutical products,112,168,5
2018,WZ08-22,Production of rubber and plastic goods,452,89,4
2018,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",291,255,6
2018,WZ08-24,Metal generation and processing,602,1154,8
2018,WZ08-25,Production of metal products,1862,375,9
2018,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,422,118,1
2018,WZ08-28,mechanical engineering,1121,323,8
2018,WZ08-29-01,vehicle construction,544,395,5
2018,WZ08-31-02,Production of furniture and other goods,160,22,1
2018,WZ08-33,Repair and installation of machinery and equipment.,219,39,8
2018,WZ08-D,power supply,784,1073,0
2018,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3881,4905,4
2018,WZ08-38,"Collection, waste disposal, recovery",3319,4234,1
2018,WZ08-F,construction industry,3771,1455,0
2018,WZ08-G,"Trade, maintenance and repair of car",1869,592,9
2018,WZ08-H,Transportation and storage,1214,799,2
2018,WZ08-I,Hospitality,26,4,0
2018,WZ08-J,information and communication,76,24,9
2018,WZ08-K,Provision of financial and insurance benefits,50,22,6
2018,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1888,1241,9
2018,WZ08-O,"Public Administration, defense, social insurance",1919,2420,8
2018,WZ08-P,Education and lessons,107,38,3
2018,WZ08-Q,Health and social affairs,220,49,7
2018,WZ08-R-03,"Art, entertainment and relaxation, other DL",186,43,8
2018,WZ-X006,Remaining branches,25,538,2
2019,WZ08-A,"Agriculture and forestry, fishing",187,16,0
2019,WZ08-B,Mining and extraction of stones and earth,200,170,6
2019,WZ08-C,Processing business,7264,4355,6
2019,WZ08-10-01,Food and tobacco processing industry.,84,10,6
2019,WZ08-13-02,"Textiles, clothing, leather and leather goods",41,8,2
2019,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",149,45,7
2019,WZ08-17-01,"Production of paper, cardboard, and printed materials,",235,28,8
2019,WZ08-19,Petroleum Processing,77,239,7
2019,WZ08-20,Production of chemical products,882,1280,8
2019,WZ08-21,Production of pharmaceutical products,117,135,3
2019,WZ08-22,Production of rubber and plastic goods,445,93,6
2019,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",298,178,8
2019,WZ08-24,Metal generation and processing,596,1215,0
2019,WZ08-25,Production of metal products,1872,356,1
2019,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,424,102,4
2019,WZ08-28,mechanical engineering,1124,251,5
2019,WZ08-29-01,vehicle construction,559,349,2
2019,WZ08-31-02,Production of furniture and other goods,158,20,0
2019,WZ08-33,Repair and installation of machinery and equipment.,203,39,9
2019,WZ08-D,power supply,789,1086,0
2019,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3958,5183,9
2019,WZ08-38,"Collection, waste disposal, recovery",3417,4494,5
2019,WZ08-F,construction industry,4036,1440,3
2019,WZ08-G,"Trade, maintenance and repair of car",1897,642,8
2019,WZ08-H,Transportation and storage,1240,591,1
2019,WZ08-I,Hospitality,29,13,8
2019,WZ08-J,information and communication,85,24,7
2019,WZ08-K,Provision of financial and insurance benefits,48,12,9
2019,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1936,1293,5
2019,WZ08-O,"Public Administration, defense, social insurance",1978,2426,3
2019,WZ08-P,Education and lessons,112,61,0
2019,WZ08-Q,Health and social affairs,229,54,1
2019,WZ08-R-03,"Art, entertainment and relaxation, other DL",185,31,6
2019,WZ-X006,Remaining branches,32,551,1
2020,WZ08-A,"Agriculture and forestry, fishing",136,11,9
2020,WZ08-B,Mining and extraction of stones and earth,174,136,5
2020,WZ08-C,Processing business,7191,4068,9
2020,WZ08-10-01,Food and tobacco processing industry.,90,17,0
2020,WZ08-13-02,"Textiles, clothing, leather and leather goods",40,8,1
2020,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",151,45,3
2020,WZ08-17-01,"Production of paper, cardboard, and printed materials,",223,39,7
2020,WZ08-19,Petroleum Processing,79,223,3
2020,WZ08-20,Production of chemical products,874,1137,2
2020,WZ08-21,Production of pharmaceutical products,117,122,7
2020,WZ08-22,Production of rubber and plastic goods,443,83,6
2020,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",315,235,9
2020,WZ08-24,Metal generation and processing,571,1113,4
2020,WZ08-25,Production of metal products,1848,327,2
2020,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,418,97,3
2020,WZ08-28,mechanical engineering,1113,229,6
2020,WZ08-29-01,vehicle construction,555,320,4
2020,WZ08-31-02,Production of furniture and other goods,160,20,1
2020,WZ08-33,Repair and installation of machinery and equipment.,194,48,1
2020,WZ08-D,power supply,807,1165,8
2020,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3935,5010,3
2020,WZ08-38,"Collection, waste disposal, recovery",3359,4354,4
2020,WZ08-F,construction industry,4222,1440,6
2020,WZ08-G,"Trade, maintenance and repair of car",1974,585,5
2020,WZ08-H,Transportation and storage,1288,774,2
2020,WZ08-I,Hospitality,27,4,4
2020,WZ08-J,information and communication,88,22,7
2020,WZ08-K,Provision of financial and insurance benefits,46,18,6
2020,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",2075,1713,5
2020,WZ08-O,"Public Administration, defense, social insurance",2078,2619,1
2020,WZ08-P,Education and lessons,114,52,8
2020,WZ08-Q,Health and social affairs,237,61,9
2020,WZ08-R-03,"Art, entertainment and relaxation, other DL",198,56,0
2020,WZ-X006,Remaining branches,26,573,9
2021,WZ08-A,"Agriculture and forestry, fishing",108,8,1
2021,WZ08-B,Mining and extraction of stones and earth,178,142,5
2021,WZ08-C,Processing business,7073,4331,1
2021,WZ08-10-01,Food and tobacco processing industry.,88,9,7
2021,WZ08-13-02,"Textiles, clothing, leather and leather goods",39,7,7
2021,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",142,48,4
2021,WZ08-17-01,"Production of paper, cardboard, and printed materials,",216,50,1
2021,WZ08-19,Petroleum Processing,83,258,0
2021,WZ08-20,Production of chemical products,857,1219,0
2021,WZ08-21,Production of pharmaceutical products,122,129,2
2021,WZ08-22,Production of rubber and plastic goods,429,83,5
2021,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",312,206,5
2021,WZ08-24,Metal generation and processing,575,1258,2
2021,WZ08-25,Production of metal products,1858,336,7
2021,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,414,102,1
2021,WZ08-28,mechanical engineering,1070,227,2
2021,WZ08-29-01,vehicle construction,547,323,0
2021,WZ08-31-02,Production of furniture and other goods,154,18,9
2021,WZ08-33,Repair and installation of machinery and equipment.,167,53,0
2021,WZ08-D,power supply,843,1074,6
