GENESIS table: 32141-0002
Rubble processing plants: Germany, years,;;;;;;
types of waste;;;;;;
Processing, utilization of construction and demolition waste;;;;;;
Germany;;;;;;
;;;Building waste processing plants;Input from building rubble processing plants;Building waste processing plants with output;Output from building rubble processing plants
2006;EAV-19120900-U; Mechanical waste treatment: minerals (sand, stones);21;295.4;21;434.8
2006;EAV-19120901-U; Products for use in road and Road construction;-;-;1632;36308.6
2006;EAV-19120902-U; Products for use in other earthworks;-;-;1030;14179.2
2006;EAV-19120903-U; products f.d. Use in concrete mixing plants;-;-;89;788.5
2006;EAV-19120904-U; Products for use in asphalt mixing plants;-;-;233;4052.3
2006;EAV-19120905-U; Products for other uses;-;-;252;2334.9
2006;EAV-19120906-U; Hot mix for road and path construction;-;-;9;51.5
2006;EAV-191210-U; Combustible waste (fuel from waste);-;-;3;0.3
2006;EAV-191211-G; Other waste (including mixed materials);-;-;6;8.4
2006;EAV-191212-U; Other waste (without 191211);6;72.9;286;509.8
2006;EAV-191302-U; Solid waste from soil remediation (oh.191301);-;-;-;-
2006;EAV-20;Municipal waste (household waste and similar waste);26;79.5;7;10.0
2006;EAV-200101-U; paper and cardboard;-;-;-;-
2006;EAV-200102-U; Glass;-;-;-;-
2006;EAV-200135-G; Used electrical equipment (oh.200121,200123);-;-;-;-
2006;EAV-200137-G; wood containing dangerous substances;-;-;-;-
2006;EAV-200138-U; Wood (without 200137);3;3.2;-;-
2006;EAV-200140-U; metals;-;-;-;-
2006;EAV-200201-U; Biodegradable waste;6;3.0;3;0.3
2006;EAV-200202-U; soil and stones;10;56.5;-;-
2006;EAV-200203-U; Other non-biodegradable waste;-;-;-;-
2006;EAV-20030100-U; Mixed municipal waste cannot be differentiated;3;2.7;-;-
2006;EAV-20030101-U; Household waste, commercial waste similar to household waste;-;-;-;-
2006;EAV-200303-U; Street sweepings;6;13.5;-;-
2006;EAV-200306-U; Sewer cleaning waste;-;-;-;-
2006;EAV-200307-U; Bulky waste;3;0.6;-;-
2006;EAV-200399-U; Municipal waste not otherwise specified;-;-;-;-
2006;EAV-99;Hazardous waste;80;791.9;37;26.7
2006;EAV-990000-G; Total hazardous waste;80;791.9;37;26.7
2008;EAV-01;Wastes from the extraction of mineral resources;-;-;-;-
2008;EAV-010413-U; Waste from stonemasonry and sawing work (without 010407);-;-;-;-
2008;EAV-02;Waste from agriculture, forestry, etc.;-;-;-;-
2008;EAV-020401-U; Sugar production: beet soil;-;-;-;-
2008;EAV-03;waste from wood processing, etc.;-;-;-;-
2008;EAV-030310-U; Fiber waste, fiber, filler and coating sludge;-;-;-;-
2008;EAV-05;Waste from petroleum refining, natural gas purification;-;-;-;-
2008;EAV-050117-U; Petroleum refining: bitumen;-;-;-;-
2008;EAV-06;Waste from inorganic chemical processes;-;-;-;-
2008;EAV-060899-U; silicon, silicon compounds: waste not otherwise specified;-;-;-;-
2008;EAV-10;Wastes from thermal processes;36;258.5;3;29.0
2008;EAV-100101-U; rust and Boiler ash, slag, boiler st. (oh.100104);6;48.0;-;-
2008;EAV-100117-U; fly ash from waste co-incineration (oh.100116);-;-;-;-
2008;EAV-100201-U; Iron, steel ind.: waste from slag processing;-;-;-;-
2008;EAV-100202-U; Iron, steel ind.: unprocessed slag;5;19.8;-;-
2008;EAV-100501-U; Zinc metallurgy: slags (first and second smelting);-;-;-;-
2008;EAV-100503-G; zinc metallurgy: filter dust;-;-;-;-
2008;EAV-100903-U; Iron,steel: furnace slag;9;85.0;-;-
2008;EAV-100906-U; Casting molds and sand before casting (oh.100905);-;-;-;-
2008;EAV-100908-U; Casting molds and sand after casting (without 100907);3;70.0;-;-
2008;EAV-101008-U; Casting molds and sands after casting (oh. 101007);-;-;-;-
2008;EAV-101112-U; Glass waste (without 101111);-;-;-;-
2008;EAV-101201-U; Ceramic products: raw mixtures before firing;-;-;-;-
2008;EAV-101203-U; Ceramic products: particles and dust;-;-;-;-
2008;EAV-101208-U; Waste from ceramic products, bricks, etc.;3;0.1;-;-
2008;EAV-101210-U; Solid waste from flue gas treatment (excluding 101209);-;-;-;-
2008;EAV-101304-U; Waste from calcination, hydration from quicklime;-;-;-;-
2008;EAV-101311-U; Composite waste (excluding 101309, 101310);3;2.1;-;-
2008;EAV-101314-U; Concrete waste and concrete sludge;9;4.8;-;-
2008;EAV-12;Waste from mechanical shaping processes;-;-;-;-
2008;EAV-120101-U; Iron filings and turnings;-;-;-;-
2008;EAV-120103-U; Non-ferrous metal filings and turnings;-;-;-;-
2008;EAV-120105-U; Plastic shavings and turnings;-;-;-;-
2008;EAV-120117-U; Abrasive waste (without 120116);-;-;-;-
2008;EAV-13;Oil waste and liquid fuel waste;-;-;4;0.0
2008;EAV-130205-G; Non-chlorinated machine, gear and Lubricating oils;-;-;4;0.0
2008;EAV-130208-G; Other machine, gear and lubricating oils;-;-;-;-
2008;EAV-130501-G; Solid waste from sand traps and oil/water separator;-;-;-;-
2008;EAV-15;Packaging waste, absorbent masses, wipes;6;4.0;10;1.1
2008;EAV-150101-U; Paper and cardboard packaging;-;-;-;-
2008;EAV-150102-U; Plastic packaging;-;-;-;-
2008;EAV-150103-U; Wooden packaging;-;-;-;-
2008;EAV-15010600-U; Mixed packs not differentiable;4;1.8;3;0.3
2008;EAV-150107-U; Glass packaging;-;-;-;-
2008;EAV-150202-G; Absorbent and filter materials, wipes;-;-;-;-
2008;EAV-150203-U; Absorption and filter materials (without 150202);-;-;-;-
2008;EAV-16;Wastes not included elsewhere in the inventory;12;27.2;-;-
2008;EAV-160103-U; used tires;-;-;-;-
2008;EAV-160119-U; Old vehicles: plastics;-;-;-;-
2008;EAV-161104-U; Refractory mat. from metallurg. percent (oh.161103);10;25.7;-;-
2008;EAV-161106-U; Refractory material a. non-metallurgical proc.(oh.161105);4;1.5;-;-
2008;EAV-17;Construction and demolition waste;2051;63345.7;106;1089.1
2008;EAV-170101-U; Concrete;1562;21725.5;3;64.4
2008;EAV-170102-U; Brick;957;5682.8;3;47.8
2008;EAV-170103-U; Tiles and ceramics;473;1135.9;-;-
2008;EAV-170106-G; Mixtures from o. separate fractions v. Concrete, etc.;8;14.0;-;-
2008;EAV-170107-U; Mixtures of concrete, bricks, etc. (oh.170106);1047;15793.0;10;81.3
2008;EAV-170201-U; Wood;37;37.9;13;6.5
2008;EAV-170202-U; Glass;8;0.5;-;-
2008;EAV-170203-U; Plastic;-;-;-;-
2008;EAV-170204-G; Glass, plastic and wood containing hazardous substances;7;19.0;3;0.0
2008;EAV-170301-G; Bituminous mixtures containing coal tar;61;724.2;39;349.2
2008;EAV-170302-U; Bitumen mixtures (without 170301);1059;8745.3;7;28.5
2008;EAV-170303-G; Coal tar and tarry products;19;33.8;8;16.6
2008;EAV-170402-U; Aluminum;-;-;-;-
2008;EAV-170403-U; Lead;-;-;-;-
2008;EAV-170405-U; Iron and Steel;7;0.7;9;1.9
2008;EAV-170407-U; Mixed metals;-;-;-;-
2008;EAV-170411-U; Cable (without 170410);-;-;-;-
2008;EAV-170503-G; Soil and stones containing dangerous substances;3;68.4;-;-
2008;EAV-170504-U; soil and stones (without 170503);701;7815.4;25;447.2
2008;EAV-170506-U; dredged material (without 170505);5;17.0;-;-
2008;EAV-170507-G; Track ballast containing dangerous substances;6;200.4;-;-
2008;EAV-170508-U; Track ballast (without 170507);53;1045.3;-;-
2008;EAV-170601-G; insulation material containing asbestos;-;-;-;-
2008;EAV-170603-G; Other insulation material;-;-;3;0.1
2008;EAV-170604-U; Insulating material (without 170601 and 170603);-;-;-;-
2008;EAV-170605-G; Building materials containing asbestos;6;0.3;7;0.2
2008;EAV-170802-U; Gypsum-based building materials (excluding 170801);62;36.1;9;8.1
2008;EAV-170903-G; Other construction and demolition waste;-;-;-;-
2008;EAV-170904-U; Mixed construction and demolition waste (oh.170901-170903);71;235.6;37;17.8
2008;EAV-19;Waste from waste treatment plants etc.;45;323.5;2048;62267.9
2008;EAV-190111-G; Combustion, pyrolysis: grate, boiler ashes, slag;-;-;-;-
2008;EAV-190112-U; Bottom ash and slag (oh.190111);20;176.2;-;-
2008;EAV-190113-G; Combustion.,Pyrolysis: Filter dust with haz. St.;-;-;-;-
2008;EAV-190114-U; Filter dust (without 190113);-;-;-;-
2008;EAV-190118-U; Pyrolysis waste (without 190117);-;-;-;-
2008;EAV-19029950-U; Products resulting from waste treatment;-;-;6;188.8
2008;EAV-190503-U; Out of specification compost;-;-;-;-
2008;EAV-190801-U; Sieve and rake residue;-;-;-;-
2008;EAV-190802-U; Sand trap residues;-;-;-;-
2008;EAV-190903-U; decarbonization sludges;-;-;-;-
2008;EAV-19120100-U; Mechanical waste treatment: paper, cardboard not diff.;-;-;128;5.9
2008;EAV-191202-U; Mechanical waste treatment: ferrous metals;-;-;774;204.8
2008;EAV-191203-U; Mechanical waste treatment: non-ferrous metals;-;-;144;9.3
2008;EAV-191204-U; Mechanical waste treatment: plastic and rubber;-;-;213;13.9
2008;EAV-19120500-U; Mechanical waste treatment: glass not differentiable;-;-;-;-
2008;EAV-19120505-U; Mechanical waste treatment: mixed glass;-;-;-;-
2008;EAV-191206-G; Mechanical waste treatment: wood with hazardous Substances;-;-;9;39.6
2008;EAV-191207-U; Wood (without 191206);-;-;403;530.5
2008;EAV-191208-U; Mechanical waste treatment: textiles;-;-;-;-
2008;EAV-19120900-U; Mechanical waste treatment: minerals (sand, stones);16;86.0;22;709.1
2008;EAV-19120901-U; Products for use in road and Road construction;-;-;1643;37169.4
2008;EAV-19120902-U; Products for use in other earthworks;-;-;1068;14477.2
2008;EAV-19120903-U; products f.d. Use in concrete mixing plants;-;-;81;849.6
2008;EAV-19120904-U; Products for use in asphalt mixing plants;-;-;280;4416.1
2008;EAV-19120905-U; Products for other uses;-;-;244;2321.2
2008;EAV-19120906-U; Hot mix for road and path construction;-;-;-;-
2008;EAV-191210-U; Combustible waste (fuel from waste);-;-;-;-
2008; EAV-191211-G; Other waste (including material mixes);-;-;-;-
2008;EAV-191212-U; Other waste (without 191211);8;26.5;307;1282.9
2008;EAV-191302-U; Solid waste from soil remediation (oh.191301);-;-;-;-
2008;EAV-20;Municipal waste (household waste and similar waste);30;69.6;9;1.3
2008;EAV-200101-U; paper and cardboard;-;-;-;-
2008;EAV-200102-U; Glass;-;-;-;-
2008;EAV-200135-G; Used electrical equipment (oh.200121,200123);-;-;-;-
2008;EAV-200137-G; wood containing dangerous substances;-;-;-;-
2008;EAV-200138-U; Wood (without 200137);3;5.1;-;-
2008;EAV-200140-U; metals;-;-;-;-
2008;EAV-200201-U; Biodegradable waste;12;7.7;-;-
2008;EAV-200202-U; soil and stones;7;33.4;-;-
2008;EAV-200203-U; Other non-biodegradable waste;-;-;-;-
2008;EAV-20030100-U; Mixed municipal waste cannot be differentiated;-;-;-;-
2008;EAV-20030101-U; Household waste, commercial waste similar to household waste;-;-;-;-
2008;EAV-200303-U; Street sweepings;9;17.1;-;-
2008;EAV-200306-U; Sewer cleaning waste;-;-;-;-
2008;EAV-200307-U; bulky waste;-;-;-;-
2008;EAV-200399-U; Municipal waste not otherwise specified;-;-;-;-
2008;EAV-99;Hazardous waste;89;1082.0;63;416.3
2008;EAV-990000-G; Total hazardous waste;89;1082.0;63;416.3
2010;EAV-01;Wastes from the extraction of mineral resources;-;-;-;-
2010;EAV-010413-U; Waste from stonemasonry and sawing work (without 010407);-;-;-;-
2010;EAV-02;Waste from agriculture, forestry, etc.;-;-;-;-
2010;EAV-020401-U; Sugar production: beet soil;-;-;-;-
2010;EAV-03;waste from wood processing, etc.;-;-;-;-
2010;EAV-030310-U; Fiber waste, fiber, filler and coating sludge;-;-;-;-
2010;EAV-05;Waste from petroleum refining, natural gas purification;-;-;-;-
2010;EAV-050117-U; Petroleum refining: bitumen;-;-;-;-
2010;EAV-06;Waste from inorganic chemical processes;-;-;-;-
2010;EAV-060899-U; silicon, silicon compounds: waste not otherwise specified;-;-;-;-
2010;EAV-10;waste from thermal processes;22;184.5;-;-
2010;EAV-100101-U; rust and Boiler ash, slag, boiler fuel (oh.100104);4;35.0;-;-
2010;EAV-100117-U; fly ash from waste co-incineration (oh.100116);-;-;-;-
2010;EAV-100201-U; Iron, steel ind.: waste from slag processing;-;-;-;-
2010;EAV-100202-U; Iron, steel ind.: unprocessed slag;8;58.1;-;-
2010;EAV-100501-U; Zinc metallurgy: slags (first and second smelting);-;-;-;-
2010;EAV-100503-G; zinc metallurgy: filter dust;-;-;-;-
2010;EAV-100903-U; Iron,steel: furnace slag;7;11.5;-;-
2010;EAV-100906-U; Casting molds and sand before casting (oh.100905);-;-;-;-
2010;EAV-100908-U; Casting molds and sands after casting (without 100907);4;36.4;-;-
2010;EAV-101008-U; Casting molds and sands after casting (without 101007);3;12.2;-;-
2010;EAV-101112-U; Glass waste (without 101111);-;-;-;-
2010;EAV-101201-U; Ceramic products: raw mixtures before firing;-;-;-;-
2010;EAV-101203-U; Ceramic products: particles and dust;-;-;-;-
2010;EAV-101208-U; Waste from ceramic products, bricks, etc.;-;-;-;-
2010;EAV-101210-U; Solid waste from flue gas treatment (excluding 101209);-;-;-;-
2010;EAV-101304-U; Waste from calcination, hydration from quicklime;-;-;-;-
2010;EAV-101311-U; Composite waste (excl. 101309, 101310);3;4.1;-;-
2010;EAV-101314-U; Concrete waste and concrete sludge;4;3.0;-;-
2010;EAV-12;Waste from mechanical shaping processes;-;-;-;-
2010;EAV-120101-U; Iron filings and turnings;-;-;-;-
2010;EAV-120103-U; Non-ferrous metal filings and turnings;-;-;-;-
2010;EAV-120105-U; Plastic shavings and turnings;-;-;-;-
2010;EAV-120117-U; Abrasive waste (without 120116);-;-;-;-
2010;EAV-13;Oil waste and liquid fuel waste;-;-;4;0.0
2010;EAV-130205-G; Non-chlorinated machine, gear and Lubricating oils;-;-;4;0.0
2010;EAV-130208-G; Other machine, gear and lubricating oils;-;-;-;-
2010;EAV-130501-G; Solid waste from sand traps and oil/water separator;-;-;-;-
2010;EAV-15;Packaging waste, absorbent masses, wipes;9;3.4;6;0.1
2010;EAV-150101-U; Paper and cardboard packaging;-;-;-;-
2010;EAV-150102-U; Plastic packaging;-;-;-;-
2010;EAV-150103-U; Wooden packaging;-;-;-;-
2010;EAV-15010600-U; Mixed packaging not differentiable;8;3,2;-;-
2010;EAV-150107-U; Glass packaging;-;-;-;-
2010;EAV-150202-G; Absorbent and filter materials, wipes;-;-;4;0.0
2010;EAV-150203-U; Absorption and filter materials (without 150202);-;-;-;-
2010;EAV-16;Wastes not included elsewhere in the inventory;3;4.9;-;-
2010;EAV-160103-U; used tires;-;-;-;-
2010;EAV-160119-U; Old vehicles: plastics;-;-;-;-
2010;EAV-161104-U; Refractory mat. from metallurg. Perc. (oh.161103);-;-;-;-
2010;EAV-161106-U; Refractory material a. non-metallurgical process.(oh.161105);-;-;-;-
2010;EAV-17;Construction and demolition waste;2070;62089.1;190;1564.0
2010;EAV-170101-U; Concrete;1590;21955.1;12;119.5
2010;EAV-170102-U; Brick;992;4625.3;8;34.4
2010;EAV-170103-U; Tiles and ceramics;475;941.7;-;-
2010;EAV-170106-G; Mixtures from o. separate fractions v. Concrete, etc.;5;14.3;3;0.8
2010;EAV-170107-U; Mixtures of concrete, bricks, etc. (oh.170106);1077;14049.6;13;62.7
2010;EAV-170201-U; Wood;46;62.9;11;5.0
2010;EAV-170202-U; Glass;6;0.2;3;0.1
2010;EAV-170203-U; Plastic;4;0.2;-;-
2010;EAV-170204-G; Glass, plastic and wood with hazardous substances;13;9.8;6;0.1
2010;EAV-170301-G; Bituminous mixtures containing coal tar;141;1054.8;107;691.5
2010;EAV-170302-U; Bitumen mixtures (without 170301);1093;9229.7;16;34.0
2010;EAV-170303-G; Coal tar and tarry products;23;2.4;13;1.2
2010;EAV-170402-U; Aluminum;-;-;-;-
2010;EAV-170403-U; Lead;-;-;-;-
2010;EAV-170405-U; Iron and Steel;12;5.2;9;3.5
2010;EAV-170407-U; Mixed metals;5;1.7;5;1.4
2010;EAV-170411-U; Cable (without 170410);-;-;-;-
2010;EAV-170503-G; Soil and stones containing dangerous substances;5;13.2;-;-
2010;EAV-170504-U; soil and stones (without 170503);792;8241.4;32;557.2
2010;EAV-170506-U; dredged material (without 170505);8;85.2;-;-
2010;EAV-170507-G; Track ballast containing dangerous substances;7;89.7;-;-
2010;EAV-170508-U; Track ballast (without 170507);67;1424.5;3;27.0
2010;EAV-170601-G; insulation material containing asbestos;-;-;-;-
2010;EAV-170603-G; Other insulation material;12;0.1;10;0.2
2010;EAV-170604-U; Insulating material (without 170601 and 170603);5;0.3;-;-
2010;EAV-170605-G; Building materials containing asbestos;21;1.8;14;1.0
2010;EAV-170802-U; Gypsum-based building materials (without 170801);70;45.7;10;0.7
2010;EAV-170903-G; Other construction and demolition waste;-;-;-;-
2010;EAV-170904-U; Mixed construction and demolition waste (oh.170901-170903);67;233.9;26;18.8
2010;EAV-19;Waste from waste treatment plants etc.;27;140.8;2061;58827.5
2010;EAV-190111-G; Combustion, pyrolysis: grate, boiler ashes, slag;-;-;-;-
2010;EAV-190112-U; Bottom ash and slag (oh.190111);-;-;-;-
2010;EAV-190113-G; Combustion.,Pyrolysis: Filter dust with haz. St.;-;-;-;-
2010;EAV-190114-U; Filter dust (without 190113);-;-;-;-
2010;EAV-190118-U; Pyrolysis waste (without 190117);-;-;-;-
2010;EAV-19029950-U; Products resulting from waste treatment;-;-;12;918.1
2010;EAV-190503-U; Out of specification compost;-;-;-;-
2010;EAV-190801-U; Sieve and rake residue;-;-;-;-
2010;EAV-190802-U; Sand trap residues;4;1.7;-;-
2010;EAV-190903-U; decarbonization sludges;-;-;-;-
2010;EAV-19120100-U; Mechanical waste treatment: paper, cardboard not diff.;-;-;138;36.1
2010;EAV-191202-U; Mechanical waste treatment: ferrous metals;-;-;793;198.4
2010;EAV-191203-U; Mechanical waste treatment: non-ferrous metals;-;-;138;5.6
2010;EAV-191204-U; Mechanical waste treatment: plastic and rubber;-;-;156;8.5
2010;EAV-19120500-U; Mechanical waste treatment: glass not differentiable;-;-;-;-
2010;EAV-19120505-U; Mechanical waste treatment: mixed glass;-;-;-;-
2010;EAV-191206-G; Mechanical waste treatment: wood with hazardous Substances;-;-;15;37.7
2010;EAV-191207-U; Wood (without 191206);-;-;354;101.6
2010;EAV-191208-U; Mechanical waste treatment: textiles;-;-;-;-
2010;EAV-19120900-U; Mechanical waste treatment: minerals (sand, stones);15;57.4;40;106.3
2010;EAV-19120901-U; Products for use in road and Road construction;-;-;1655;35142.0
2010;EAV-19120902-U; Products for use in other earthworks;-;-;1145;14553.4
2010;EAV-19120903-U; products f.d. Use in concrete mixing plants;-;-;85;480.0
2010;EAV-19120904-U; Products for use in asphalt mixing plants;-;-;275;4714.6
2010;EAV-19120905-U; Products for other uses;-;-;257;2238.4
2010;EAV-19120906-U; Hot mix for road and path construction;-;-;-;-
2010;EAV-191210-U; Combustible waste (fuel from waste);-;-;3;36.2
2010;EAV-191211-G; Other waste (including mixed materials);-;-;4;10.9
2010;EAV-191212-U; Other waste (without 191211);7;8.3;362;236.7
2010;EAV-191302-U; Solid waste from soil remediation (oh.191301);-;-;-;-
2010;EAV-20;Municipal waste (household waste and similar waste);43;103.1;12;37.4
2010;EAV-200101-U; paper and cardboard;3;21.1;-;-
2010;EAV-200102-U; Glass;-;-;-;-
2010;EAV-200135-G; Used electrical equipment (oh.200121,200123);-;-;-;-
2010;EAV-200137-G; wood containing dangerous substances;-;-;-;-
2010;EAV-200138-U; Wood (without 200137);-;-;-;-
2010;EAV-200140-U; metals;-;-;-;-
2010;EAV-200201-U; Biodegradable waste;15;37.7;9;24.2
2010;EAV-200202-U; soil and stones;10;13.8;-;-
2010;EAV-200203-U; Other non-biodegradable waste;-;-;-;-
2010;EAV-20030100-U; Mixed municipal waste cannot be differentiated;6;17.5;-;-
2010;EAV-20030101-U; Household waste, commercial waste similar to household waste;-;-;-;-
2010;EAV-200303-U; Street sweepings;18;11.6;-;-
2010;EAV-200306-U; Sewer cleaning waste;-;-;-;-
2010;EAV-200307-U; Bulky waste;3;1.2;-;-
2010;EAV-200399-U; Municipal waste not otherwise specified;-;-;-;-
2010;EAV-99;Hazardous waste;169;1186.7;146;748.2
2010;EAV-990000-G; Total hazardous waste;169;1186.7;146;748.2
2012;EAV-01;Wastes from the extraction of mineral resources;3;1.1;-;-
