GENESIS-Tabelle: 32161-0002
Betriebe, erzeugte Abfallmenge: Deutschland, Jahre,;;;;;;
Wirtschaftszweige, Abfallarten;;;;;;
Erhebung über die Abfallerzeugung;;;;;;
Deutschland;;;;;;
;;;;;Betriebe;Erzeugte Abfallmenge
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;426;11,4
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-17;Bau- und Abbruchabfälle;601;128,2
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-18;Abfälle aus der medizinischen Versorgung;7;0,7
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;224;251,0
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);1379;432,0
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;;Insgesamt;1439;6963,2
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;13;0,1
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-03;Abfälle aus der Holzbearbeitung u.a.;5;0,1
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;332;103,9
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;22;0,1
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-07;Abfälle aus organisch-chemischen Prozessen;92;10,1
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;113;2,8
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-09;Abfälle aus der fotografischen Industrie;3;0,0
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-10;Abfälle aus thermischen Prozessen;11;2,5
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;7;0,0
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;47;0,6
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;155;1,2
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;42;0,1
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;559;53,0
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;119;0,7
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-17;Bau- und Abbruchabfälle;205;8,4
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;54;13,1
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);626;36,0
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;;Insgesamt;645;232,8
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;9;0,2
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-03;Abfälle aus der Holzbearbeitung u.a.;242;3272,2
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-06;Abfälle aus anorganisch-chemischen Prozessen;14;0,1
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-07;Abfälle aus organisch-chemischen Prozessen;34;1,0
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;126;5,4
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-09;Abfälle aus der fotografischen Industrie;-;-
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-10;Abfälle aus thermischen Prozessen;149;178,8
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;6;0,0
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;61;3,6
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;122;1,8
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;27;1,1
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;312;43,6
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;82;1,1
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-17;Bau- und Abbruchabfälle;181;35,8
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;36;47,9
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);385;42,7
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);;Insgesamt;401;3635,4
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;66;2,0
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-03;Abfälle aus der Holzbearbeitung u.a.;492;5629,6
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;13;16,4
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;69;4,9
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-07;Abfälle aus organisch-chemischen Prozessen;263;36,0
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;794;49,1
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-09;Abfälle aus der fotografischen Industrie;439;17,7
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-10;Abfälle aus thermischen Prozessen;39;450,7
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;69;2,2
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;152;12,0
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;504;20,9
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;337;4,8
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;1069;559,8
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;358;12,0
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-17;Bau- und Abbruchabfälle;491;77,6
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-18;Abfälle aus der medizinischen Versorgung;3;0,0
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;174;216,3
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);1245;885,8
2010;WZ08-17-03;Papier- und Druckgewerbe;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-17-03;Papier- und Druckgewerbe;;Insgesamt;1267;7998,0
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;7;0,3
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;25;28,9
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;18;32,4
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-07;Abfälle aus organisch-chemischen Prozessen;28;8,0
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;12;0,0
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-09;Abfälle aus der fotografischen Industrie;-;-
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-10;Abfälle aus thermischen Prozessen;9;31,5
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;5;0,1
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;24;4,8
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;35;20,2
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;16;1,4
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;48;5,6
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;39;19,2
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-17;Bau- und Abbruchabfälle;34;79,6
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-18;Abfälle aus der medizinischen Versorgung;4;0,0
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;17;22,1
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);47;8,8
2010;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-19;Kokerei und Mineralölverarbeitung;;Insgesamt;48;263,0
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;23;1399,1
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;256;288,5
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-03;Abfälle aus der Holzbearbeitung u.a.;74;35,2
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;36;12,1
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;31;11,6
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;456;490,1
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-07;Abfälle aus organisch-chemischen Prozessen;1711;1811,1
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;900;96,0
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-09;Abfälle aus der fotografischen Industrie;36;2,1
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-10;Abfälle aus thermischen Prozessen;147;144,3
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;217;47,5
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;945;86,8
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;1344;38,0
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;579;18,7
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;2670;476,9
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;1225;137,9
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-17;Bau- und Abbruchabfälle;1388;960,3
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-18;Abfälle aus der medizinischen Versorgung;125;47,2
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;396;1139,7
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);2860;351,0
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;;Insgesamt;2963;7594,2
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;41;263,6
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;49;0,5
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-03;Abfälle aus der Holzbearbeitung u.a.;62;7,5
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;5;0,8
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;6;1,4
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;99;5,5
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-07;Abfälle aus organisch-chemischen Prozessen;139;6,4
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;242;15,4
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-09;Abfälle aus der fotografischen Industrie;8;0,0
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-10;Abfälle aus thermischen Prozessen;512;985,3
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;43;1,3
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;215;12,7
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;490;16,0
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;139;0,5
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;805;76,8
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;379;33,7
