GENESIS-Tabelle: 32161-0001
Betriebe, erzeugte Abfallmenge: Deutschland, Jahre,;;;;
Abfallarten;;;;
Erhebung über die Abfallerzeugung;;;;
Deutschland;;;;
;;;Betriebe;Erzeugte Abfallmenge
2010;EAV-060902-U;  Phosphorhaltige Schlacke;-;-
2010;EAV-060903-G;  Reaktionsabfälle auf Calciumbasis;-;-
2010;EAV-060904-U;  Reaktionsabfälle auf Calciumbasis (ohne 060903);-;-
2010;EAV-060999-U;  Phosphorhaltige Chemikalien: Abfälle a.n.g.;-;-
2010;EAV-061002-G;  Stickstoffh.Chemik.: Abfälle mit gefährl. Stoffen;6;0,4
2010;EAV-061099-U;  Stickstoffhaltige Chemikalien: Abfälle a.n.g.;-;-
2010;EAV-061101-U;  Reaktionsabfälle auf Calciumbasis a. Titandioxidh.;-;-
2010;EAV-061199-U;  Anorganische Pigmente, Farbgeber: Abfälle a.n.g.;4;1,5
2010;EAV-061301-G;  Anorganische Pflanzenschutzmittel,Holzschutzmittel;12;0,1
2010;EAV-061302-G;  Gebrauchte Aktivkohle (ohne 060702);133;2,0
2010;EAV-061303-U;  Industrieruß;36;3,8
2010;EAV-061304-G;  Abfälle aus der Asbestverarbeitung;4;0,0
2010;EAV-061305-G;  Ofen- und Kaminruß;-;-
2010;EAV-061399-U;  Anorganische chemische Prozesse: Abfälle a.n.g.;-;-
2010;EAV-07;Abfälle aus organisch-chemischen Prozessen;;
2010;EAV-070101-G;  Org.Grundchemik.: Wässrige Waschfl., Mutterlaugen;179;34,4
2010;EAV-070103-G;  Org.Grundchemik.: Halogenorg.Lösemittel, Waschfl.;280;48,8
2010;EAV-070104-G;  Org.Grundchemik.: Lösemittel, Waschflüssigkeiten;1003;145,0
2010;EAV-070107-G;  Org.Grundchemik.: Halog.Reaktions-,Destill.rückst.;43;56,6
2010;EAV-070108-G;  Org.Grundchemik.: Reaktions-,Destillationsrückst.;139;101,9
2010;EAV-070109-G;  Org.Grundchemik.: Halog.Filterkuchen, Aufsaugmat.;19;0,5
2010;EAV-070110-G;  Org.Grundchemik.: And. Filterkuchen, Aufsaugmat.;42;4,1
2010;EAV-070111-G;  Org.Grundchemik.:Schlämme(betriebseig.Abwasserbeh);40;8,7
2010;EAV-070112-U;  Schlämme aus betriebseign. Abwasserbeh.(oh.070111);15;4,1
2010;EAV-070199-U;  Organische Grundchemikalien: Abfälle a.n.g.;27;3,9
2010;EAV-070201-G;  Kunststoffe: Wässrige Waschfl., Mutterlaugen;63;128,6
2010;EAV-070203-G;  Kunststoffe: Halogenorg.Lösemittel, Waschflüssig.;50;3,0
2010;EAV-070204-G;  Kunststoffe: organ. Lösemittel, Waschflüssigkeiten;168;36,2
2010;EAV-070207-G;  Kunststoffe: Halog. Reaktions-, Destill.rückstände;43;6,3
2010;EAV-070208-G;  Kunststoffe: Reaktions-, Destillationsrückstände;791;131,0
2010;EAV-070209-G;  Kunststoffe: Halog. Filterkuchen, Aufsaugmat.;10;0,2
2010;EAV-070210-G;  Kunststoffe: And. Filterkuchen, Aufsaugmaterialien;44;4,8
2010;EAV-070211-G;  Kunststoffe: Schlämme (betriebseig.Abwasserbeh.);20;1,3
2010;EAV-070212-U;  Schlämme aus betriebseign. Abwasserbeh.(oh.070211);41;21,8
2010;EAV-070213-U;  Kunststoffabfälle;1299;327,9
2010;EAV-070214-G;  Kunststoffe: Abfälle v.Zusatzstoffen m.gefährl.St.;62;2,8
2010;EAV-070215-U;  Abfälle von Zusatzstoffen (ohne 070214);33;2,4
2010;EAV-070216-G;  Kunststoffe: Gefährl. Silicone enthaltende Abfälle;7;0,7
2010;EAV-070217-U;  Siliconhaltige Abfälle (ohne 070216);18;0,6
2010;EAV-070299-U;  Kunststoffe, -fasern, synth. Gummi: Abfälle a.n.g.;239;164,7
2010;EAV-070301-G;  Org.Farbstoffe: Wässrige Waschfl., Mutterlaugen;33;3,0
2010;EAV-070303-G;  Org.Farbstoffe: Halogenorg. Lösemittel, Waschfl.;31;0,2
2010;EAV-070304-G;  Org.Farbstoffe: Lösemittel, Waschflüssigkeiten;418;47,7
2010;EAV-070307-G;  Org.Farbstoffe: Halog. Reaktions-, Destill.rückst.;8;1,1
2010;EAV-070308-G;  Org.Farbstoffe: Reaktions-,Destillationsrückstände;22;4,0
2010;EAV-070309-G;  Org.Farbstoffe: Halog. Filterkuchen, Aufsaugmat.;4;0,2
2010;EAV-070310-G;  Org.Farbstoffe: Andere Filterkuchen, Aufsaugmat.;11;1,2
2010;EAV-070311-G;  Org.Farbstoffe: Schlämme(betriebseig.Abwasserbeh.);3;0,2
2010;EAV-070312-U;  Schlämme aus betriebseign. Abwasserbeh.(oh.070311);12;1,8
2010;EAV-070399-U;  Organische Farbstoffe, Pigmente: Abfälle a.n.g.;-;-
2010;EAV-070401-G;  Pflanzenschutzmittel:Wässrige Waschfl.,Mutterlaug.;14;17,5
2010;EAV-070403-G;  Pflanzenschutzmit.: Halogenorg.Lösemittel,Waschfl.;10;52,1
2010;EAV-070404-G;  Pflanzenschutzmittel: Organ. Lösemittel, Waschfl.;19;30,7
2010;EAV-070407-G;  Pflanzenschutzmit.:Halog.Reaktions-,Destill.rückst;8;21,7
2010;EAV-070408-G;  Pflanzenschutzmittel: Reaktions-, Destill.rückst.;7;5,1
2010;EAV-070409-G;  Pflanzenschutzmittel:Halog.Filterkuchen,Aufsaugmat;5;0,2
2010;EAV-070410-G;  Pflanzenschutzmittel: Filterkuchen, Aufsaugmat.;8;0,5
2010;EAV-070411-G;  Pflanzenschutzm.:Schlämme(betriebseig.Abwasserbeh);3;0,2
2010;EAV-070412-U;  Schlämme aus betriebseign. Abwasserbeh.(oh.070411);-;-
2010;EAV-070413-G;  Pflanzenschutzmittel: Feste Abfälle m.gefährl.St.;7;0,9
2010;EAV-070499-U;  Pflanzenschutzmittel u.a.: Abfälle a.n.g.;-;-
2010;EAV-070501-G;  Pharmazeutika: Wässrige Waschfl., Mutterlaugen;44;62,7
2010;EAV-070503-G;  Pharmazeutika: Halogenorg.Lösemittel, Waschfl.;59;34,6
2010;EAV-070504-G;  Pharmazeutika: organ. Lösemittel, Waschflüssigk.;91;76,2
2010;EAV-070507-G;  Pharmazeutika: Halog.Reaktions-, Destill.rückst.;11;2,4
2010;EAV-070508-G;  Pharmazeutika: Reaktions-,Destillationsrückstände;42;4,2
2010;EAV-070509-G;  Pharmazeutika: Halog.Filterkuchen, Aufsaugmat.;6;0,4
2010;EAV-070510-G;  Pharmazeutika: Filterkuchen, Aufsaugmaterialien;21;1,6
2010;EAV-070511-G;  Pharmazeutika: Schlämme (betriebseig.Abwasserbeh.);5;0,2
2010;EAV-070512-U;  Schlämme aus betriebseign. Abwasserbeh.(oh.070511);11;3,6
2010;EAV-070513-G;  Pharmazeutika: Feste Abfälle mit gefährl. Stoffen;30;1,3
2010;EAV-070514-U;  Feste Abfälle (ohne 070513);41;16,1
2010;EAV-070599-U;  Pharmazeutika: Abfälle a.n.g.;74;14,9
2010;EAV-070601-G;  Fette, Seifen: Wässrige Waschfl., Mutterlaugen;133;42,5
2010;EAV-070603-G;  Fette, Seifen: Halogenorg.Lösemittel, Waschfl.;51;0,3
2010;EAV-070604-G;  Fette, Seifen: organ. Lösemittel, Waschflüssigk.;199;9,9
2010;EAV-070607-G;  Fette, Seifen: Halog.Reaktions-, Destill.rückst.;3;0,4
2010;EAV-070608-G;  Fette, Seifen: Reaktions-,Destillationsrückstände;380;34,2
2010;EAV-070609-G;  Fette, Seifen: Halog.Filterkuchen, Aufsaugmat.;4;0,3
2010;EAV-070610-G;  Fette, Seifen: Filterkuchen, Aufsaugmaterialien;25;2,8
2010;EAV-070611-G;  Fette, Seifen: Schlämme (betriebseig.Abwasserbeh.);6;0,2
2010;EAV-070612-U;  Schlämme aus betriebseign. Abwasserbeh.(oh.070611);28;9,2
2010;EAV-070699-U;  Fette, Seifen, Schmierstoffe u.a.: Abfälle a.n.g.;142;28,4
2010;EAV-070701-G;  Feinchemikalien: Wässrige Waschfl., Mutterlaugen;191;64,2
2010;EAV-070703-G;  Feinchemikalien: Halogenorg.Lösemittel, Waschfl.;177;17,5
2010;EAV-070704-G;  Feinchemikalien: organ. Lösemittel, Waschflüssigk.;610;55,4
2010;EAV-070707-G;  Feinchemikalien: Halog.Reaktions-, Destill.rückst.;34;8,0
2010;EAV-070708-G;  Feinchemikalien: Reaktions-, Destillationsrückst.;69;98,4
2010;EAV-070709-G;  Feinchemikalien: Halog.Filterkuchen, Aufsaugmat.;15;0,9
2010;EAV-070710-G;  Feinchemikalien: Filterkuchen, Aufsaugmaterialien;42;2,5
2010;EAV-070711-G;  Feinchemikalien:Schlämme(betriebseig.Abwasserbeh.);14;1,2
2010;EAV-070712-U;  Schlämme aus betriebseign. Abwasserbeh.(oh.070711);7;1,1
2010;EAV-070799-U;  Feinchemikalien: Abfälle a.n.g.;14;0,8
2010;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;;
2010;EAV-080111-G;  Farb- und Lackabfälle mit gefährlichen Stoffen;3927;42,7
2010;EAV-080112-U;  Farb- und Lackabfälle (ohne 080111);851;16,9
2010;EAV-080113-G;  Farb- und Lackschlämme mit gefährlichen Stoffen;688;22,3
2010;EAV-080114-U;  Farb- und Lackschlämme (ohne 080113);54;9,8
2010;EAV-080115-G;  Farben, Lacke: Wässrige Schlämme mit gefährl. St.;198;13,6
2010;EAV-080116-U;  Wässrige Schlämme (ohne 080115);558;42,8
2010;EAV-080117-G;  Abfälle aus der Farb- oder Lackentfernung;358;17,7
2010;EAV-080118-U;  Abfälle aus Farb- od. Lackentfernung (oh. 080117);170;8,5
2010;EAV-080119-G;  Wässrige Suspensionen, Farben o. Lacke enthaltend;41;8,2
2010;EAV-080120-U;  Wässrige Suspensionen (ohne 080119);122;5,1
2010;EAV-080121-G;  Farb- oder Lackentfernerabfälle;38;0,2
2010;EAV-080199-U;  Farben, Lacke: Abfälle a.n.g.;20;0,3
2010;EAV-080201-U;  Abfälle von Beschichtungspulver;112;2,6
2010;EAV-080202-U;  Wässrige Schlämme,keramische Werkstoffe enthaltend;31;2,7
2010;EAV-080203-U;  Wässrige Suspensionen,keram. Werkstoffe enthaltend;6;3,6
2010;EAV-080299-U;  Andere Beschichtungen: Abfälle a.n.g.;-;-
2010;EAV-080307-U;  Wässrige Schlämme, die Druckfarben enthalten;18;0,3
2010;EAV-080308-U;  Wässrige flüssige Abfälle,d. Druckfarben enthalten;59;6,6
2010;EAV-080312-G;  Druckfarbenabfälle mit gefährlichen Stoffen;340;11,3
2010;EAV-080313-U;  Druckfarbenabfälle (ohne 080312);106;2,5
2010;EAV-080314-G;  Druckfarbenschlämme mit gefährlichen Stoffen;120;4,0
2010;EAV-080315-U;  Druckfarbenschlämme (ohne 080314);12;0,4
2010;EAV-080316-G;  Abfälle von Ätzlösungen;-;-
2010;EAV-080317-G;  Tonerabfälle, die gefährliche Stoffe enthalten;34;0,0
2010;EAV-080318-U;  Tonerabfälle (ohne 080317);288;0,7
2010;EAV-080319-G;  Dispersionsöl;-;-
2010;EAV-080399-U;  Druckfarben: Abfälle a.n.g.;10;0,3
2010;EAV-080409-G;  Klebstoff- und Dichtmassenabfälle mit gefährl. St.;1111;16,6
2010;EAV-080410-U;  Klebstoff- und Dichtmassenabfälle (ohne 080409);248;13,1
2010;EAV-080411-G;  Klebstoff- und dichtmassenhaltige Schlämme;24;0,5
2010;EAV-080412-U;  Klebstoff- u. dichtmassenhalt. Schlämme(oh.080411);12;0,3
2010;EAV-080413-G;  Klebst.,Dichtm.: Wässrige Schlämme m.gefährl.St.;25;0,4
2010;EAV-080414-U;  Wässrige Schlämme (ohne 080413);57;4,3
2010;EAV-080415-G;  Klebst.,Dichtm.:Wässrige flüssige Abf.m.gefährl.St;15;0,5
2010;EAV-080416-U;  Wässrige flüssige Abfälle (ohne 080415);37;15,2
2010;EAV-080417-G;  Klebstoffe, Dichtmassen: Harzöle;-;-
2010;EAV-080499-U;  Klebstoffe, Dichtmassen: Abfälle a.n.g.;14;0,8
2010;EAV-080501-G;  Isocyanatabfälle;54;0,3
2010;EAV-09;Abfälle aus der fotografischen Industrie;;
2010;EAV-090101-G;  Entwickler und Aktivatorenlösungen auf Wasserbasis;671;6,5
2010;EAV-090102-G;  Offsetdruckplatten-Entwicklerlösungen;366;10,3
2010;EAV-090103-G;  Entwicklerlösungen auf Lösemittelbasis;24;0,1
2010;EAV-090104-G;  Fixierbäder;581;2,5
2010;EAV-090105-G;  Bleichlösungen und Bleich-Fixier-Bäder;11;0,1
2010;EAV-090106-G;  Silberhaltige Abfälle aus Beh. fotograf. Abfälle;4;0,0
2010;EAV-090107-U;  Filme und fotografische Papiere mit Silber;268;1,6
2010;EAV-090108-U;  Filme und fotografische Papiere ohne Silber;138;1,5
2010;EAV-090110-U;  Einwegkameras ohne Batterien;-;-
2010;EAV-090111-G;  Einwegkameras mit Batterien (160601-160603);-;-
2010;EAV-090112-U;  Einwegkameras mit Batterien (ohne 090111);-;-
2010;EAV-090113-G;  Abfälle aus Silberrückgewinnung (ohne 090106);-;-
2010;EAV-090199-U;  Fotografische Industrie: Abfälle a.n.g.;16;0,1
2010;EAV-10;Abfälle aus thermischen Prozessen;;
2010;EAV-100101-U;  Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);416;4610,5
2010;EAV-100102-U;  Filterstäube aus Kohlefeuerung;51;1093,5
2010;EAV-100103-U;  Filterstäube aus Torffeuerung und Feuerung;31;54,9
