GENESIS table: 32136-0005
Sales packaging after sorting: Germany,;;;;;;;
Years, types of materials, types of recycling;;;;;;;
Survey of returned sales packaging;;;;;;;
Germany;;;;;;;
Sales packaging after sorting (1000 t);;;;;;;
;;Types of exploitation;Types of exploitation;Types of exploitation;Types of exploitation;Types of exploitation;Types of exploitation
2014;Metals;348.5;44.6;-;.;8.1;401.2
2014;Aluminium;.;.;-;.;.;66.2
2014;Steel, tinplate;.;.;-;.;.;334.9
2014;Other materials;.;.;.;.;8.7;173.8
2014;Non-packaging of the same material / sorting residues;.;6.5;392.4;.;365.4;767.7
2014;Total;4224.6;.;1154.9;.;475.5;6063.7
2015;Glass;.;.;-;-;-;1886.6
2015;Plastics;465.1;.;750.5;-;.;1230.3
2015;paper, cardboard, cardboard;1155.4;28.0;.;-;.;1186.7
2015;Metals;331.9;5.4;-;-;-;337.2
2015;Aluminum;.;.;-;-;-;62.5
2015;Steel, tinplate;.;.;-;-;-;274.6
2015;Other materials;135.3;-;.;-;.;135.9
2015;Non-packaging of the same material / sorting residue;.;.;413.8;-;326.7;741.8
2015;Total;3971.6;47.3;1167.5;-;332.0;5518.4
2016;Glass;1876.5;.;-;-;.;1878.6
2016;Plastics;442.3;5.2;757.5;.;.;1209.8
2016;Paper, cardboard, cardboard;1168.4;23.6;.;-;.;1195.0
2016;Metals;327.6;4.3;-;-;-;331.9
2016;Aluminium;.;.;-;-;-;60.5
2016;Steel, tinplate;.;.;-;-;-;271.4
2016;Other materials;162.6;.;-;-;.;172.6
2016;Non-packaging of the same material / sorting residue;1.1;.;.;-;274.7;662.9
2016;Total;3978.5;.;1146.3;.;288.9;5450.9
2017;Glass;1849.0;.;-;-;.;1870.8
2017;Plastics;466.5;9.2;756.4;-;1.7;1233.8
2017;paper, cardboard, cardboard;1147.3;81.0;.;-;.;1232.1
2017;Metals;320.2;.;-;-;.;332.6
2017;Aluminum;.;.;-;-;-;61.2
2017;Steel, tinplate;.;8.0;-;-;.;271.4
2017;Other materials;.;.;.;-;.;141.8
2017;Non-packaging of the same material / sorting residues;.;0.3;454.3;.;123.6;580.8
2017;Total;3923.4;124.7;1213.8;.;.;5391.8
2018;Glass;1795.4;.;-;-;.;1798.3
2018;Plastics;481.1;.;716.5;-;.;1200.5
2018;Paper, cardboard, cardboard;1291.4;.;-;-;.;1356.5
2018;Metals;308.2;.;-;-;.;316.8
2018;Aluminum;58.9;.;-;-;.;63.1
2018;Steel, tinplate;249.3;4.5;-;-;-;253.8
2018;Other materials;113.3;.;-;-;.;115.3
2018;Non-packaging of the same material / sorting residues;2.0;.;475.5;.;136.1;616.5
2018;Total;3991.6;80.1;1192.0;.;.;5403.9
2019;Glass;1868.5;.;-;-;.;1901.1
2019;Plastics;683.2;.;578.5;-;.;1282.0
2019;Paper, cardboard, cardboard;1175.3;.;-;-;.;1303.0
2019;Metals;332.0;14.0;-;-;-;346.0
2019;Aluminium;70.5;4.7;-;-;-;75.2
2019;Steel, tinplate;261.3;9.3;-;-;-;270.7
2019;Other materials;.;.;.;-;-;135.3
2019;Non-packaging of the same material / sorting residue;.;.;.;.;341.5;667.7
2019;Total;4190.6;.;901.9;.;345.1;5635.2
2020;Glass;.;.;-;-;-;2040.8
2020;Plastics;752.3;20.9;529.8;-;-;1302.9
2020;Paper, cardboard, cardboard;1816.0;.;.;-;-;1872.3
2020;Metals;355.4;12.6;-;-;-;368.0
2020;Aluminium;.;.;-;-;-;82.1
2020;Steel, tinplate;.;.;-;-;-;286.0
2020;Other materials;139.3;.;.;-;-;139.8
2020;Non-packaging of the same material / sorting residue;.;.;250.0;.;.;712.1
2020;Total;5098.1;95.2;780.7;.;.;6436.0
__________
© Federal Statistical Office (Destatis), 2023
As of: August 30, 2023 / 8:50:41 p.m
