GENESIS-Tabelle: 32136-0005
Verkaufsverpackungen nach der Sortierung: Deutschland,;;;;;;;
Jahre, Materialarten, Verwertungsarten;;;;;;;
Erhebung ¸ber zur¸ckgenommene Verkaufsverpackungen;;;;;;;
Deutschland;;;;;;;
Verkaufsverpackungen nach der Sortierung (1000 t);;;;;;;
;;Verwertungsarten;Verwertungsarten;Verwertungsarten;Verwertungsarten;Verwertungsarten;Verwertungsarten
2013;Aluminium;56,9;.;-;.;.;66,5
2013;Stahl, Weiﬂblech;309,8;.;-;.;.;349,1
2013;Sonstige Materialien;142,2;.;26,0;.;1,8;172,9
2013;Stoffgleiche Nichtverpackungen / Sortierreste;1,3;.;419,7;.;413,5;841,2
2013;Insgesamt;4303,6;224,0;1145,1;50,0;473,9;6196,6
2014;Glas;2007,1;.;-;.;.;2026,2
2014;Kunststoffe;563,8;53,5;761,6;.;.;1410,9
2014;Papier, Pappe, Karton;1147,0;89,6;.;.;.;1284,0
2014;Metalle;348,5;44,6;-;.;8,1;401,2
2014;Aluminium;.;.;-;.;.;66,2
2014;Stahl, Weiﬂblech;.;.;-;.;.;334,9
2014;Sonstige Materialien;.;.;.;.;8,7;173,8
2014;Stoffgleiche Nichtverpackungen / Sortierreste;.;6,5;392,4;.;365,4;767,7
2014;Insgesamt;4224,6;.;1154,9;.;475,5;6063,7
2015;Glas;.;.;-;-;-;1886,6
2015;Kunststoffe;465,1;.;750,5;-;.;1230,3
2015;Papier, Pappe, Karton;1155,4;28,0;.;-;.;1186,7
2015;Metalle;331,9;5,4;-;-;-;337,2
2015;Aluminium;.;.;-;-;-;62,5
2015;Stahl, Weiﬂblech;.;.;-;-;-;274,6
2015;Sonstige Materialien;135,3;-;.;-;.;135,9
2015;Stoffgleiche Nichtverpackungen / Sortierreste;.;.;413,8;-;326,7;741,8
2015;Insgesamt;3971,6;47,3;1167,5;-;332,0;5518,4
2016;Glas;1876,5;.;-;-;.;1878,6
2016;Kunststoffe;442,3;5,2;757,5;.;.;1209,8
2016;Papier, Pappe, Karton;1168,4;23,6;.;-;.;1195,0
2016;Metalle;327,6;4,3;-;-;-;331,9
2016;Aluminium;.;.;-;-;-;60,5
2016;Stahl, Weiﬂblech;.;.;-;-;-;271,4
2016;Sonstige Materialien;162,6;.;-;-;.;172,6
2016;Stoffgleiche Nichtverpackungen / Sortierreste;1,1;.;.;-;274,7;662,9
2016;Insgesamt;3978,5;.;1146,3;.;288,9;5450,9
2017;Glas;1849,0;.;-;-;.;1870,8
2017;Kunststoffe;466,5;9,2;756,4;-;1,7;1233,8
2017;Papier, Pappe, Karton;1147,3;81,0;.;-;.;1232,1
2017;Metalle;320,2;.;-;-;.;332,6
2017;Aluminium;.;.;-;-;-;61,2
2017;Stahl, Weiﬂblech;.;8,0;-;-;.;271,4
2017;Sonstige Materialien;.;.;.;-;.;141,8
2017;Stoffgleiche Nichtverpackungen / Sortierreste;.;0,3;454,3;.;123,6;580,8
2017;Insgesamt;3923,4;124,7;1213,8;.;.;5391,8
2018;Glas;1795,4;.;-;-;.;1798,3
2018;Kunststoffe;481,1;.;716,5;-;.;1200,5
2018;Papier, Pappe, Karton;1291,4;.;-;-;.;1356,5
2018;Metalle;308,2;.;-;-;.;316,8
2018;Aluminium;58,9;.;-;-;.;63,1
2018;Stahl, Weiﬂblech;249,3;4,5;-;-;-;253,8
2018;Sonstige Materialien;113,3;.;-;-;.;115,3
2018;Stoffgleiche Nichtverpackungen / Sortierreste;2,0;.;475,5;.;136,1;616,5
2018;Insgesamt;3991,6;80,1;1192,0;.;.;5403,9
2019;Glas;1868,5;.;-;-;.;1901,1
2019;Kunststoffe;683,2;.;578,5;-;.;1282,0
2019;Papier, Pappe, Karton;1175,3;.;-;-;.;1303,0
2019;Metalle;332,0;14,0;-;-;-;346,0
2019;Aluminium;70,5;4,7;-;-;-;75,2
2019;Stahl, Weiﬂblech;261,3;9,3;-;-;-;270,7
2019;Sonstige Materialien;.;.;.;-;-;135,3
2019;Stoffgleiche Nichtverpackungen / Sortierreste;.;.;.;.;341,5;667,7
2019;Insgesamt;4190,6;.;901,9;.;345,1;5635,2
2020;Glas;.;.;-;-;-;2040,8
2020;Kunststoffe;752,3;20,9;529,8;-;-;1302,9
2020;Papier, Pappe, Karton;1816,0;.;.;-;-;1872,3
2020;Metalle;355,4;12,6;-;-;-;368,0
2020;Aluminium;.;.;-;-;-;82,1
2020;Stahl, Weiﬂblech;.;.;-;-;-;286,0
2020;Sonstige Materialien;139,3;.;.;-;-;139,8
2020;Stoffgleiche Nichtverpackungen / Sortierreste;.;.;250,0;.;.;712,1
2020;Insgesamt;5098,1;95,2;780,7;.;.;6436,0
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 20:50:41
